tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 120.000,,Guapó,GO,1500m²,E2CM Imóveis,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-para-venda-possui-1500-m-em-zona-rural-guapo-go-1002287787,21/Mar/2023,11:48:39
Terrenos,,R$ 350.000,,Guapó,GO,28500m²,Édito Fernandes,09/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/area-28-500-m-entre-guapo-e-posselandia-bom-para-energia-solar-1088064000,21/Mar/2023,11:48:39
Terrenos,,R$ 8.000.000,,Guapó,GO,13m²,FR7 Imóveis,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/fazenda-no-municipio-de-guapo-go-1068083273,21/Mar/2023,11:48:39
Venda - casa em rua pública,2,R$ 210.000,,Guapó,GO,125m²,Revenda Imóveis,09/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-2-quarto-s-guapo-ca2009-1145259391,21/Mar/2023,11:48:39
Venda - casa em rua pública,2,R$ 34.999,,Guapó,GO,,Fabyano R.,29/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/agio-de-casa-urgente-em-guapo-go-leia-o-anuncio-1139853625,21/Mar/2023,11:48:39
Venda - casa em rua pública,3,R$ 150.000,,Guapó,GO,57025m²,Angelica,30/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-em-guapo-1140287132,21/Mar/2023,11:48:39
Venda - casa em rua pública,1,R$ 11.111.111,,Guapó,GO,150m²,Lucas J.,29/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/revestimento-1140042600,21/Mar/2023,11:48:39
Terrenos,,R$ 350.000,,Guapó,GO,29300m²,Édito Fernandes,01/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/area-29-300-m-municipio-depois-de-guapo-go-a-930-metros-da-br-060-bem-proximo-de-goiania-1141477714,21/Mar/2023,11:48:39
Terrenos,,R$ 270.000,,Guapó,GO,2000m²,MARCELO BAIOCCHI IMOVEIS,08/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-santo-antonio-de-goias-1020834822,21/Mar/2023,11:48:39
Venda - casa em condominio fechado,3,R$ 1.290.000,,Guapó,GO,210m²,Urbs Private,10/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/condominio-recanto-paraiso-casa-de-condominio-3-quartos-sendo-3-suites-1131448371,21/Mar/2023,11:48:39
Venda - casa em rua pública,2,R$ 70.000,,Guapó,GO,1111111111m²,Maykel carvalho,30/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/agio-casa-de-esquina-em-guapo-go-1140427322,21/Mar/2023,11:48:39
