tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 2.750.000,Jardim Bela Vista,Goiânia,GO,2000m²,João B. Carmo,12/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/para-renda-20-kitnets-de-02-quartos-e-garagem-area-com-gabarito-jardim-bela-vista-1016473595,21/Mar/2023,13:25:00
Terrenos,,R$ 520.000,Jardim Bela Vista,Goiânia,GO,15000m²,jbenergia,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/vende-se-imovel-em-aruana-go-clube-desativado-15-000-m2-fica-1500-metros-do-rio-1153718994,21/Mar/2023,13:25:00
Venda - casa em rua pública,4,R$ 450.000,Jardim Bela Vista,Goiânia,GO,193m²,HABITASUL IMÓVEIS,13/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/goiania-casa-padrao-jardim-bela-vista-960399246,21/Mar/2023,13:25:00
Terrenos,,R$ 300.000,Jardim Bela Vista,Goiânia,GO,390m²,VANDERLEY CIPRIANO CAMARGOS,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-para-venda-possui-390-metros-quadrados-em-jardim-bela-vista-goiania-go-1008110308,21/Mar/2023,13:25:00
Venda - casa em rua pública,3,R$ 500.000,Jardim Bela Vista,Goiânia,GO,321m²,PEDRO DE SOUSA - CORRETOR DE IMÓVEIS,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/2-casas-3-quartos-suite-jd-bela-vista-1161391294,21/Mar/2023,13:25:00
Venda - casa em rua pública,4,R$ 900.000,Jardim Bela Vista,Goiânia,GO,340m²,Suporte Imobiliária,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/sobrado-no-jardim-bela-vista-1116172685,21/Mar/2023,13:25:00
Venda - casa em rua pública,4,R$ 780.000,Jardim Bela Vista,Goiânia,GO,263m²,HEXA GESTÃO DE IMÓVEIS,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/sobrado-com-4-quartos-a-venda-jardim-bela-vista-goiania-go-1142654559,21/Mar/2023,13:25:00
Venda - casa em rua pública,2,R$ 150.000,Jardim Bela Vista,Goiânia,GO,50m²,Hellyezer Alves Pereira,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-de-2-quartos-no-terreo-jardim-bela-vista-financia-1077802955,21/Mar/2023,13:25:00
Venda - casa em rua pública,3,R$ 380.000,Jardim Bela Vista,Goiânia,GO,170m²,HQ Imóveis,15/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-a-venda-170-m-com-3-quartos-1-suite-jardim-bela-vista-goiania-go-1015943703,21/Mar/2023,13:25:00
Venda - casa em rua pública,3,R$ 370.000,Jardim Bela Vista,Goiânia,GO,242m²,SÉRGIO LUCIANO CORRETOR IMOBILIÁRIO,11/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-de-4-4-sendo-1-suite-no-jardim-bela-vista-sozinha-no-lote-1044024784,21/Mar/2023,13:25:00
Terrenos,,R$ 250.000,Jardim Bela Vista,Goiânia,GO,390m²,VANDERLEY CIPRIANO CAMARGOS,19/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-para-venda-possui-390-metros-quadrados-em-jardim-bela-vista-goiania-go-1141681197,21/Mar/2023,13:25:00
