tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,2,R$ 275.000,Jardim da Luz,Goiânia,GO,54m²,ORON IMOBILIÁRIA DESCOMPLICADA,11/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-a-venda-54-m-por-r-275-000-00-jardim-da-luz-goiania-go-1102710133,21/Mar/2023,13:26:00
Venda - casa em rua pública,3,R$ 590.000,Jardim da Luz,Goiânia,GO,136m²,João victor Nonato imóveis,14/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-tem-136-metros-quadrados-com-3-quartos-em-jardim-da-luz-goiania-go-1076086480,21/Mar/2023,13:26:00
Venda - apartamento padrão,2,R$ 210.000,Jardim da Luz,Goiânia,GO,60m²,Darcílio,14/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-jardim-da-luz-2-4-lazer-prox-unip-fasam-br153-alugo-ou-vendo-1147051045,21/Mar/2023,13:26:01
Venda - apartamento padrão,2,R$ 215.000,Jardim da Luz,Goiânia,GO,55m²,Filipe T. S. Vieira,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/gran-castell-apartamento-a-venda-2-quartos-2-vagas-proximo-a-faculdade-unip-e-fasam-1107488126,21/Mar/2023,13:26:01
Venda - casa em rua pública,3,R$ 590.000,Jardim da Luz,Goiânia,GO,135m²,My Home Soluções Imobiliárias,21/09/2022,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/goiania-casa-padrao-jardim-da-luz-1087005127,21/Mar/2023,13:26:01
Venda - casa em condominio fechado,2,R$ 250.000,Jardim da Luz,Goiânia,GO,66m²,ATRÊS IMOBILIÁRIA,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-com-2-dormitorios-a-venda-66-m-por-r-250-000-00-jardim-da-luz-goiania-go-1011003995,21/Mar/2023,13:26:01
Venda - apartamento padrão,2,R$ 350.000,Jardim da Luz,Goiânia,GO,54m²,Consultoria imobiliária,26/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-2-quartos-mobiliado-jardim-da-luz-983171711,21/Mar/2023,13:26:01
Venda - apartamento padrão,2,R$ 235.000,Jardim da Luz,Goiânia,GO,53m²,Roberto Sales,30/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-2-quartos-com-suite-em-frente-a-unip-gran-castell-1115574171,21/Mar/2023,13:26:01
Venda - casa em rua pública,3,R$ 590.000,Jardim da Luz,Goiânia,GO,135m²,VANDERLEY CIPRIANO CAMARGOS,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-no-jardim-da-luz-1073042982,21/Mar/2023,13:26:01
Venda - casa em rua pública,3,R$ 450.000,Jardim da Luz,Goiânia,GO,167m²,MARCO IMOBILIÁRIA,13/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-com-3-quartos-bairro-jardim-da-luz-em-goiania-1074026765,21/Mar/2023,13:26:01
