tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 1.350.000,Jardim Goiás,Goiânia,GO,1525m²,URBS ONE,22/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/0-terreno-jardim-goias-1144845278,21/Mar/2023,11:05:40
Terrenos,,R$ 1.500.000,Jardim Goiás,Goiânia,GO,596m²,VISÃO IMÓVEIS,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-comercial-em-avenida-de-grande-fluxo-919846543,21/Mar/2023,11:05:43
Terrenos,,R$ 1.890.000,Jardim Goiás,Goiânia,GO,594m²,MARCELO BAIOCCHI IMOVEIS,11/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-jardim-goias-955890286,21/Mar/2023,11:05:43
Terrenos,,R$ 1.350.000,Jardim Goiás,Goiânia,GO,1525m²,ALINE PITALUGA - URBS PRIVATE,02/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/0-terreno-jardim-goias-1142015815,21/Mar/2023,11:05:43
Terrenos,,R$ 133.662,Jardim Goiás,Goiânia,GO,256m²,Lídder Imobiliária,09/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-condominio-horizontal-agio-jardins-turim-1121512043,21/Mar/2023,11:05:43
Terrenos,,R$ 2.500,Jardim Goiás,Goiânia,GO,600m²,LUX IMÓVEIS,27/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-comercial-jardim-goias-600m-iptu-440-00-r-mes-1101492064,21/Mar/2023,11:05:43
Terrenos,,R$ 430.000,Jardim Goiás,Goiânia,GO,480m²,URBS Private,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/0-terreno-jardim-goias-1035079744,21/Mar/2023,11:05:43
Terrenos,,R$ 1.350.000,Jardim Goiás,Goiânia,GO,1525m²,Urbs Private,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/0-terreno-jardim-goias-1158846492,21/Mar/2023,11:05:43
Terrenos,,R$ 355.000,Jardim Goiás,Goiânia,GO,480m²,EPOCA EMPREENDIMENTOS,03/08/2022,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/qd-a-7-lt-09-1066664792,21/Mar/2023,11:05:43
Terrenos,,R$ 28.100,Jardim Goiás,Goiânia,GO,396m²,Daiane Fernandes,24/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/vendo-um-agio-1137620967,21/Mar/2023,11:05:43
Terrenos,,R$ 800,Jardim Goiás,Goiânia,GO,570m²,LUX IMÓVEIS,06/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-jardim-goias-570-m-iptu-200-00-mes-855740186,21/Mar/2023,11:05:43
Terrenos,,R$ 225.000,Jardim Goiás,Goiânia,GO,360m²,Tatiana,21/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-condominio-fechado-1136294516,21/Mar/2023,11:05:43
Terrenos,,R$ 700.000,Jardim Goiás,Goiânia,GO,619m²,CARTERI IMOVEIS,19/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-a-venda-619-m--com-casas-construidas-1017153981,21/Mar/2023,11:05:43
Terrenos,,R$ 1.900.000,Jardim Goiás,Goiânia,GO,594m²,POLO IMÓVEIS - LTDA,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-a-venda-jardim-goias-goiania-go-1159173730,21/Mar/2023,11:05:43
Terrenos,,R$ 1.000.000,Jardim Goiás,Goiânia,GO,534m²,MY BROKER RICARDO PARANHOS LTDA,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-em-rua-jardim-goias-codigo-16128-1104161446,21/Mar/2023,11:05:43
Terrenos,,R$ 1.200.000,Jardim Goiás,Goiânia,GO,508m²,Apia Imobiliária,19/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-para-venda-com-507-50-metros-quadrados-em-jardim-goias-goiania-go-969874719,21/Mar/2023,11:05:43
Venda - apartamento padrão,2,R$ 599.000,Jardim Goiás,Goiânia,GO,74m²,Amir Martins,21/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-de-74m2-e-1-suite-a-venda-no-edificio-visage-actuelle-jardim-goias-goiania-1141853149,21/Mar/2023,11:05:43
Venda - apartamento padrão,3,R$ 1.491.999,Jardim Goiás,Goiânia,GO,180m²,PAIVA NEGÓCIOS IMOBILIÁRIOS,21/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-para-venda-em-goiania-jardim-goias-3-dormitorios-3-suites-4-banheiros-3-v-976616433,21/Mar/2023,11:05:44
Venda - loft/studio,1,R$ 290.000,Jardim Goiás,Goiânia,GO,27m²,Rlopes,21/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/vendo-flat-quality-hotel-1107633629,21/Mar/2023,11:05:44
Terrenos,,R$ 650.000,Jardim Goiás,Goiânia,GO,450m²,CASA IMOVEIS,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/goiania-terreno-padrao-jardim-goias-984188878,21/Mar/2023,11:05:44
Terrenos,,R$ 28.050,Jardim Goiás,Goiânia,GO,396m²,Resio de Moraes,27/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/agio-em-barro-alto-1139126441,21/Mar/2023,11:05:44
Terrenos,,R$ 330.000,Jardim Goiás,Goiânia,GO,293m²,Jade,27/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/agio-jardins-capri-1139344408,21/Mar/2023,11:05:44
Terrenos,,R$ 123.482,Jardim Goiás,Goiânia,GO,371m²,Lídder Imobiliária,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-condominio-horizontal-em-jardins-turim-goiania-go-1121495065,21/Mar/2023,11:05:44
Terrenos,,R$ 756.000,Jardim Goiás,Goiânia,GO,540m²,italoguerino,23/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/vinhas-flat-1137061441,21/Mar/2023,11:05:44
Terrenos,,R$ 418.140,Jardim Goiás,Goiânia,GO,278m²,Vincer imobiliária - Ag Aldeia do Vale,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-no-vinhas-flamboyant-934617162,21/Mar/2023,11:05:44
Terrenos,,R$ 3.800.000,Jardim Goiás,Goiânia,GO,1188m²,Apia Imobiliária,19/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-para-venda-tem-1188-metros-quadrados-em-jardim-goias-goiania-go-1141488413,21/Mar/2023,11:05:44
Terrenos,,R$ 25.000,Jardim Goiás,Goiânia,GO,325m²,dansoueumesmo,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/agio-de-lote-1159004075,21/Mar/2023,11:05:44
Terrenos,,R$ 600.000,Jardim Goiás,Goiânia,GO,569m²,URBS ONE,21/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/0-terreno-jardim-goias-1144845330,21/Mar/2023,11:05:41
Terrenos,,R$ 700,Jardim Goiás,Goiânia,GO,575m²,LUX IMÓVEIS,13/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-comercial-jardim-goias-575m-itu-1-100-00-r-mes-1121690076,21/Mar/2023,11:05:41
Terrenos,,R$ 845.000,Jardim Goiás,Goiânia,GO,526m²,ALINE PITALUGA - URBS PRIVATE,02/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/0-terreno-jardim-goias-1142010305,21/Mar/2023,11:05:41
Terrenos,,R$ 27.000.000,Jardim Goiás,Goiânia,GO,15221m²,J FRAZÃO NEGÓCIOS IMOBILIÁRIOS,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/area-a-venda-15221-m--jardim-goias-goiania-go-1126448845,21/Mar/2023,11:05:41
Terrenos,,R$ 1.200.000,Jardim Goiás,Goiânia,GO,890m²,PINA EMPREENDIMENTOS IMOBILIÁRIOS,13/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-a-venda-no-jardim-goias-1151267107,21/Mar/2023,11:05:41
Terrenos,,R$ 430.000,Jardim Goiás,Goiânia,GO,480m²,PRIVATE MAIS INTELIGENCIA IMOBILIARIA LTDA,09/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/0-terreno-jardim-goias-998326945,21/Mar/2023,11:05:41
Terrenos,,R$ 88.906,Jardim Goiás,Goiânia,GO,267m²,Lídder Imobiliária,13/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-condominio-horizontal-agio-jardins-turim-1121487353,21/Mar/2023,11:05:44
Terrenos,,R$ 845.000,Jardim Goiás,Goiânia,GO,526m²,URBS ONE,09/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/0-terreno-jardim-goias-1144844768,21/Mar/2023,11:05:44
Terrenos,,R$ 109.903,Jardim Goiás,Goiânia,GO,255m²,Lídder Imobiliária,11/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-condominio-horizontal-agio-jardins-turim-1121491169,21/Mar/2023,11:05:44
