tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 95.000,Jardim São José,Goiânia,GO,300m²,Elane Rosa,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-no-residencial-sao-jose-em-goiania-1159194084,21/Mar/2023,13:01:33
Terrenos,,R$ 98.000,Jardim São José,Goiânia,GO,300m²,PAULO WESTER IMOVEIS,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-300-jardim-sao-jose-300-metros-quitado-e-escriturado-1052505719,21/Mar/2023,13:01:33
Terrenos,,R$ 110.000,Jardim São José,Goiânia,GO,300m²,Willians da Silva Santos,08/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-300-00m-frente-a-futura-praca-jardim-sao-jose-1148857009,21/Mar/2023,13:01:33
Terrenos,,R$ 300.000,Jardim São José,Goiânia,GO,719m²,Casaaa,20/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/2-lotes-no-monte-pascoal-719-m2-esquina-e-contra-esquina-1149401939,21/Mar/2023,13:01:33
Terrenos,,R$ 120.000,Jardim São José,Goiânia,GO,300m²,nicelene,18/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-1149061364,21/Mar/2023,13:01:33
Venda - casa em rua pública,3,R$ 250.000,Jardim São José,Goiânia,GO,240m²,TAVARES CONSULTORIA IMOBILIARIA E CORRETORA DE SEGUROS,19/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-com-3-quartos-setor-sao-jose-941362794,21/Mar/2023,13:01:33
Venda - casa em rua pública,2,R$ 155.000,Jardim São José,Goiânia,GO,150m²,Paulo Pereira Paulino,22/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-agio-troca-1150360548,21/Mar/2023,13:01:33
Venda - casa em rua pública,2,R$ 290.000,Jardim São José,Goiânia,GO,87m²,Delmar Belarmino negócios imobiliários,19/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-com-2-dormitorios-a-venda-87-m-por-r-290-000-00-jardim-sao-jose-goiania-go-1047668732,21/Mar/2023,13:01:33
Venda - casa em rua pública,3,R$ 270.000,Jardim São José,Goiânia,GO,98m²,Delmar Belarmino negócios imobiliários,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-com-3-dormitorios-a-venda-98-m-por-r-270-000-00-jardim-sao-jose-goiania-go-1047668113,21/Mar/2023,13:01:33
Venda - casa em rua pública,3,R$ 290.000,Jardim São José,Goiânia,GO,150m²,NEW SALES IMÓVEIS MATRIZ,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/linda-casa-de-tres-quartos-sendo-um-suite-no-setor-jardim-sao-jose-1161160782,21/Mar/2023,13:01:33
Venda - casa em rua pública,3,R$ 269.997,Jardim São José,Goiânia,GO,98m²,Bandeira Imóveis,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-com-3-quartos-bairro-jardim-sao-jose-em-goiania-1040638983,21/Mar/2023,13:01:33
Venda - casa em rua pública,3,R$ 289.900,Jardim São José,Goiânia,GO,150m²,T&S Imóveis,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-possui-150-metros-quadrados-com-3-quartos-em-jardim-sao-jose-goiania-g-988111078,21/Mar/2023,13:01:33
Venda - casa em rua pública,3,R$ 320.000,Jardim São José,Goiânia,GO,115m²,FR7 Imóveis,04/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/excelente-casa-no-jardim-sao-jose-goiania-go-1079132035,21/Mar/2023,13:01:33
Venda - casa em rua pública,2,R$ 230.000,Jardim São José,Goiânia,GO,128m²,REJANE DE ARAÚJO,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-de-02-quartos-no-setor-jardim-sao-jose-1134207748,21/Mar/2023,13:01:33
Venda - casa em rua pública,3,R$ 180.000,Jardim São José,Goiânia,GO,300m²,Edimar,22/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/imovel-1136982117,21/Mar/2023,13:01:33
Venda - casa em rua pública,2,R$ 1,Jardim São José,Goiânia,GO,150m²,Laris,06/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-jardim-sao-jose-r-dom-celso-p-almeida-financia-urgente-1143710661,21/Mar/2023,13:01:33
Terrenos,,R$ 214.000,Jardim São José,Goiânia,GO,686m²,Joel Porfírio,19/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lotes-a-venda-686-32m-otima-localizacao-jardim-sao-jose-1095087624,21/Mar/2023,13:01:33
Venda - casa em condominio fechado,3,null,Jardim São José,Goiânia,GO,150m²,Lailaherzog,09/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/jardins-frankfurt-da-fgr-1157061713,21/Mar/2023,13:01:33
Venda - casa em rua pública,2,R$ 220.000,Jardim São José,Goiânia,GO,67m²,Romilton Queiroz Corretor,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-tem-67-metros-quadrados-com-2-quartos-em-jardim-sao-jose-goiania-go-1038178386,21/Mar/2023,13:01:33
Terrenos,,R$ 110.000,Jardim São José,Goiânia,GO,300m²,Mais  Seguro Negócios Imobiliários,13/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-para-venda-com-300-metros-quadrados-em-jardim-sao-jose-goiania-goias-1158773843,21/Mar/2023,13:01:33
Terrenos,,R$ 100.000,Jardim São José,Goiânia,GO,3001m²,Willians da Silva Santos,02/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-300-00m-asfalto-e-agua-jardim-sao-jose-1148314022,21/Mar/2023,13:01:33
Terrenos,,R$ 125.000,Jardim São José,Goiânia,GO,385m²,Times Negócios Imobiliários,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-em-rua-bairro-jardim-sao-jose-em-goiania-1119037006,21/Mar/2023,13:01:33
Terrenos,,R$ 150.000,Jardim São José,Goiânia,GO,398m²,Sergio de Araujo Fernandes,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-de-esquina-jardim-sao-jose-398-78-metros-1160866127,21/Mar/2023,13:01:33
Terrenos,,R$ 110.000,Jardim São José,Goiânia,GO,300m²,Mary C.,08/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-de-terra-para-construcao-1156128337,21/Mar/2023,13:01:33
Terrenos,,R$ 92.000,Jardim São José,Goiânia,GO,200m²,Grazielly Rodrigues Oliveira,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lotes-a-venda-a-prestacao-jardim-sao-jose-melhor-valor-da-regiao-pronto-p-morar-1143776793,21/Mar/2023,13:01:33
Terrenos,,R$ 150.000,Jardim São José,Goiânia,GO,399m²,Reinaldo Barreto,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-lote-a-venda-no-sao-jose-em-goiania-1159922254,21/Mar/2023,13:01:33
Terrenos,,R$ 98.000,Jardim São José,Goiânia,GO,200m²,VP Negócios Imobiliario +,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/jardim-sao-jose-goiania-go-lotes-a-prestacao-1084240281,21/Mar/2023,13:01:33
Terrenos,,R$ 87.814,Jardim São José,Goiânia,GO,200m²,Arlete Teles da Cruz,01/09/2022,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/vendo-lotes-a-prestacoes-ou-a-vista-no-loteamento-jardim-sao-jose-goiania-go-br-ao-lado-do-v-1078986386,21/Mar/2023,13:01:33
Terrenos,,R$ 98.000,Jardim São José,Goiânia,GO,300m²,COSTA,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-para-venda-possui-300-metros-quadrados-em-jardim-sao-jose-goiania-go-1160086471,21/Mar/2023,13:01:33
Terrenos,,R$ 140.000,Jardim São José,Goiânia,GO,300m²,ORON IMOBILIÁRIA DESCOMPLICADA,19/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-a-venda-300-m-por-r-140-000-00-jardim-sao-jose-goiania-go-1108696655,21/Mar/2023,13:01:33
Terrenos,,R$ 82.000,Jardim São José,Goiânia,GO,350m²,astepeequipamentosdt,23/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/vendo-lote-no-jardim-sao-jose-goiania-go-1137326332,21/Mar/2023,13:01:33
