tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,3,R$ 650.000,Residencial Flamingo,Goiânia,GO,200m²,Fernando Queiros,15/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-3-4-01-suite-lote-grande-residencial-flamingo-jardim-presidente-1131797415,21/Mar/2023,13:59:54
Venda - casa em rua pública,3,R$ 650.000,Residencial Flamingo,Goiânia,GO,200m²,RODNEY ALARCON CORRETOR,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-3-4-01-suite-lote-grande-residencial-flamingo-jardim-presidente-1135244705,21/Mar/2023,13:59:55
Venda - casa em rua pública,3,R$ 330.000,Residencial Flamingo,Goiânia,GO,103m²,URBAN HOUSING SOLUCOES IMOBILIARIAS,21/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-no-tres-marias-1109530820,21/Mar/2023,13:59:55
Venda - casa em rua pública,3,R$ 480.000,Residencial Flamingo,Goiânia,GO,115m²,VR Imóveis,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-03-quartos-no-residencial-flamingo-1048982709,21/Mar/2023,13:59:55
Venda - casa em rua pública,3,R$ 350.000,Residencial Flamingo,Goiânia,GO,110m²,Evando Marques Negócios Imobiliários,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-tem-110-metros-quadrados-com-3-quartos-em-residencial-flamingo-goiania-1077471397,21/Mar/2023,13:59:55
Terrenos,,R$ 240.000,Residencial Flamingo,Goiânia,GO,360m²,My Broker Imobiliária Filial Buriti,12/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-em-avenida-no-setor-flamingo-com-360-metros-codigo-13706-1072212770,21/Mar/2023,13:59:55
Venda - casa em rua pública,3,R$ 480.000,Residencial Flamingo,Goiânia,GO,115m²,My Broker Imobiliária Filial Buriti,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-a-venda-com-03-quartos-sendo-01-suite-com-115-metros-construido-codigo-14038-1072209349,21/Mar/2023,13:59:55
Venda - casa em rua pública,3,R$ 480.000,Residencial Flamingo,Goiânia,GO,115m²,UNIFIQUE NEGOCIOS IMOBILIARIOS,03/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-possui-115-metros-quadrados-com-3-quartos-em-residencial-flamingo-goiani-1122056400,21/Mar/2023,13:59:55
Venda - casa em rua pública,3,R$ 650.000,Residencial Flamingo,Goiânia,GO,200m²,K3R Imóveis negócios imobilários,12/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-de-03-quartos-com-01-suite-residencial-flamingo-em-goiania-go-1122807219,21/Mar/2023,13:59:55
Terrenos,,R$ 240.000,Residencial Flamingo,Goiânia,GO,360m²,My Broker Imobiliária,07/12/2022,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/goiania-terreno-padrao-residencial-flamingo-978840636,21/Mar/2023,13:59:55
