tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 6.300.000,Setor Campinas,Goiânia,GO,2100m²,TOGUCHI IMÓVEIS,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/area-comercial-com2100-m-setor-campinas-goiania-934029758,21/Mar/2023,12:26:11
Terrenos,,R$ 1.100.000,Setor Campinas,Goiânia,GO,580m²,Perito em Imóveis,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-de-580-metros-no-setor-campinas-1116782586,21/Mar/2023,12:26:11
Terrenos,,R$ 890.000,Setor Campinas,Goiânia,GO,464m²,URBS Private,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/0-terreno-setor-campinas-1066374688,21/Mar/2023,12:26:11
Terrenos,,R$ 40.000,Setor Campinas,Goiânia,GO,7278m²,VISÃO IMÓVEIS,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/area-comercial-junto-da-marginal-cascavel-922197079,21/Mar/2023,12:26:11
Terrenos,,R$ 850.000,Setor Campinas,Goiânia,GO,1200m²,RODOVALHO IMÓVEIS,21/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-para-venda-tem-1200-m-em-setor-campinas-goiania-go-1043810518,21/Mar/2023,12:26:11
Terrenos,,R$ 2.000.000,Setor Campinas,Goiânia,GO,173m²,MY BROKER RICARDO PARANHOS LTDA,06/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-em-loteamento-setor-campinas-codigo-16902-1104171027,21/Mar/2023,12:26:11
Terrenos,,R$ 2.200,Setor Campinas,Goiânia,GO,64m²,POLO IMÓVEIS - LTDA,01/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-em-campinas-1141724892,21/Mar/2023,12:26:11
Terrenos,,R$ 890.000,Setor Campinas,Goiânia,GO,464m²,PRIVATE MAIS INTELIGENCIA IMOBILIARIA LTDA,10/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/0-terreno-setor-campinas-998328021,21/Mar/2023,12:26:11
Terrenos,,R$ 3.200.000,Setor Campinas,Goiânia,GO,2130m²,URBS Private,06/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/0-terreno-setor-campinas-1066366455,21/Mar/2023,12:26:11
Terrenos,,null,St Campinas,Goiânia,GO,,SAMUEL SANTOS,02/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/vendo-agio-1153803987,21/Mar/2023,12:26:11
Terrenos,,R$ 890.000,Setor Campinas,Goiânia,GO,464m²,URBS +,23/12/2022,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/0-terreno-setor-campinas-1124954490,21/Mar/2023,12:26:11
