tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,3,R$ 320.000,Jardim Caravelas 1ª Etapa,Goiânia,GO,100m²,3 MORADAS IMÓVEIS,04/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-3-4-no-jardim-caravelas-1128741380,21/Mar/2023,11:36:55
Venda - casa em condominio fechado,2,R$ 250.000,Fazenda Santa Rita - Conjunto Residencial Alto Oriente,Goiânia,GO,60m²,My Broker Imobiliária Filial Buriti,13/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-de-02-quartos-em-condominio-de-goiania-codigo-20164-1117504162,21/Mar/2023,11:36:55
Venda - casa em rua pública,2,R$ 230.000,Fazenda Santa Rita - Conjunto Residencial Alto Oriente,Goiânia,GO,150m²,Kellington Oliveira,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-condominio-flores-de-goias-2-4-r-230-mil-1104110603,21/Mar/2023,11:36:55
Venda - casa em rua pública,3,R$ 10,Jardim Caravelas 1ª Etapa,Goiânia,GO,,Camila Helena Araujo,06/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/venda-de-casa-nova-jardim-caravelas-casa-em-goiania-1129057272,21/Mar/2023,11:36:55
Venda - casa em rua pública,3,R$ 320.000,Jardim Caravelas 1ª Etapa,Goiânia,GO,100m²,Márcio André de Oliveira,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/jardim-caravelas-1142680352,21/Mar/2023,11:36:55
Venda - casa em rua pública,3,R$ 430.000,Jardim Caravelas 1ª Etapa,Goiânia,GO,100m²,João victor Nonato imóveis,06/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-no-jardim-caravelas-goiania-1129862997,21/Mar/2023,11:36:55
Venda - casa em rua pública,3,R$ 320.000,Jardim Caravelas 1ª Etapa,Goiânia,GO,99m²,Elvis Leandro,15/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/linda-casa-3-4-sendo-1-suite-no-jardim-caravelas-em-goiania-1154853332,21/Mar/2023,11:36:55
Venda - casa em rua pública,3,R$ 400.000,Jardim Caravelas 1ª Etapa,Goiânia,GO,200m²,M2 INVESTIMENTOS IMOBILIÁRIOS,24/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/goiania-casa-padrao-jardim-caravelas-1150939833,21/Mar/2023,11:36:55
Venda - casa em rua pública,3,R$ 320.000,Jardim Caravelas 1ª Etapa,Goiânia,GO,99m²,Elvis Leandro,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/linda-casa-3-4-sendo-1-suite-no-jardim-caravelas-em-goiania-1160156542,21/Mar/2023,11:36:55
Venda - casa em rua pública,3,R$ 320.000,Jardim Caravelas 1ª Etapa,Goiânia,GO,98m²,MB Negócios Imobiliários,13/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-03-quartos-sendo-01-suite-jd-caravelas-goiania-1154162427,21/Mar/2023,11:36:55
