tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 850.000,Vila Santa Rita - 5ª Etapa,Goiânia,GO,3000m²,Rodrigomedeiros,17/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/area-com-3-mil-metros-1145872246,21/Mar/2023,12:33:59
Venda - apartamento padrão,2,R$ 205.000,Vila Santa Rita - 5ª Etapa,Goiânia,GO,49m²,Pointer Imóveis,02/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-a-venda-49-m-por-r-205-000-00-moinho-dos-ventos-goiania-go-1080759446,21/Mar/2023,12:33:59
Venda - casa em rua pública,3,R$ 335.000,Residencial Canadá,Goiânia,GO,150m²,NEW SALES IMÓVEIS MATRIZ,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-maravilhosa-bem-localizada-no-residencial-canada-1161161349,21/Mar/2023,12:34:00
Venda - casa em rua pública,3,R$ 335.000,Residencial Canadá,Goiânia,GO,102m²,AM IMÓVEIS,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/residencial-canada-3-quartos-sendo-1-suite-1038348130,21/Mar/2023,12:34:00
Venda - casa em rua pública,3,R$ 450.000,Residencial Canadá,Goiânia,GO,102m²,HSR GESTAO IMOBILIÁRIA,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-com-102-metros-quadrados-com-3-quartos-em-residencial-canada-goiania-g-1029249915,21/Mar/2023,12:34:00
Venda - casa em rua pública,3,R$ 400.000,Residencial Canadá,Goiânia,GO,117m²,Celizia Marinho Soares Martins,20/05/2022,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/linda-casa-terrea-com-3-quartos-em-residencial-canada-goiania-go-1034708864,21/Mar/2023,12:34:00
Venda - casa em rua pública,3,R$ 430.006,Residencial Canadá,Goiânia,GO,121m²,João victor Nonato imóveis,30/12/2022,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-com-3-quartos-em-residencial-canada-goiania-go-1017709701,21/Mar/2023,12:34:00
Venda - casa em rua pública,3,R$ 680.000,Residencial Canadá,Goiânia,GO,240m²,RJ Negócios Imobiliários,17/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-terrea-residencial-canada-goiania-1160596136,21/Mar/2023,12:34:00
Venda - casa em rua pública,3,R$ 335.000,Residencial Canadá,Goiânia,GO,103m²,AGR Imóveis,04/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/oportunidade-1128713931,21/Mar/2023,12:34:00
Venda - casa em rua pública,3,R$ 335.000,Residencial Canadá,Goiânia,GO,103m²,AGR Imóveis,28/12/2022,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-com-valor-de-entrada-facitada-no-residencial-canada-go-residencial-canada-goiania-1126583548,21/Mar/2023,12:34:00
Venda - casa em rua pública,3,R$ 335.000,Residencial Canadá,Goiânia,GO,103m²,AGR Imóveis,23/12/2022,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-com-possibilidade-de-sair-zero-entrada-residencial-canada-goiania-go-1125130756,21/Mar/2023,12:34:00
Venda - apartamento padrão,2,R$ 200.000,Vila Santa Rita - 5ª Etapa,Goiânia,GO,46m²,GHimóveis,12/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/apartamento-a-venda-46-m-por-r-200-000-00-vila-santa-rita-5-etapa-goiania-go-1048652429,21/Mar/2023,12:34:00
Venda - casa em rua pública,3,R$ 255.000,Vila Santa Rita - 5ª Etapa,Goiânia,GO,90m²,FR7 Imóveis,09/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/bela-casa-na-vila-santa-rita-goiania-go-1156657182,21/Mar/2023,12:34:00
