tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 200.000,Village Santa Rita,Goiânia,GO,369m²,G1 IMOVEIS LTDA - ME,08/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-para-venda-tem-369-metros-quadrados-em-moinho-dos-ventos-goiania-go-1111061775,21/Mar/2023,11:40:16
Venda - casa em rua pública,3,R$ 350.000,Village Santa Rita,Goiânia,GO,115m²,Eliana Silva Consultora Imobiliária,13/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-possui-115-metros-quadrados-com-3-quartos-em-village-santa-rita-goiania-1138328162,21/Mar/2023,11:40:16
Venda - casa em rua pública,2,R$ 190.000,Village Santa Rita,Goiânia,GO,120m²,marcelo.centrooeste,07/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/vendo-casa-village-santa-rita-1144144845,21/Mar/2023,11:40:16
Terrenos,,R$ 200.000,Village Santa Rita,Goiânia,GO,369m²,G1 IMOVEIS LTDA - ME,07/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-terreno-para-venda-tem-369-metros-quadrados-em-moinho-dos-ventos-goiania-go-1111061757,21/Mar/2023,11:40:16
Venda - casa em rua pública,3,R$ 260.000,Village Santa Rita,Goiânia,GO,163m²,URR imóveis,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-a-venda-tem-163-m-e-area-130m-com-3-quartos-uma-suite-em-village-santa-rita-goia-1067134564,21/Mar/2023,11:40:16
Terrenos,,R$ 150.000,Village Santa Rita,Goiânia,GO,360m²,MY BROKER RICARDO PARANHOS LTDA,14/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/terreno-em-loteamento-village-santa-rita-codigo-16446-1104159717,21/Mar/2023,11:40:16
Outros,,R$ 22.222,Village Santa Rita,Goiânia,GO,700m²,produsomgyn,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/rancho-no-lago-corumba-iv-1161801877,21/Mar/2023,11:40:16
Venda - casa em rua pública,3,R$ 370.000,Village Santa Rita,Goiânia,GO,115m²,Kamila Dias,18/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-a-venda-com-3-quartos-sendo-um-suite-no-village-santa-rita-em-goiania-go-1135346685,21/Mar/2023,11:40:16
Venda - casa em rua pública,2,R$ 375.000,Village Santa Rita,Goiânia,GO,88m²,Genial Imóveis,13/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-em-goiania-no-setor-village-santa-rita-1074007426,21/Mar/2023,11:40:16
Venda - casa em rua pública,3,R$ 370.000,Village Santa Rita,Goiânia,GO,180m²,RUY JOSE DE OLIVEIRA,16/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-com-3-quartos-bairro-village-santa-rita-em-goiania-1143841813,21/Mar/2023,11:40:16
Terrenos,,R$ 220.000,Village Santa Rita,Goiânia,GO,517m²,José Roberto Corretor,09/11/2022,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/excelente-lote-de-esquina-no-village-santa-rita-goiania-go-1107364485,21/Mar/2023,11:40:16
Venda - casa em rua pública,3,R$ 260.000,Village Santa Rita,Goiânia,GO,290m²,Eva Rodrigues de Melo,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/goiania-casa-padrao-vilage-santa-rita-1081209813,21/Mar/2023,11:40:16
Venda - casa em rua pública,2,R$ 375.000,Village Santa Rita,Goiânia,GO,88m²,Genial Imóveis,12/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-em-goiania-no-setor-village-santa-rita-1074007419,21/Mar/2023,11:40:16
Venda - casa em rua pública,3,R$ 370.000,Village Santa Rita,Goiânia,GO,122m²,Wesley Silva Imóveis,20/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-com-122-metros-quadrados-com-3-quartos-em-village-santa-rita-goiania-go-1133162989,21/Mar/2023,11:40:16
Venda - casa em rua pública,3,R$ 370.000,Village Santa Rita,Goiânia,GO,115m²,HEXA GESTÃO DE IMÓVEIS,24/02/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-3-quartos-village-santa-rita-goiania-go-1088784776,21/Mar/2023,11:40:16
Terrenos,,R$ 150.000,Village Santa Rita,Goiânia,GO,360m²,My Broker Imobiliária,25/12/2022,https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/goiania-loteamento-condominio-village-santa-rita-1076641654,21/Mar/2023,11:40:16
Venda - casa em rua pública,3,R$ 395.000,Village Santa Rita,Goiânia,GO,101m²,Genial Imóveis,12/03/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-para-venda-em-village-santa-rita-com-frente-para-av-eli-alves-forte-1072496485,21/Mar/2023,11:40:16
Venda - casa em rua pública,3,R$ 490.000,Village Santa Rita,Goiânia,GO,186m²,Celito,31/01/2023,https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casa-alto-padrao-sozinha-no-lote-com-3-suites-plenas-no-village-santa-rita-1115296774,21/Mar/2023,11:40:16
