tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 240.000,,Santo Amaro do Maranhão,MA,20000m²,Lucas C.,21/09/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/2-hectares-1236220979,03/Oct/2023,21:26:50
Terrenos,,R$ 1,,Santo Amaro do Maranhão,MA,1344m²,Júlio Conquiste Imóveis,08/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/indisponivel-1118348322,03/Oct/2023,21:26:50
Terrenos,,R$ 12.000.000,,Santo Amaro do Maranhão,MA,17540000m²,Júlio Conquiste Imóveis,17/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/1750-hectares-em-santo-amaro-964538045,03/Oct/2023,21:26:50
Outros,,R$ 240.000,,Santo Amaro do Maranhão,MA,20000m²,Gustavo,19/09/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-2hectares-santo-amaro-ma-1235571682,03/Oct/2023,21:26:50
Terrenos,,R$ 180.000,,Santo Amaro do Maranhão,MA,300m²,D Castro Imoveis,28/09/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/condominio-de-lotes-santo-amaro-do-maranhao-ma-1238245247,03/Oct/2023,21:26:51
Terrenos,,R$ 130.000,,Santo Amaro do Maranhão,MA,300m²,antoniolsfernandes,15/09/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-em-santo-amaro-ma-1233903354,03/Oct/2023,21:26:51
Terrenos,,R$ 65.000,,Santo Amaro do Maranhão,MA,,Nane,23/09/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-em-santo-amaro-do-maranhao-1236951899,03/Oct/2023,21:26:51
Terrenos,,R$ 300.000,,Santo Amaro do Maranhão,MA,848m²,Parceiros imóveis,24/09/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/santo-amaro-terreno-1237010145,03/Oct/2023,21:26:51
Terrenos,,R$ 120.000,,Santo Amaro do Maranhão,MA,200m²,Premium  Imóveis Slz,02/10/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/belissimo-terreno-na-entrada-de-santo-amaro-1239614109,03/Oct/2023,21:26:51
Terrenos,,R$ 1.800.000,Centro,Santo Amaro do Maranhão,MA,707000m²,Eurico Vaz de Moraes Filho,30/07/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/santo-amaro-ma-area-de-707-hectares-a-venda-as-margens-da-br-402-1216326964,03/Oct/2023,21:26:51
Terrenos,,R$ 180.000,,Santo Amaro do Maranhão,MA,300m²,Pedro Henrique Reis Gomes,27/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/cv56-loteamento-terra-ville-residence-em-santo-amaro-1226947867,03/Oct/2023,21:26:51
Terrenos,,R$ 150.000,,Santo Amaro do Maranhão,MA,,Edileusa,08/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/vendo-terreno-em-santo-amaro-bairro-olho-d-agua-1219777257,03/Oct/2023,21:26:51
Terrenos,,R$ 170.000,,Santo Amaro do Maranhão,MA,300m²,PEREIRA VERAS E FEITOSA LTDA.,25/07/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-a-venda-300-m-por-r-170-000-00-olho-d-agua-santo-amaro-do-maranhao-ma-1214358463,03/Oct/2023,21:26:51
Terrenos,,R$ 2.000,,Santo Amaro do Maranhão,MA,,TIGRAO Sousa,16/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-aki-em-santo-amaro-1223021543,03/Oct/2023,21:26:51
Terrenos,,R$ 160.000,,Santo Amaro do Maranhão,MA,200m²,Wando Moisés Moreno Lago,02/10/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/lotes-em-condominio-fechado-em-santo-amaro-au-lado-dos-lencois-1239790145,03/Oct/2023,21:26:51
Terrenos,,R$ 5.000.000,Centro,Santo Amaro do Maranhão,MA,320000m²,Eurico Vaz de Moraes Filho,30/07/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/santo-amaro-area-de-320-hectares-a-venda-na-localidade-mundo-novo-1216324658,03/Oct/2023,21:26:51
Terrenos,,R$ 1.500.000,,Santo Amaro do Maranhão,MA,,PEREIRA VERAS E FEITOSA LTDA.,27/05/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-a-venda-por-r-1-500-000-00-povoado-angelim-santo-amaro-do-maranhao-ma-1190720507,03/Oct/2023,21:26:51
Terrenos,,R$ 18.000,,Santo Amaro do Maranhão,MA,,Davi,28/07/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/vendo-terreno-em-santo-amaro-ma-10-27-obs-leia-a-descricao-1215882182,03/Oct/2023,21:26:51
Terrenos,,R$ 300.000,,Santo Amaro do Maranhão,MA,,Bia,01/09/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-top-em-santo-amaro-do-maranhao-1229063864,03/Oct/2023,21:26:51
Terrenos,,R$ 160.000,Centro,Santo Amaro do Maranhão,MA,300m²,Pedro Henrique Reis Gomes,15/09/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/jac-11-lote-terreno-para-venda-tem-300-metros-quadrados-em-centro-santo-amaro-do-maranh-1234245789,03/Oct/2023,21:26:51
Terrenos,,R$ 160.000,,Santo Amaro do Maranhão,MA,300m²,Wando Moisés Moreno Lago,16/09/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/lotes-em-condominio-fechado-em-santo-amaro-pagamento-parcelado-1234321814,03/Oct/2023,21:26:51
Terrenos,,R$ 160.000,,Santo Amaro do Maranhão,MA,300m²,Wando Moisés Moreno Lago,29/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/lotes-em-condominio-fechado-em-santo-amaro-ma-1227863968,03/Oct/2023,21:26:51
Terrenos,,R$ 150.000,,Santo Amaro do Maranhão,MA,1700m²,Rafa,01/10/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/venda-de-terreno-todo-legalizado-em-santo-amaro-do-maranhao-local-extremamente-turistico-1239480228,03/Oct/2023,21:26:51
Terrenos,,R$ 600.000,Centro,Santo Amaro do Maranhão,MA,8250m²,Bernardo Neto Imóveis,13/07/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/vende-terreno-lotes-na-cidade-de-santo-amaro-maranhao-ma-1209576373,03/Oct/2023,21:26:51
Terrenos,,R$ 1.300.000,,Santo Amaro do Maranhão,MA,390m²,Eurico Vaz de Moraes Filho,04/05/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/santo-amaro-ma-a-venda-area-de-39-hectares-com-rio-dentro-na-beira-da-ma-320-1180737387,03/Oct/2023,21:26:51
Terrenos,,R$ 180.000,,Santo Amaro do Maranhão,MA,300m²,Pedro Henrique Reis Gomes,27/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/cv57-terra-ville-residence-loteamento-fechado-em-santo-amaro-ma-1227123531,03/Oct/2023,21:26:51
Terrenos,,R$ 200.000,,Santo Amaro do Maranhão,MA,300m²,Nelson Garcia,10/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/nelson-garcia-vende-lote-no-condominio-dunas-park-nelson-piquet-em-santo-amaro-1060356142,03/Oct/2023,21:26:51
Terrenos,,R$ 180.000,,Santo Amaro do Maranhão,MA,300m²,Diego Consultoria Imobiliária,22/09/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/loteamento-para-venda-em-santo-amaro-do-maranhao-atim-1236348948,03/Oct/2023,21:26:51
Terrenos,,R$ 170.000,,Santo Amaro do Maranhão,MA,200m²,Nicole,31/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-em-santo-amaro-200m2-1228737983,03/Oct/2023,21:26:51
Terrenos,,R$ 45.000,,Santo Amaro do Maranhão,MA,,Wesley Ramos,28/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-travosa-otima-oportunidade-1227490217,03/Oct/2023,21:26:51
Terrenos,,R$ 3.300.000,,Santo Amaro do Maranhão,MA,20510794m²,Júlio Conquiste Imóveis,17/09/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-em-santo-amaro-do-maranhao-1161207489,03/Oct/2023,21:26:51
Terrenos,,R$ 30.000,,Santo Amaro do Maranhão,MA,308m²,Arthur,15/09/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-em-santo-amaro-ma-1234103400,03/Oct/2023,21:26:51
Terrenos,,R$ 300.000,,Santo Amaro do Maranhão,MA,868m²,Gabriel Eugênio,25/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/vendo-lote-em-santo-amaro-16x57-excelente-localizacao-1226600451,03/Oct/2023,21:26:51
Terrenos,,R$ 80.000,Centro,Santo Amaro do Maranhão,MA,519m²,maarcelo.siilva,16/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-a-venda-santo-amaro-1222679267,03/Oct/2023,21:26:51
Terrenos,,R$ 400.000,,Santo Amaro do Maranhão,MA,1400m²,Tiago B. Miranda,23/05/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/lote-terreno-em-santo-amaro-do-maranhao-1-400-m-regularizado-1189087157,03/Oct/2023,21:26:51
Terrenos,,R$ 150.000,Centro,Santo Amaro do Maranhão,MA,5000m²,Rafael Bastos,15/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/vendo-ou-troco-area-em-santo-amaro-lencois-maranhense-1197945227,03/Oct/2023,21:26:51
Terrenos,,R$ 65.000,,Santo Amaro do Maranhão,MA,200m²,Marta Moura,04/08/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/lotes-em-santo-amaro-r-65mil-valorpromocional-condominio-fechado-lencois-maranhense-1159745394,03/Oct/2023,21:26:51
Terrenos,,R$ 61.200,,Santo Amaro do Maranhão,MA,200m²,Aline Monteiro Consultoria Imobiliária,15/04/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/lotes-a-partir-de-200m-a-venda-em-santo-amaro-1162433152,03/Oct/2023,21:26:52
