tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 54.000,,Barreirinhas,MA,160m²,Imobiliária Meu Imóvel,28/02/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/cel-30-1119-ultimos-lotes-a-venda-garanta-ja-o-seu-1152770146,21/Mar/2023,16:41:38
Terrenos,,R$ 220.000,,Barreirinhas,MA,7000m²,Maria,22/02/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-67-105-1150009452,21/Mar/2023,16:41:38
Terrenos,,R$ 54.000,,Barreirinhas,MA,160m²,Imobiliária Meu Imóvel,04/03/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/cel-30-1158-ultimos-lotes-a-venda-no-melhor-loteamento-de-barreirinhas-1154623249,21/Mar/2023,16:41:38
Terrenos,,R$ 35.000,,Barreirinhas,MA,4000m²,BOLSA DE IMÓVEIS LENÇÓIS MARANHENSES CRECI MG 40426 F,13/02/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-rio-alegre-1146510073,21/Mar/2023,16:41:38
Terrenos,,R$ 1.000.000,,Barreirinhas,MA,150m²,ADEMIR SOUSA,03/03/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/praia-de-atins-lencoes-maranhense-vendo-casa-com-terreno-de-900m-vista-mar-1154048786,21/Mar/2023,16:41:38
Terrenos,,R$ 469,,Barreirinhas,MA,160m²,Pramorar Negócios Imobiliários,03/03/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/mm-barreirinhas-vendo-lotes-parcelados-direto-com-a-construtora-1078331781,21/Mar/2023,16:41:38
Terrenos,,R$ 2.000.000,,Barreirinhas,MA,400m²,ADEMIR SOUSA,03/03/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/praia-de-atins-lencoes-maranhense-vendo-pousada-com-terreno-de-1200m-1154027604,21/Mar/2023,16:41:38
Terrenos,,R$ 12.000,,Barreirinhas,MA,910m²,Débora,02/03/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-1153718398,21/Mar/2023,16:41:38
Terrenos,,R$ 3.500.000,,Barreirinhas,MA,600m²,ADEMIR SOUSA,03/03/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/praia-de-atins-lencoes-maranhense-vendo-pousada-em-terreno-de-28000m-1154032957,21/Mar/2023,16:41:38
Terrenos,,R$ 350.000,,Barreirinhas,MA,1000m²,Carline Mendes,01/03/2023,https://ma.olx.com.br/regiao-de-sao-luis/terrenos/terreno-em-barreirinhas-lencois-maranhense-1153314559,21/Mar/2023,16:41:38
