tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,3,R$ 200.000,Juçara,Imperatriz,MA,120m²,Ana p lima,15/03/2023,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/imoveis/casa-1159819701,21/Mar/2023,16:15:48
Venda - casa em rua pública,1,R$ 229.784,Bacuri,Imperatriz,MA,103m²,Real FG Soluções Imobiliárias Creci 30838-J-SP,16/03/2023,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/imoveis/imperatriz-ma-lt-0182-bacuri-1160124826,21/Mar/2023,16:15:49
Terrenos,,R$ 110.000,Parque das Mansões,Imperatriz,MA,552m²,Borges Empreendimentos Imobiliários,15/06/2022,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/terrenos/terreno-de-552m2-no-parque-das-mansoes-preco-de-2019-672169873,21/Mar/2023,16:15:49
Venda - casa em condominio fechado,4,R$ 3.500.000,Jardim América,Imperatriz,MA,415m²,IMOBILIÁRIA ÂNCORA,15/03/2023,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/imoveis/casa-4-suites-new-ville-415-m-energia-solar-piscina-hidromassagem-1074704055,21/Mar/2023,16:15:49
Terrenos,,R$ 220.000,Jardim São Luís,Imperatriz,MA,250m²,Borges Empreendimentos Imobiliários,29/08/2022,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/terrenos/terreno-a-venda-no-bairro-jardim-sao-luis-imperatriz-ma-1077253946,21/Mar/2023,16:15:49
Terrenos,,R$ 620.000,João Paulo II,Imperatriz,MA,773m²,Borges Empreendimentos Imobiliários,11/01/2022,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/terrenos/terreno-a-venda-no-bairro-joao-paulo-ii-imperatriz-ma-978256332,21/Mar/2023,16:15:49
Terrenos,,R$ 65.000,Residencial Verona,Imperatriz,MA,200m²,Borges Empreendimentos Imobiliários,28/05/2022,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/terrenos/terreno-lote-para-venda-791801733,21/Mar/2023,16:15:49
Venda - casa em rua pública,3,R$ 320.000,Santa Inês,Imperatriz,MA,160m²,Cotistas do Brasil Web,12/03/2023,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/imoveis/casa-nova-1158273886,21/Mar/2023,16:15:49
Venda - casa em rua pública,4,R$ 29.000.000,Jardim Europa,Imperatriz,MA,1000m²,TONY MENACHE,15/03/2023,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/imoveis/casa-espetacular-no-jardim-europa-1087411183,21/Mar/2023,16:15:49
Venda - casa em rua pública,3,R$ 450.000,Entroncamento,Imperatriz,MA,999m²,IMOBILIÁRIA ÂNCORA,14/03/2023,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/imoveis/sobrado-casa-3-quartos-suite-hidromassagem-armarios-entroncamento-1055450097,21/Mar/2023,16:15:49
Venda - casa em rua pública,2,R$ 350.000,Residencial Colina Park,Imperatriz,MA,135m²,Borges Empreendimentos Imobiliários,11/03/2023,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/imoveis/casa-a-venda-no-bairro-residencial-colina-park-imperatriz-ma-1157620683,21/Mar/2023,16:15:49
Venda - casa em rua pública,4,R$ 1.870.000,Jardim América,Imperatriz,MA,243m²,G S BRITO & CIA LTDA - CENTRAL IMOBILIÁRIA,16/03/2023,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/imoveis/casa-de-alto-padrao-para-venda-no-condominio-jandaia-1087641915,21/Mar/2023,16:15:49
