tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,1,R$ 111.758,,Almenara,MG,108m²,Lar e Residência,28/08/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/almenara-casa-padrao-1227285704,04/Oct/2023,17:14:58
Terrenos,,R$ 45.941,,Almenara,MG,,MGL LEILÕES,19/03/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/terrenos/cx-terreno-cod-65078-almenara-parque-sao-joao-1038221726,04/Oct/2023,17:14:58
Terrenos,,R$ 50.000,,Almenara,MG,150m²,cellort567,17/08/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/terrenos/terreno-5x30-bairro-jardim-paraiso-rua-1-n-60-atras-da-faculdade-alfa-1223349280,04/Oct/2023,17:14:58
Terrenos,,R$ 60.000,,Almenara,MG,180m²,Claudir R.,27/08/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/terrenos/terreno-a-venda-cidade-jardim-almenara-1226922304,04/Oct/2023,17:14:58
Venda - casa em rua pública,2,R$ 105.000,,Almenara,MG,,brunotorresmendesfaria2153,19/09/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/vendo-casa-1235437451,04/Oct/2023,17:14:58
Venda - casa em rua pública,2,R$ 55.000,,Almenara,MG,125m²,ALEXANDRE,20/09/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-a-venda-1233646265,04/Oct/2023,17:14:58
Venda - casa em rua pública,2,R$ 52.000,,Almenara,MG,280m²,Rafael Alves,01/10/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-1239442996,04/Oct/2023,17:14:58
Venda - casa em rua pública,1,R$ 111.758,,Almenara,MG,108m²,Imoveis Azul,31/08/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/almenara-casa-padrao-1228588020,04/Oct/2023,17:14:58
Venda - casa em rua pública,1,R$ 70.000,,Almenara,MG,480m²,Alves,28/09/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/terreno-de-480m2-com-barracao-residencial-1238370420,04/Oct/2023,17:14:58
Venda - casa em rua pública,2,R$ 99.484,,Almenara,MG,360m²,Rafael A. Matias,23/05/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/oportunidade-casa-107m-pv-e-360m-tr-abaixo-valor-mercado-almenara-mg-rafael-matias-1189121292,04/Oct/2023,17:14:58
