tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 600.000,Paquetá,Belo Horizonte,MG,368m²,Mello,11/08/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/excelente-terreno-castelo-paqueta-368-m-escriturado-e-registrado-1171362119,05/Oct/2023,01:53:00
Terrenos,,R$ 480.000,Paquetá,Belo Horizonte,MG,360m²,CORRETORA AGUIA,16/09/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-jardim-paqueta-belo-horizonte-mg-1234410578,05/Oct/2023,01:53:00
Terrenos,,R$ 1.500.000,Paquetá,Belo Horizonte,MG,639m²,CAPITAL IMOVEIS,22/08/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-paqueta-belo-horizonte-1224981776,05/Oct/2023,01:53:00
Terrenos,,R$ 400.000,Paquetá,Belo Horizonte,MG,392m²,Rede Kaza Imóveis,18/08/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-paqueta-belo-horizonte-mg-1223572830,05/Oct/2023,01:53:00
Terrenos,,R$ 1.400.000,Paquetá,Belo Horizonte,MG,360m²,IDEALLY,08/04/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-em-condominio-fazenda-da-serra-1084302332,05/Oct/2023,01:53:00
Terrenos,,R$ 585.000,Paquetá,Belo Horizonte,MG,360m²,MORATO IMÓVEIS,11/05/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-a-venda-paqueta-belo-horizonte-mg-1183867817,05/Oct/2023,01:53:00
Terrenos,,R$ 3.500.000,Paquetá,Belo Horizonte,MG,100000m²,BOB BROSTEL,25/08/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/100-000-m2-urbano-vizinhos-2-parques-industriais-pib-paraopeba-1226622348,05/Oct/2023,01:53:00
Terrenos,,R$ 380.000,Paquetá,Belo Horizonte,MG,176m²,VIVER IMOVEIS LTDA - ME,31/05/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-jardim-paqueta-1192390650,05/Oct/2023,01:53:00
Terrenos,,R$ 450.000,Paquetá,Belo Horizonte,MG,360m²,IMOBILIÁRIA OURO PRETO BH LTDA,21/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-commercial-land-lot-belo-horizonte-mg-1003222008,05/Oct/2023,01:53:00
Terrenos,,R$ 600.000,Paquetá,Belo Horizonte,MG,,VILELA IMÓVEIS,20/09/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/excelente-terreno-proximo-a-avenida-tancredo-neves-1235907230,05/Oct/2023,01:53:00
Terrenos,,R$ 1.390.000,Paquetá,Belo Horizonte,MG,360m²,Imobiliária Montreal,28/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-paqueta-belo-horizonte-mg-1152527337,05/Oct/2023,01:53:00
Terrenos,,R$ 480.000,Paquetá,Belo Horizonte,MG,360m²,Rede Kaza Imoveis,24/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-area-a-venda-paqueta-belo-horizonte-mg-1122769929,05/Oct/2023,01:53:00
Terrenos,,R$ 500.000,Paquetá,Belo Horizonte,MG,360m²,Imobiliária Montreal,28/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-paqueta-belo-horizonte-mg-1152522345,05/Oct/2023,01:53:00
Terrenos,,R$ 550.000,Paquetá,Belo Horizonte,MG,360m²,VIVER IMOVEIS LTDA - ME,18/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-jardim-paqueta-1100021835,05/Oct/2023,01:53:00
Terrenos,,R$ 1.250.000,Paquetá,Belo Horizonte,MG,400m²,Marluce Rodrigues Pereira de Paiva,08/09/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/bairro-paqueta-terreno-400m-lote-de-esquina-1231707900,05/Oct/2023,01:53:00
Terrenos,,R$ 630.000,Paquetá,Belo Horizonte,MG,360m²,VIVER IMOVEIS LTDA - ME,06/04/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-jardim-paqueta-1100021573,05/Oct/2023,01:53:00
Terrenos,,R$ 450.000,Paquetá,Belo Horizonte,MG,96m²,Imobiliária Plantão Corretora Imóveis Ltda,29/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-com-barracao-1011629786,05/Oct/2023,01:53:00
Terrenos,,R$ 855.000,Paquetá,Belo Horizonte,MG,360m²,Rede Kaza Imóveis,27/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-area-a-venda-paqueta-belo-horizonte-mg-1122772094,05/Oct/2023,01:53:00
Terrenos,,R$ 580.000,Paquetá,Belo Horizonte,MG,360m²,VIVER IMOVEIS LTDA - ME,10/07/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-jardim-paqueta-1208641075,05/Oct/2023,01:53:00
Terrenos,,R$ 480.000,Paquetá,Belo Horizonte,MG,360m²,Imobiliária Viluc,09/04/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-paqueta-1004930700,05/Oct/2023,01:53:00
Terrenos,,R$ 550.000,Paquetá,Belo Horizonte,MG,360m²,VIVER IMOVEIS LTDA - ME,29/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-jardim-paqueta-1165198824,05/Oct/2023,01:53:01
Terrenos,,R$ 650.000,Paquetá,Belo Horizonte,MG,360m²,GOLD  IMOVEIS,11/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-jardim-paqueta-933820269,05/Oct/2023,01:53:01
Terrenos,,R$ 1.650.000,Paquetá,Belo Horizonte,MG,454m²,Imobiliária Viluc,27/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-jardim-paqueta-1037864953,05/Oct/2023,01:53:01
Terrenos,,R$ 600.000,Paquetá,Belo Horizonte,MG,300m²,Comprar Imóveis Imobiliária Ltda,13/04/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-comercial-lote-terreno-belo-horizonte-mg-1004957996,05/Oct/2023,01:53:01
Terrenos,,R$ 1.410.000,Paquetá,Belo Horizonte,MG,360m²,São Luiz Imóveis,13/07/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-paqueta-belo-horizonte-mg-1209823895,05/Oct/2023,01:53:01
Terrenos,,R$ 4.200.000,Paquetá,Belo Horizonte,MG,,A&C NEGOCIOS  IMOBILIÁRIOS,18/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-terreno-padrao-jardim-paqueta-972336871,05/Oct/2023,01:53:01
Terrenos,,R$ 1.600.000,Paquetá,Belo Horizonte,MG,,Imobiliária Plantão Corretora Imóveis Ltda,15/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-residential-land-lot-paqueta-belo-horizonte-982020528,05/Oct/2023,01:53:01
Terrenos,,R$ 900.000,Paquetá,Belo Horizonte,MG,720m²,São Luiz Imóveis,12/04/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-paqueta-belo-horizonte-mg-1131902920,05/Oct/2023,01:53:01
