tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 380.000,Inconfidência,Belo Horizonte,MG,,Menezes Imobiliaria,13/09/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-rua-david-rabelo-bairro-inconfidencia-bh-1233394199,05/Oct/2023,08:27:15
Venda - casa em rua pública,3,R$ 500.000,Inconfidência,Belo Horizonte,MG,323m²,Lux Imoveis,09/08/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-casa-padrao-inconfidencia-1220145968,05/Oct/2023,08:27:15
Venda - apartamento padrão,3,R$ 209.999,Inconfidência,Belo Horizonte,MG,77m²,Casa Mineira por QuintoAndar,21/09/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-inconfidencia-3-quartos-77-m2-1236293740,05/Oct/2023,08:27:15
Venda - apartamento cobertura,3,R$ 609.000,Inconfidência,Belo Horizonte,MG,180m²,Casa Mineira por QuintoAndar,20/09/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-inconfidencia-3-quartos-180-m2-1235613522,05/Oct/2023,08:27:15
Venda - apartamento padrão,2,R$ 420.000,Inconfidência,Belo Horizonte,MG,62m²,BHMAIS IMOVEIS LTDA - ME,20/07/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-tipo-novissimo-inconfidencia-bh-02-qts-sendo-01-suite-c-armarios-nos-quart-1212527231,05/Oct/2023,08:27:15
Venda - casa em rua pública,4,R$ 890.000,Inconfidência,Belo Horizonte,MG,150m²,Casa Mineira por QuintoAndar,18/08/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/casa-a-venda-inconfidencia-4-quartos-150-m2-1223578443,05/Oct/2023,08:27:15
Venda - casa em rua pública,4,R$ 619.600,Inconfidência,Belo Horizonte,MG,295m²,USUÁRIO NEWCORE,23/09/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/casa-em-rua-santa-ceia-inconfidencia-belo-horizonte-mg-1236793193,05/Oct/2023,08:27:15
Venda - casa em rua pública,3,R$ 490.000,Inconfidência,Belo Horizonte,MG,350m²,Marcelo Imóveis Ltda,23/08/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-casa-padrao-inconfidencia-1225463174,05/Oct/2023,08:27:15
Terrenos,,R$ 1.200.000,Inconfidência,Belo Horizonte,MG,360m²,Rede Kaza Imóveis,04/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-area-a-venda-inconfidencia-belo-horizonte-mg-1122780871,05/Oct/2023,08:27:15
Venda - apartamento padrão,2,R$ 450.000,Inconfidência,Belo Horizonte,MG,92m²,Casa Mineira por QuintoAndar,11/09/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-inconfidencia-2-quartos-92-m2-1232669734,05/Oct/2023,08:27:15
Venda - casa em rua pública,3,R$ 160.000,Inconfidência,Belo Horizonte,MG,,Clarice S.,17/08/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/imovel-1223223744,05/Oct/2023,08:27:15
Venda - casa em rua pública,0,R$ 80.000,Inconfidência,Belo Horizonte,MG,500m²,gui.fer2014,18/08/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/vendo-lote-500-metros-1223700154,05/Oct/2023,08:27:15
Venda - apartamento cobertura,2,R$ 650.000,Inconfidência,Belo Horizonte,MG,120m²,BHMAIS IMOVEIS LTDA - ME,20/07/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-novissima-c-120m--inconfidencia-bh-02-qts-02-banheiros-sendo-01-suite-1212533168,05/Oct/2023,08:27:15
