tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 150.000,Ouro Verde,Lavras,MG,300m²,E-comércio Imóveis,18/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-no-bairro-residencial-ouro-verde-em-lavras-mg-913533002,04/Oct/2023,23:01:55
Terrenos,,null,Jardim Floresta,Lavras,MG,200m²,Poliana P.,11/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-bairro-santa-cruz-lavras-1232630756,04/Oct/2023,23:01:55
Terrenos,,R$ 160.000,Alta Villa Bom Jesus,Lavras,MG,10m²,ARBO IMÓVEIS,29/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-a-venda-alta-villa-bom-jesus-lavras-mg-1238661964,04/Oct/2023,23:01:55
Terrenos,,R$ 150.000,Ouro Branco,Lavras,MG,300m²,Marcos,11/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-1232432863,04/Oct/2023,23:01:55
Terrenos,,R$ 1,Parque Bocaina,Lavras,MG,,Thiago César,16/08/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-macaia-mg-1223011775,04/Oct/2023,23:01:55
Terrenos,,R$ 150.000,Jardim Itália,Lavras,MG,300m²,Alessandro Vitor,08/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-bairro-jardim-italia-1231459264,04/Oct/2023,23:01:55
Venda - casa em rua pública,3,R$ 490.000,Jardim Campestre II,Lavras,MG,220m²,Moreira,25/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/casa-no-campestre-ii-1237272058,04/Oct/2023,23:01:55
Terrenos,,R$ 360.000,Costa Pinto,Lavras,MG,320m²,Kadu,18/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-320-m2-rua-comercial-1234886598,04/Oct/2023,23:01:55
Terrenos,,R$ 180.000,Ouro Preto,Lavras,MG,600m²,Conan,18/08/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-condominio-amigrande-1223765919,04/Oct/2023,23:01:55
Terrenos,,R$ 215.900,Jardim Glória,Lavras,MG,421000m²,Juliano Andrade,13/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-condominio-porto-da-pedra-ijaci-juliano-988301205,04/Oct/2023,23:01:55
