tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 35.000,,São José da Barra,MG,226m²,ATALAIA BROKERS,03/10/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-para-venda-em-sao-jose-da-barra-shangrilla-las-palmas-1239842613,04/Oct/2023,21:55:25
Terrenos,,R$ 28.000,,São José da Barra,MG,250m²,Larraz Imóveis Ltda - ME,19/05/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/otimo-lote-para-venda-na-represa-de-furnas-no-balneario-shangryla-1-em-sao-jose-da-barra-1187226458,04/Oct/2023,21:55:25
Terrenos,,R$ 40.000,,São José da Barra,MG,250m²,Gabriel Nicolau,28/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-balneario-shangryla-250-m-1238204872,04/Oct/2023,21:55:25
Terrenos,,R$ 120.000,,São José da Barra,MG,1000m²,spite,20/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/loteamento-em-capitolio-1235720979,04/Oct/2023,21:55:25
Terrenos,,R$ 25.000,,São José da Barra,MG,250m²,Larraz Imóveis Ltda - ME,11/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/oportunidade-lote-para-venda-na-em-furnas-no-balneario-shangryla-ao-lado-de-escarpas-do-985698218,04/Oct/2023,21:55:25
Terrenos,,R$ 135.000,,São José da Barra,MG,500m²,Andrade & Menezes Negócios Imobiliários Ltda. Me,24/05/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-a-venda-500-m-por-r-135-000-sao-jose-da-barra-mg-1189414624,04/Oct/2023,21:55:25
Terrenos,,R$ 275.000,,São José da Barra,MG,1471m²,Larraz Imóveis Ltda - ME,12/04/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-para-venda-ou-parceria-na-incorporacao-em-sao-jose-da-barra-capitolio-mg-lote-com-1-1171678365,04/Oct/2023,21:55:25
Terrenos,,R$ 22.000,,São José da Barra,MG,250m²,Rafael,01/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-em-furnas-1229063855,04/Oct/2023,21:55:25
Terrenos,,R$ 2.000.000,,São José da Barra,MG,,Larraz Imóveis Ltda - ME,12/04/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/area-para-construcao-de-marina-a-venda-ou-para-parceria-na-incorporacao-em-sao-jose-da-bar-1171682915,04/Oct/2023,21:55:25
Terrenos,,R$ 120.000,,São José da Barra,MG,750m²,Lago Imobiliária,29/04/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-padrao-em-sao-jose-da-barra-1178962132,04/Oct/2023,21:55:25
Terrenos,,R$ 29.850,,São José da Barra,MG,250m²,waleska,01/10/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lotes-em-furnas-partir-de-29-850-00-a-vista-ou-parcelado-em-ate-61x-com-o-proprietario-1203136880,04/Oct/2023,21:55:25
Terrenos,,R$ 650.000,,São José da Barra,MG,4150m²,ATALAIA BROKERS,03/10/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-para-venda-em-sao-jose-da-barra-peninsula-do-sol-1239842557,04/Oct/2023,21:55:25
Terrenos,,R$ 30.000,,São José da Barra,MG,250m²,Lago Imobiliária,05/04/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-padrao-em-sao-jose-da-barra-1060790523,04/Oct/2023,21:55:25
Terrenos,,R$ 29.900,,São José da Barra,MG,250m²,Rafael,01/10/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-em-furnas-1239390210,04/Oct/2023,21:55:25
Terrenos,,R$ 35.000,,São José da Barra,MG,265m²,Ednilson,19/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-em-sao-jose-da-barra-mg-aceito-carro-ou-moto-1235452608,04/Oct/2023,21:55:25
Terrenos,,R$ 35.000,,São José da Barra,MG,250m²,Larraz Imóveis Ltda - ME,12/05/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/otimo-lote-para-venda-na-represa-de-furnas-no-balneario-shangryla-1-em-sao-jose-da-barra-1184242131,04/Oct/2023,21:55:25
Terrenos,,R$ 34.000,,São José da Barra,MG,250m²,ludmila,17/08/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-em-sao-jose-da-barra-1223258909,04/Oct/2023,21:55:25
Terrenos,,R$ 34.000,,São José da Barra,MG,240m²,Fabio Alves Corrêa,13/08/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/vendo-terreno-240-m-balneario-shangyla-sao-jose-da-barra-mg-por-34-000-00-br-1221761331,04/Oct/2023,21:55:25
Terrenos,,R$ 790.000,,São José da Barra,MG,2285m²,Anuar Donato Consultoria Imobiliária,21/02/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/anuar-donato-lote-terreno-a-venda-marinas-portobello-1106035055,04/Oct/2023,21:55:25
Terrenos,,R$ 3.000.000,,São José da Barra,MG,260000m²,Imoveis Ativa,27/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/area-a-venda-260000-m-por-r-3-000-000-00-furnas-sao-jose-da-barra-mg-1002353601,04/Oct/2023,21:55:25
Terrenos,,R$ 35.000,,São José da Barra,MG,250m²,HOUSE BROKERS BRASIL LTDA,05/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-a-venda-250-m-por-r-35-000-00-balneario-cassino-shangyla-ii-sao-jose-da-bar-1230336042,04/Oct/2023,21:55:25
Terrenos,,R$ 42.500,,São José da Barra,MG,500m²,mateusbdias14,21/08/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/vendo-2-terrenos-no-balneario-shangryla1-capitolio-lago-de-furnas-serra-da-canastra-1224526419,04/Oct/2023,21:55:25
Terrenos,,R$ 79.000,,São José da Barra,MG,265m²,Rossini Negócios Imobiliários Ltda,24/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-padrao-rua-sao-jose-da-barra-mg-1076917060,04/Oct/2023,21:55:25
Terrenos,,R$ 867.300,,São José da Barra,MG,150000m²,MGL LEILÕES,01/08/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/sao-jose-da-barra-mg-terreno-rural-com-hectares-jb31059-1216941129,04/Oct/2023,21:55:25
Terrenos,,R$ 29.500,,São José da Barra,MG,250m²,Larraz Imóveis Ltda - ME,13/06/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-para-venda-na-represa-de-furnas-no-balneario-shangryla-ao-lado-de-escarpas-do-lago-n-1197617879,04/Oct/2023,21:55:25
Terrenos,,R$ 20.000,,São José da Barra,MG,250m²,Larraz Imóveis Ltda - ME,18/07/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/oportunidade-lote-para-venda-na-represa-de-furnas-no-balneario-shangryla-ao-lado-de-esca-1211508839,04/Oct/2023,21:55:25
Terrenos,,R$ 66.000,,São José da Barra,MG,250m²,Larraz Imóveis Ltda - ME,25/02/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/otimo-lote-para-venda-represa-de-furnas-balneario-shangryla-1-ao-lado-de-escarpas-do-lag-1151409712,04/Oct/2023,21:55:25
Terrenos,,R$ 30.800,,São José da Barra,MG,250m²,Larraz Imóveis Ltda - ME,22/02/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/otimo-lote-para-venda-represa-de-furnas-balneario-shangryla-1-ao-lado-de-escarpas-do-lag-1092143462,04/Oct/2023,21:55:26
Terrenos,,R$ 35.000,,São José da Barra,MG,250m²,Larraz Imóveis Ltda - ME,21/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/otimo-lote-para-venda-represa-de-furnas-balneario-shangryla-1-ao-lado-de-escarpas-do-lag-1040773515,04/Oct/2023,21:55:26
Terrenos,,R$ 29.850,,São José da Barra,MG,250m²,Larraz Imóveis Ltda - ME,09/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-para-venda-na-represa-de-furnas-no-balneario-shangryla-ao-lado-de-escarpas-na-regiao-985698166,04/Oct/2023,21:55:26
Terrenos,,R$ 30.000,,São José da Barra,MG,250m²,Larraz Imóveis Ltda - ME,13/04/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/otimo-lote-para-venda-na-represa-de-furnas-no-balneario-shangryla-1-em-sao-jose-da-barra-1172414811,04/Oct/2023,21:55:26
Terrenos,,R$ 3.300.000,,São José da Barra,MG,260000m²,Rosa & Rangel ? Consultoria e Assessoria Imobiliária,31/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/area-no-lago-de-furnas-so-aqui-na-rosa-e-rangel-987439708,04/Oct/2023,21:55:26
Terrenos,,R$ 66.000,,São José da Barra,MG,250m²,Larraz Imóveis Ltda - ME,27/02/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/otimo-lote-para-venda-represa-de-furnas-balneario-shangryla-1-ao-lado-de-escarpas-do-lag-1029623069,04/Oct/2023,21:55:26
Terrenos,,R$ 43.000,,São José da Barra,MG,,Bruna Zimmermann,22/08/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-balneario-shangryla-furnas-1225238416,04/Oct/2023,21:55:26
Terrenos,,R$ 400.000,,São José da Barra,MG,3315m²,Larraz Imóveis Ltda - ME,12/04/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-para-venda-ou-parceria-na-incorporacao-em-sao-jose-da-barra-capitolio-mg-lote-com-3-1171680974,04/Oct/2023,21:55:26
Venda - casa em condominio fechado,1,R$ 110.000,,São José da Barra,MG,250m²,Andrew Aguirre,09/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/casa-capitolio-1231883711,04/Oct/2023,21:55:27
Venda - casa em rua pública,2,R$ 280.000,,São José da Barra,MG,148m²,Lago Imobiliária,07/04/2022,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/casa-padrao-em-sao-jose-da-barra-1017137174,04/Oct/2023,21:55:27
Terrenos,,R$ 40.000,,São José da Barra,MG,250m²,J2 IMOBILIARIA,08/02/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-a-venda-1144295253,04/Oct/2023,21:55:27
Terrenos,,R$ 22.260,,São José da Barra,MG,240m²,HOUSE BROKERS BRASIL LTDA,17/12/2022,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-a-venda-240-m-por-r-22-260-00-balneario-cassino-shangyla-ii-sao-jose-da-bar-1122757036,04/Oct/2023,21:55:27
Terrenos,,R$ 33.000,,São José da Barra,MG,250m²,Larraz Imóveis Ltda - ME,19/02/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/otimo-lote-para-venda-represa-de-furnas-balneario-shangryla-1-ao-lado-de-escarpas-do-lag-1023871852,04/Oct/2023,21:55:27
Terrenos,,R$ 22.260,,São José da Barra,MG,240m²,HOUSE BROKERS BRASIL LTDA,17/12/2022,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-a-venda-240-m-por-r-22-260-00-balneario-cassino-shangyla-ii-sao-jose-da-bar-1122757718,04/Oct/2023,21:55:27
Terrenos,,R$ 29.000,,São José da Barra,MG,230m²,HOUSE BROKERS BRASIL LTDA,17/12/2022,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-a-venda-230-m-por-r-29-000-balneario-cassino-shangyla-ii-sao-jose-da-barra-1122757247,04/Oct/2023,21:55:27
