tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 150.000,,São Lourenço,MG,383m²,Renato Silva,30/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-solar-dos-lagos-1238956426,04/Oct/2023,21:34:01
Terrenos,,R$ 80.000,,São Lourenço,MG,300m²,barbozaimoveismg,25/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/tv279-terreno-a-venda-no-bairro-jardim-paraiso-1237325271,04/Oct/2023,21:34:01
Terrenos,,R$ 240.000,,São Lourenço,MG,360m²,Desapega,24/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/vendo-lote-no-condominio-alto-da-serra-com-uma-excelente-topografia-1237188060,04/Oct/2023,21:34:01
Terrenos,,R$ 30.255,,São Lourenço,MG,357m²,MGL LEILÕES,01/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/sao-lourenco-mg-lote-urbano-com-357-50m-no-bairro-mirante-jb31222-1228880540,04/Oct/2023,21:34:01
Terrenos,,R$ 220.000,,São Lourenço,MG,30000m²,Liany Ribeiro,09/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terrenos-em-sao-lourenco-1231994087,04/Oct/2023,21:34:01
Terrenos,,R$ 70.000,,São Lourenço,MG,200m²,Daniel Luís Auletta,07/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/excelente-terreno-em-sao-lourenco-mg-1231206801,04/Oct/2023,21:34:01
Terrenos,,R$ 215.000,,São Lourenço,MG,360m²,Cláudio,02/10/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/vendo-lote-no-condominio-alto-da-serra-direto-com-proprietario-1239740800,04/Oct/2023,21:34:01
Terrenos,,R$ 50.000,,São Lourenço,MG,126m²,Carlos Henrique,14/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-126-m2-1233695929,04/Oct/2023,21:34:01
Terrenos,,R$ 75.000,,São Lourenço,MG,312m²,jjj,01/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-esquina-312-m-loteamento-sta-monica-3-sao-lourenco-mg-1228830164,04/Oct/2023,21:34:01
Terrenos,,R$ 90.000,,São Lourenço,MG,275m²,MARCIO SILVEIRA,28/08/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/t415-lotes-no-bairro-canaa-sao-lourenco-mg-1070068793,04/Oct/2023,21:34:01
Terrenos,,R$ 350.000,,São Lourenço,MG,427m²,Vendedor online,11/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-com-pequena-casa-1232296140,04/Oct/2023,21:34:01
Terrenos,,R$ 165.000,,São Lourenço,MG,300m²,jjj,06/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/cond-fechado-ouro-preto-sao-lourenco-mg-300-m2-870275601,04/Oct/2023,21:34:01
Terrenos,,R$ 70.000,,São Lourenço,MG,200m²,Fred,09/09/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-10x20-sao-lourenco-mg-1231954378,04/Oct/2023,21:34:01
