tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 385.000,Chácaras Rancho Alegre,Uberlândia,MG,2500m²,Wendel,22/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-2500-metros-bairro-chacaras-panorama-1166074339,24/Apr/2023,18:57:28
Terrenos,,R$ 225.000,,Uberlândia,MG,250m²,Objetiva Imóveis S/S Imóveis Ltda Me,25/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/excelente-terreno-no-bairro-planejado-quinta-alto-umuarama-1151434994,24/Apr/2023,18:57:50
Terrenos,,R$ 550.000,Granja Marileusa,Uberlândia,MG,550m²,Negócios Imobiliários Uberlândia,01/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/lote-terreno-a-venda-550-m2-condominio-alphaville-uberlandia-2-granja-marileusa-uberland-995841563,24/Apr/2023,18:57:50
Terrenos,,R$ 1.647.800,Santa Rosa,Uberlândia,MG,,Arlen Dias,23/03/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-comercial-para-empresa-1162987459,24/Apr/2023,18:57:50
Terrenos,,R$ 308.000,Chácaras Tubalina e Quartel,Uberlândia,MG,440m²,ARANTES IMOVEIS,31/03/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-chacaras-tubalina-e-quartel-uberlandia-mg-1134882550,24/Apr/2023,18:57:50
Terrenos,,R$ 486.000,Jardim Sul,Uberlândia,MG,360m²,Polo Negócios Imobiliários,01/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-no-bairro-jardim-sul-em-uberlandia-1124216027,24/Apr/2023,18:57:50
Terrenos,,R$ 1.200.000,Santa Mônica,Uberlândia,MG,696m²,STORTE IMÓVEIS LTDA,10/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-696-m-por-r-1-200-000-jardim-finotti-uberlandia-minas-gerais-1049031801,24/Apr/2023,18:57:50
Terrenos,,R$ 225.000,Minas Gerais,Uberlândia,MG,337m²,In House Negocios,12/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/uberlandia-terreno-padrao-minas-gerais-1127220504,24/Apr/2023,18:57:50
Terrenos,,R$ 715.793,Novo Mundo,Uberlândia,MG,996m²,ROTINA IMOVEIS ALTO PADRÃO,01/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-loteamento-verde-vida-uberlandia-mg-1121452218,24/Apr/2023,18:57:50
Terrenos,,R$ 120.000,São Jorge,Uberlândia,MG,250m²,Eli D.,24/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-250m-a-venda-no-bairro-sao-jorge-1151183761,24/Apr/2023,18:57:50
Terrenos,,R$ 120.000,Jardim Canaã,Uberlândia,MG,,FCM IMOBILIÁRIA,10/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/venda-terreno-jardim-canaa-1093035151,24/Apr/2023,18:57:50
Terrenos,,R$ 250.000,Segismundo Pereira,Uberlândia,MG,300m²,N2  Imobiliária,10/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/venda-terreno-segismundo-pereira-1087435647,24/Apr/2023,18:57:50
Terrenos,,R$ 200.000,Santa Rosa,Uberlândia,MG,250m²,FCM IMOBILIÁRIA,10/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/venda-terreno-santa-rosa-990140466,24/Apr/2023,18:57:50
Terrenos,,R$ 325.000,Novo Mundo,Uberlândia,MG,412m²,Eccos Imóveis,01/03/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-para-venda-no-bairro-novo-mundo-1153254241,24/Apr/2023,18:57:50
Terrenos,,R$ 270.000,Jardim das Palmeiras,Uberlândia,MG,300m²,Rodrigo Corretor de Imóveis,12/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-bairro-jardim-das-palmeiras-1135072204,24/Apr/2023,18:57:50
Terrenos,,R$ 183.000,Grand Ville,Uberlândia,MG,250m²,Negócios Imobiliários Uberlândia,12/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/lote-residencial-portal-do-vale-nascente-uberlandia-mg-995366355,24/Apr/2023,18:57:50
Terrenos,,R$ 550.000,Nossa Senhora Aparecida,Uberlândia,MG,300m²,Polo Negócios Imobiliários,24/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-no-bairro-nossa-senhora-aparecida-em-uberlandia-1047014033,24/Apr/2023,18:57:50
Terrenos,,R$ 644.000,Nova Uberlândia,Uberlândia,MG,383m²,REMAX ACERTI,01/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-383-m-por-r-644-000-00-jardins-barcelona-uberlandia-mg-1146913986,24/Apr/2023,18:57:50
Terrenos,,R$ 249.730,Granada,Uberlândia,MG,250m²,USUÁRIO NEWCORE,12/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/lote-em-rua-geraldino-martins-rodrigues-granada-uberlandia-mg-1171945555,24/Apr/2023,18:57:50
Terrenos,,R$ 270.000,Panorama,Uberlândia,MG,526m²,Eccos Imóveis,01/03/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-plano-para-venda-no-bairro-panorama-1117187594,24/Apr/2023,18:57:50
Terrenos,,R$ 300.000,Jardim Inconfidência,Uberlândia,MG,360m²,LB Negócios Imobiliários,01/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-360-m-no-jardim-inconfidencia-1049335007,24/Apr/2023,18:57:50
Terrenos,,R$ 320.000,Jardim Inconfidência,Uberlândia,MG,457m²,Silmo Imóveis,07/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/venda-terreno-jardim-inconfidencia-994292432,24/Apr/2023,18:57:50
Terrenos,,R$ 300.000,Segismundo Pereira,Uberlândia,MG,360m²,Eccos Imóveis,05/04/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-residencial-em-uberlandia-mg-santa-monica-1168288771,24/Apr/2023,18:57:50
Terrenos,,R$ 1.250.000,Jardim Sul,Uberlândia,MG,586m²,Olimpus Imóveis de Luxo,17/03/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/excelente-terreno-com-586-71m-no-condominio-cyrela-ipes-1160681638,24/Apr/2023,18:57:50
