tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,2,R$ 129.900,Jardim Patrícia,Uberlândia,MG,50m²,ARANTES IMOVEIS,05/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/venda-apartamento-jardim-patricia-1101484431,09/Jan/2023,23:45:44
Venda - casa em rua pública,2,R$ 270.000,Residencial Fruta do Conde,Uberlândia,MG,60m²,Alexandre de Almeida Oliveira,05/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-venda-mansour-ii-uberlandia-60m-4-vagas-1122510367,09/Jan/2023,23:45:44
Venda - apartamento padrão,3,R$ 300.000,Tubalina,Uberlândia,MG,76m²,Alexandre de Almeida Oliveira,05/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-3-dorms-para-venda-tubalina-uberlandia-76m-1-vaga-996100898,09/Jan/2023,23:45:44
Venda - apartamento cobertura,2,R$ 570.000,Santa Mônica,Uberlândia,MG,125m²,Alcione Pucci,05/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/cobertura-duplex-bairro-santa-monica-espaco-gourmet-com-churrasqueira-spa-125-m2-1006827506,09/Jan/2023,23:45:44
Venda - apartamento padrão,3,R$ 1.100.000,Morada da Colina,Uberlândia,MG,117m²,Everton Flávio Cândido,05/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-para-venda-tem-151-metros-quadrados-e-3-quartos-em-morada-da-colina-uberland-980322860,09/Jan/2023,23:45:44
Venda - casa em rua pública,3,R$ 1.000.000,Granada,Uberlândia,MG,230m²,André,05/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/lindo-sobrado-jardim-botanico-1057124538,09/Jan/2023,23:45:44
Venda - casa em rua pública,5 ou mais,R$ 550.000,Alto Umuarama,Uberlândia,MG,277m²,REMAX ACERTI,05/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-com-6-dormitorios-a-venda-277-m-por-r-550-000-00-alto-umuarama-uberlandia-mg-1073522543,09/Jan/2023,23:45:44
Venda - apartamento padrão,2,R$ 180.000,Dona Zulmira,Uberlândia,MG,59m²,REMAX ACERTI,05/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-com-2-dormitorios-a-venda-58-m-por-r-180-000-00-dona-zulmira-uberlandia-1032838764,09/Jan/2023,23:45:44
Venda - apartamento padrão,3,R$ 660.000,Jardim Karaíba,Uberlândia,MG,108m²,Fernando Pontes,05/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-para-venda-com-108-metros-em-torres-do-sul-jardim-karaiba-uberlandia-mg-1001399433,09/Jan/2023,23:45:44
Venda - apartamento padrão,3,R$ 360.000,Tibery,Uberlândia,MG,82m²,LB Negócios Imobiliários,05/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/apartamento-a-venda-81-m-por-r-360-000-00-tibery-uberlandia-mg-1049330934,09/Jan/2023,23:45:44
