tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 48.854,,Almenara,MG,250m²,MGL LEILÕES,09/03/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/terrenos/cx-terreno-cod-64954-almenara-santo-antonio-1034197447,21/Mar/2023,22:43:18
Terrenos,,R$ 1.000.000,,Almenara,MG,80000m²,Cotistas do Brasil Web,11/03/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/terrenos/lote-terreno-para-venda-possui-80000-metros-quadrados-em-zona-rural-almenara-mg-1157776792,21/Mar/2023,22:43:18
Terrenos,,R$ 90.000,,Almenara,MG,400m²,getulio,04/03/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/terrenos/terreno-10x40-escriturado-e-registrado-1154638377,21/Mar/2023,22:43:19
Terrenos,,R$ 349.680,,Almenara,MG,400m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/terrenos/lote400m-centro-almenara-1152711035,21/Mar/2023,22:43:19
Terrenos,,R$ 45.941,,Almenara,MG,,MGL LEILÕES,19/03/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/terrenos/cx-terreno-cod-65078-almenara-parque-sao-joao-1038221726,21/Mar/2023,22:43:19
Venda - casa em rua pública,1,R$ 119.690,,Almenara,MG,120m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-1-dorm-e-120m-centro-almenara-1152612477,21/Mar/2023,22:43:19
Venda - casa em rua pública,3,R$ 900.000,,Almenara,MG,384m²,Adriano,17/03/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-384-m2-paralelo-av-olindo-de-miranda-1160710918,21/Mar/2023,22:43:19
Terrenos,,R$ 59.030,,Almenara,MG,106m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/terrenos/lote106m-cidade-verde-almenara-1152838280,21/Mar/2023,22:43:19
Terrenos,,R$ 79.250,,Almenara,MG,198m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/terrenos/lote198m-adelita-torres-almenara-1152820067,21/Mar/2023,22:43:19
Venda - casa em rua pública,3,R$ 249.170,,Almenara,MG,140m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-3-dorm-e-140m-centro-almenara-1152649466,21/Mar/2023,22:43:19
Venda - casa em rua pública,2,R$ 119.230,,Almenara,MG,95m²,USUÁRIO NEWCORE,26/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-2-dorm-e-95m-centro-almenara-1151837784,21/Mar/2023,22:43:19
Venda - casa em rua pública,3,R$ 600.000,,Almenara,MG,220m²,Cotistas do Brasil Web,12/03/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-para-venda-possui-220-metros-quadrados-com-3-quartos-em-santo-antonio-almenara-mg-1158047123,21/Mar/2023,22:43:19
Venda - casa em rua pública,1,R$ 40.000,,Almenara,MG,,Estefany Costa,05/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-a-venda-em-almenara-mg-1143217881,21/Mar/2023,22:43:19
Terrenos,,R$ 115.000,,Almenara,MG,300m²,Erick Guimarães,27/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/terrenos/terreno-300m-1152144365,21/Mar/2023,22:43:19
Venda - apartamento padrão,3,R$ 380.000,,Almenara,MG,290m²,Cotistas do Brasil Web,11/03/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/apartamento-para-venda-tem-290-metros-quadrados-com-3-quartos-em-centro-almenara-mg-1157776511,21/Mar/2023,22:43:19
Venda - apartamento padrão,2,R$ 209.560,,Almenara,MG,80m²,USUÁRIO NEWCORE,12/03/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/apartamento-no-edificio-beira-rio-com-2-dorm-e-80m-centro-almenara-1158247145,21/Mar/2023,22:43:19
Venda - casa em rua pública,3,R$ 779.300,,Almenara,MG,450m²,USUÁRIO NEWCORE,01/03/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-3-dorm-e-450m-centro-almenara-1153018281,21/Mar/2023,22:43:19
Venda - casa em rua pública,2,R$ 349.140,,Almenara,MG,86m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-2-dorm-e-86m-cohatrac-v-almenara-1152754399,21/Mar/2023,22:43:19
Venda - casa em rua pública,2,R$ 159.640,,Almenara,MG,90m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-2-dorm-e-90m-centro-almenara-1152674703,21/Mar/2023,22:43:19
Venda - casa em rua pública,2,R$ 269.500,,Almenara,MG,145m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-2-dorm-e-145m-centro-almenara-1152673038,21/Mar/2023,22:43:19
Venda - casa em rua pública,2,R$ 359.240,,Almenara,MG,103m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-2-dorm-e-103m-centro-almenara-1152636632,21/Mar/2023,22:43:19
Venda - casa em rua pública,2,R$ 2.699.890,,Almenara,MG,280m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-2-dorm-e-280m-centro-almenara-1152731801,21/Mar/2023,22:43:19
Venda - casa em rua pública,3,R$ 600.000,,Almenara,MG,300m²,Cotistas do Brasil Web,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-para-venda-com-300-metros-quadrados-com-3-quartos-em-centro-almenara-mg-1152715813,21/Mar/2023,22:43:19
Venda - casa em rua pública,5 ou mais,R$ 2.999.090,,Almenara,MG,650m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-6-dorm-e-650m-centro-almenara-1152723012,21/Mar/2023,22:43:19
Venda - casa em rua pública,1,R$ 59.870,,Almenara,MG,65m²,USUÁRIO NEWCORE,17/03/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-1-dorm-e-65m-centro-almenara-1160431793,21/Mar/2023,22:43:19
Venda - casa em rua pública,3,R$ 989.780,,Almenara,MG,898m²,USUÁRIO NEWCORE,06/03/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-3-dorm-e-898m-centro-almenara-1155188536,21/Mar/2023,22:43:19
Venda - casa em rua pública,2,R$ 349.110,,Almenara,MG,180m²,USUÁRIO NEWCORE,06/01/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-2-dorm-e-180m-cidade-jardim-almenara-1129738384,21/Mar/2023,22:43:19
Venda - apartamento padrão,3,R$ 101.422,,Almenara,MG,391m²,Lar e Residência,08/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/almenara-apartamento-padrao-1144311385,21/Mar/2023,22:43:19
Venda - casa em rua pública,3,R$ 86.000,,Almenara,MG,115m²,Cotistas do Brasil Web,16/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-para-venda-tem-115-metros-quadrados-com-3-quartos-em-centro-almenara-mg-1148279588,21/Mar/2023,22:43:19
Venda - casa em rua pública,3,R$ 229.640,,Almenara,MG,120m²,USUÁRIO NEWCORE,26/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-3-dorm-e-120m-centro-almenara-1151844825,21/Mar/2023,22:43:19
Venda - casa em rua pública,3,R$ 379.210,,Almenara,MG,300m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-3-dorm-e-300m-centro-almenara-1152697499,21/Mar/2023,22:43:19
Venda - casa em rua pública,3,R$ 269.600,,Almenara,MG,150m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/imoveis/casa-com-3-dorm-e-150m-centro-almenara-1152605701,21/Mar/2023,22:43:20
