tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 127.000,Área Rural de Uberlândia,Uberlândia,MG,2560m²,Silmo Imóveis,18/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/venda-terreno-represa-de-miranda-947479748,21/Mar/2023,22:56:44
Terrenos,,R$ 245.292,Loteamento Portal do Vale II,Uberlândia,MG,264m²,DELTA IMOVEIS E ADMINISTRACAO LIMITADA - EPP,11/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-portal-do-vale-uberlandia-mg-1117134029,21/Mar/2023,22:56:44
Terrenos,,R$ 220.000,Loteamento Portal do Vale II,Uberlândia,MG,250m²,DELTA IMOVEIS E ADMINISTRACAO LIMITADA - EPP,17/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-loteamento-portal-do-vale-ii-uberlandia-mg-1148624403,21/Mar/2023,22:56:44
Terrenos,,R$ 410.000,Centro,Tapuirama,MG,5000m²,Rodrigo Corretor de Imóveis,07/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-para-vc-construir-seu-rancho-escriturado-1108351834,21/Mar/2023,22:56:44
Terrenos,,R$ 230.000,Loteamento Portal do Vale II,Uberlândia,MG,279m²,Gold Negócios Imobiliários,30/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-para-venda-em-uberlandia-loteamento-portal-do-vale-ii-1140553540,21/Mar/2023,22:56:45
Terrenos,,R$ 210.000,Loteamento Portal do Vale II,Uberlândia,MG,,Vander Imóveis,17/10/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-portal-do-vale-1097851037,21/Mar/2023,22:56:45
Terrenos,,R$ 1.011.648,Loteamento Portal do Vale II,Uberlândia,MG,632m²,MODULO IMÓVEIS VENDA,29/12/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-em-condominio-a-venda-loteamento-portal-do-vale-ii-uberlandia-mg-1084979075,21/Mar/2023,22:56:45
Terrenos,,R$ 190.000,Loteamento Portal do Vale II,Uberlândia,MG,278m²,Eccos Imóveis,01/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-a-venda-no-bairro-portal-do-vale-1080265260,21/Mar/2023,22:56:45
Terrenos,,R$ 290.000,Loteamento Portal do Vale II,Uberlândia,MG,411m²,Foco Consultoria Imobiliária,17/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-ou-lote-comercial-a-venda-no-portal-do-valle-em-uberlandia-1148472086,21/Mar/2023,22:56:45
Terrenos,,R$ 230.000,Loteamento Portal do Vale II,Uberlândia,MG,268m²,Eccos Imóveis,24/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/terreno-comercial-para-venda-no-bairro-portal-do-vale-ii-1137658859,21/Mar/2023,22:56:45
