tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,4,R$ 1.400.000,,Bom Despacho,MG,219m²,VERPLAN PLANEJAMENTO E NEGOCIOS IMOBILIARIOS LTDA,21/03/2023,https://mg.olx.com.br/regiao-de-divinopolis/imoveis/bom-despacho-apartamento-padrao-centro-1047761399,21/Mar/2023,21:49:48
Venda - apartamento padrão,4,R$ 1.400.000,,Bom Despacho,MG,219m²,LAR IMÓVEIS VENDA,14/03/2023,https://mg.olx.com.br/regiao-de-divinopolis/imoveis/apartamento-a-venda-4-quartos-2-suites-3-vagas-santa-rita-bom-despacho-mg-1159074459,21/Mar/2023,21:49:49
Venda - apartamento padrão,4,R$ 1.400.000,,Bom Despacho,MG,219m²,VERPLAN PLANEJAMENTO E NEGOCIOS IMOBILIARIOS LTDA,21/03/2023,https://mg.olx.com.br/regiao-de-divinopolis/imoveis/bom-despacho-apartamento-padrao-centro-1047760587,21/Mar/2023,21:49:49
Venda - apartamento padrão,4,R$ 1.400.000,,Bom Despacho,MG,219m²,VERPLAN PLANEJAMENTO E NEGOCIOS IMOBILIARIOS LTDA,20/03/2023,https://mg.olx.com.br/regiao-de-divinopolis/imoveis/bom-despacho-apartamento-padrao-centro-1047759372,21/Mar/2023,21:49:49
Venda - apartamento padrão,2,R$ 66.757,,Bom Despacho,MG,83m²,FCA IMOBILIARIA E FCA LEILÕES,25/02/2023,https://mg.olx.com.br/regiao-de-divinopolis/imoveis/venha-conhecer-os-diferenciais-compra-deste-imovel-oportunidade-imperdivel-bom-despacho-1151442917,21/Mar/2023,21:49:49
Venda - casa em rua pública,2,R$ 220.000,,Bom Despacho,MG,100m²,Imobras,08/03/2023,https://mg.olx.com.br/regiao-de-divinopolis/imoveis/casa-bom-despacho-1156476979,21/Mar/2023,21:49:49
Venda - casa em rua pública,2,R$ 56.103,,Bom Despacho,MG,240m²,Lar e Residência,04/03/2023,https://mg.olx.com.br/regiao-de-divinopolis/imoveis/bom-despacho-casa-padrao-1154507791,21/Mar/2023,21:49:49
Venda - casa em rua pública,0,R$ 220.000,,Bom Despacho,MG,360m²,Cidelia Carmen sousa,20/02/2023,https://mg.olx.com.br/regiao-de-divinopolis/imoveis/lote-sao-jose-1149445103,21/Mar/2023,21:49:49
Venda - casa em rua pública,2,R$ 49.936,,Bom Despacho,MG,180m²,Lar e Residência,04/03/2023,https://mg.olx.com.br/regiao-de-divinopolis/imoveis/bom-despacho-casa-padrao-1154507773,21/Mar/2023,21:49:49
Venda - apartamento padrão,4,R$ 1.400.000,,Bom Despacho,MG,219m²,LAR IMÓVEIS VENDA,14/03/2023,https://mg.olx.com.br/regiao-de-divinopolis/imoveis/apartamento-a-venda-4-quartos-2-suites-3-vagas-santa-rita-bom-despacho-mg-1159073039,21/Mar/2023,21:49:49
