tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 1.500.000,Carlos Prates,Belo Horizonte,MG,1237m²,Casa Mineira por QuintoAndar,10/02/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-carlos-prates-1237-m-992207776,22/Mar/2023,04:48:57
Terrenos,,R$ 720.000,Carlos Prates,Belo Horizonte,MG,360m²,PROLAR NETIMOVEIS,27/10/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-padre-eustaquio-belo-horizonte-1102252218,22/Mar/2023,04:48:57
Terrenos,,R$ 650.000,Carlos Prates,Belo Horizonte,MG,384m²,Constantino Imóveis Ltda,14/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-carlos-prates-990152851,22/Mar/2023,04:48:57
Terrenos,,R$ 790.000,Carlos Prates,Belo Horizonte,MG,634m²,Casa Mineira por QuintoAndar,11/02/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-carlos-prates-634-m-992751443,22/Mar/2023,04:48:57
Terrenos,,R$ 1.270.000,Carlos Prates,Belo Horizonte,MG,853m²,RM Imóveis,13/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-commercial-land-lot-belo-horizonte-mg-1115504707,22/Mar/2023,04:48:57
Terrenos,,R$ 468.000,Carlos Prates,Belo Horizonte,MG,300m²,Casa Mineira por QuintoAndar,10/02/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-carlos-prates-300-m-992203790,22/Mar/2023,04:48:57
Terrenos,,R$ 510.000,Carlos Prates,Belo Horizonte,MG,420m²,PROLAR NETIMOVEIS,27/10/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-carlos-prates-belo-horizonte-1102253417,22/Mar/2023,04:48:57
Terrenos,,R$ 390.000,Carlos Prates,Belo Horizonte,MG,421m²,Casa Mineira por QuintoAndar,23/10/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-carlos-prates-421-m-1100736330,22/Mar/2023,04:48:57
Terrenos,,R$ 450.000,Carlos Prates,Belo Horizonte,MG,337m²,PROLAR NETIMOVEIS,27/10/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-carlos-prates-belo-horizonte-1102252117,22/Mar/2023,04:48:57
Terrenos,,R$ 1.900.000,Carlos Prates,Belo Horizonte,MG,1633m²,Casa Mineira por QuintoAndar,23/10/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-carlos-prates-1633-m-1100736249,22/Mar/2023,04:48:57
