tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 41.364,,Grão Mogol,MG,450m²,Imoveis Azul,17/03/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/cond-vila-da-serra-oportunidade-unica-em-grao-mogol-mg-tipo-terreno-negoci-1160467255,22/Mar/2023,01:11:07
Terrenos,,R$ 44.417,,Grão Mogol,MG,450m²,Lar e Residência,19/03/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/grao-mogol-terreno-padrao-1140652215,22/Mar/2023,01:11:07
Terrenos,,R$ 45.926,,Grão Mogol,MG,450m²,Lar e Residência,21/03/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/grao-mogol-terreno-padrao-1140654488,22/Mar/2023,01:11:07
Terrenos,,R$ 44.417,,Grão Mogol,MG,,MGL LEILÕES,12/02/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/cx-terreno-cod-65088-grao-mogol-cond-vila-da-s-1034169418,22/Mar/2023,01:11:08
Terrenos,,R$ 150.000,Vale das Cancelas,Grão Mogol,MG,0m²,Pancadão,07/02/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/terreno-50-hectares-1143903745,22/Mar/2023,01:11:08
Terrenos,,R$ 45.927,,Grão Mogol,MG,,MGL LEILÕES,21/03/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/cx-terreno-cod-65094-grao-mogol-cond-vila-da-s-1034191354,22/Mar/2023,01:11:08
Terrenos,,R$ 44.417,,Grão Mogol,MG,450m²,Imoveis Azul,20/03/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/cond-vila-da-serra-oportunidade-unica-em-grao-mogol-mg-tipo-terreno-negoci-1148909042,22/Mar/2023,01:11:08
Terrenos,,R$ 41.364,,Grão Mogol,MG,450m²,Lar e Residência,17/03/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/grao-mogol-terreno-padrao-1160425522,22/Mar/2023,01:11:08
Terrenos,,R$ 100.000,Barrocão,Grão Mogol,MG,20000m²,Douglas mmna,15/03/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/sitio-1159810655,22/Mar/2023,01:11:08
Terrenos,,R$ 45.926,,Grão Mogol,MG,450m²,Imoveis Azul,08/03/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/cond-vila-da-serra-oportunidade-unica-em-grao-mogol-mg-tipo-terreno-negoci-1148889216,22/Mar/2023,01:11:08
Terrenos,,R$ 970.000,,Grão Mogol,MG,,wagnermateus.321,08/03/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/fazenda-450-hectares-escriturada-1156428836,22/Mar/2023,01:11:08
Terrenos,,R$ 40.000,,Grão Mogol,MG,262m²,José Pereira,04/02/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/venda-de-terreno-lote-1142816540,22/Mar/2023,01:11:08
Venda - casa em rua pública,3,R$ 390.000,,Grão Mogol,MG,226m²,AT LACERDA IMÓVEIS,13/03/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/imoveis/casa-residencial-com-03-quartos-grao-mogol-1025113337,22/Mar/2023,01:11:08
Terrenos,,R$ 65.000,Vale das Cancelas,Grão Mogol,MG,300m²,Diego D.,20/02/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/oportunidade-lote-ao-lado-da-br251-otima-localizacao-1149377446,22/Mar/2023,01:11:08
Venda - casa em rua pública,2,null,,Grão Mogol,MG,250m²,Zezinho,25/02/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/imoveis/vendo-ponto-comercial-e-um-barraco-na-cidade-grao-mogol-1151481203,22/Mar/2023,01:11:08
Terrenos,,R$ 44.417,,Grão Mogol,MG,,MGL LEILÕES,21/02/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/cx-terreno-cod-64986-grao-mogol-cond-vila-da-s-1034188937,22/Mar/2023,01:11:08
Venda - casa em rua pública,2,R$ 125.000,,Grão Mogol,MG,,Anderson Santos,13/02/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/imoveis/vendo-casa-grao-mogol-1146436217,22/Mar/2023,01:11:08
Venda - casa em rua pública,3,R$ 340.000,,Grão Mogol,MG,800m²,AT LACERDA IMÓVEIS,16/03/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/imoveis/casa-residencial-a-venda-800-m-de-area-total-grao-mogol-1026541029,22/Mar/2023,01:11:08
Venda - casa em rua pública,3,null,,Grão Mogol,MG,,Igor santos Santos,06/02/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/imoveis/casa-com-lote-1143721728,22/Mar/2023,01:11:08
Venda - casa em rua pública,4,null,,Grão Mogol,MG,360m²,eurisvancarley56,04/03/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/imoveis/otima-oportunidade-1154817578,22/Mar/2023,01:11:08
Terrenos,,R$ 55.000,,Grão Mogol,MG,300m²,Marcos Pimentel,08/02/2023,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/terrenos/terreno-bem-localizado-na-beira-da-pista-300m-quadrados-1144500025,22/Mar/2023,01:11:08
