tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 428.000.000,Indaiá,Belo Horizonte,MG,370m²,Primer Imóveis,12/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-terreno-padrao-liberdade-1101773864,22/Mar/2023,02:09:52
Terrenos,,R$ 95.000,Indaiá,Belo Horizonte,MG,2906m²,Filizola Cardoso Negócios Imobiliários Ltda - Me,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-terreno-padrao-indaia-996614718,22/Mar/2023,02:09:52
Terrenos,,R$ 990.000,Indaiá,Belo Horizonte,MG,343m²,Casa Mineira por QuintoAndar,10/02/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-indaia-343-m-992204554,22/Mar/2023,02:09:52
Terrenos,,R$ 674.220,Indaiá,Belo Horizonte,MG,338m²,USUÁRIO NEWCORE,01/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote338m-indaia-belo-horizonte-1153040837,22/Mar/2023,02:09:52
Terrenos,,R$ 1.499.360,Indaiá,Belo Horizonte,MG,683m²,USUÁRIO NEWCORE,28/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote683m-indaia-belo-horizonte-1152520333,22/Mar/2023,02:09:53
Terrenos,,R$ 780.000,Indaiá,Belo Horizonte,MG,1000m²,GOLD  IMOVEIS,03/11/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-braunas-933817320,22/Mar/2023,02:09:53
Venda - apartamento cobertura,3,R$ 880.000,Indaiá,Belo Horizonte,MG,158m²,GF Imóveis,21/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-3-dormitorios-a-venda-158-m-por-r-880-000-00-jaragua-belo-horizonte-m-992405588,22/Mar/2023,02:09:53
Terrenos,,R$ 1.550.000,Indaiá,Belo Horizonte,MG,683m²,ARBO IMÓVEIS,15/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lotes-a-venda-liberdade-belo-horizonte-mg-1159441267,22/Mar/2023,02:09:53
Venda - apartamento padrão,3,R$ 589.713,Indaiá,Belo Horizonte,MG,67m²,Confiar Imóveis Ltda,22/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/exelente-apartamento-3-quartos-com-suite-1106999907,22/Mar/2023,02:09:53
Terrenos,,R$ 18.500.000,Indaiá,Belo Horizonte,MG,2800m²,Filizola Cardoso Negócios Imobiliários Ltda - Me,12/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-terreno-padrao-indaia-996615456,22/Mar/2023,02:09:53
