tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 90.000,Açude,Itajubá,MG,200m²,Imobiliária Alves,18/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-contendo-200m-no-bairro-colina-verde-itajuba-mg-1141963726,22/Mar/2023,00:22:45
Terrenos,,R$ 450.000,São Sebastião,Itajubá,MG,,Rafa,19/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/vende-se-terreno-plano-com-otima-localizacao-em-itajuba-mg-1161284472,22/Mar/2023,00:22:45
Terrenos,,R$ 80.000,Loteamento Costa,Itajubá,MG,220m²,João Manfredini,07/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-no-jardim-europa-1155695469,22/Mar/2023,00:22:45
Terrenos,,R$ 2.500.000,Distrito Industrial,Itajubá,MG,11170m²,Eder Marcos da Silva,14/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-plano-com-11170-metros-em-itajuba-1042934094,22/Mar/2023,00:22:45
Terrenos,,R$ 411.787,Centro,Itajubá,MG,1145m²,MGL LEILÕES,25/02/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-com-1-145-29m-no-loteamento-pinheirinho-em-itajuba-mg-1036962366,22/Mar/2023,00:22:45
Venda - casa em rua pública,4,R$ 726.392,Morro Chic,Itajubá,MG,512m²,Real FG Soluções Imobiliárias Creci 30838-J-SP,21/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/itajuba-mg-morro-chic-1162144494,22/Mar/2023,00:22:45
Terrenos,,R$ 155.000,Nossa Senhora de Fátima,Itajubá,MG,220m²,MTRO Inteligencia Imobiliaria,21/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-a-venda-220-m-por-r-155-000-00-nossa-senhora-de-fatima-itajuba-mg-1162028053,22/Mar/2023,00:22:45
Venda - casa em rua pública,2,R$ 450.000,Nossa Senhora da Agonia,Itajubá,MG,65m²,Nacional Imóveis,18/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/excelente-casa-no-bairro-costa-pertinho-do-parque-1129811367,22/Mar/2023,00:22:46
Terrenos,,R$ 691.000,Pinheirinho,Itajubá,MG,1135m²,L4S,18/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-para-venda-em-pinheirinho-de-1135-00m-1160982594,22/Mar/2023,00:22:46
Terrenos,,R$ 42.000,Centro,Itajubá,MG,126m²,Bruno Santos,21/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/lote-a-venda-no-sul-de-minas-pedralva-mg-126-m-1096715473,22/Mar/2023,00:22:46
