tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 1.500.000,Jaraguá,Belo Horizonte,MG,340m²,Casa Mineira por QuintoAndar,10/02/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-jaragua-340-m-992204454,22/Mar/2023,02:13:13
Venda - apartamento cobertura,4,R$ 2.150.000,Jaraguá,Belo Horizonte,MG,259m²,MAPS IMÓVEIS,22/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-quatro-quartos-suite-master-suite-junior-quatro-vagas-de-garagem-no-bairr-1149613116,22/Mar/2023,02:13:13
Terrenos,,R$ 249.000,Jaraguá,Belo Horizonte,MG,1002m²,REMAX OITAVO ANDAR,20/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/excelente-lote-de-1-000m-cond-estancia-da-mata-matozinhos-com-projeto-arquitetonico-1150820220,22/Mar/2023,02:13:13
Venda - apartamento padrão,2,R$ 467.881,Liberdade,Belo Horizonte,MG,55m²,Villa Lambertucci Consultoria e Negocios Imobiliários Ltda-ME,21/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-jaragua-1015489118,22/Mar/2023,02:13:13
Venda - apartamento padrão,4,R$ 1.600.000,Jaraguá,Belo Horizonte,MG,184m²,MARCA IMÓVEIS | ALUGUEL DESCOMPLICADO,17/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-a-venda-4-quartos-2-suites-4-vagas-jaragua-belo-horizonte-mg-1053971337,22/Mar/2023,02:13:13
Venda - apartamento padrão,3,R$ 395.000,Jaraguá,Belo Horizonte,MG,63m²,Cleberson Imóveis,18/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-3-quartos-no-bairro-jaragua--belo-horizonte-1156725168,22/Mar/2023,02:13:13
Venda - apartamento padrão,2,R$ 471.101,Liberdade,Belo Horizonte,MG,55m²,Meet Negócios Imobiliários,17/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-quartos-a-venda-54-m-por-r-471-101-jaragua-belo-horizonte-mg-1150970371,22/Mar/2023,02:13:13
Venda - apartamento padrão,3,R$ 594.857,Liberdade,Belo Horizonte,MG,67m²,Villa Lambertucci Consultoria e Negocios Imobiliários Ltda-ME,14/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-jaragua-1004781288,22/Mar/2023,02:13:13
Terrenos,,R$ 1.500.000,Jaraguá,Belo Horizonte,MG,435m²,São Luiz Imóveis,12/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-bairro-jaragua-r-1-500-000-00-1133306736,22/Mar/2023,02:13:13
Terrenos,,R$ 1.500.000,Jaraguá,Belo Horizonte,MG,435m²,LAR IMÓVEIS VENDA,14/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-terreno-a-venda-jaragua-belo-horizonte-mg-1159074966,22/Mar/2023,02:13:13
Terrenos,,R$ 1.500.000,Jaraguá,Belo Horizonte,MG,435m²,TETO IMOVEIS,09/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-jaragua-1148348187,22/Mar/2023,02:13:13
Terrenos,,R$ 2.450.000,Liberdade,Belo Horizonte,MG,1800m²,INOVA PLATAFORMA DE INTEGRACAO,06/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-terreno-a-venda-em-belo-horizonte-1143488052,22/Mar/2023,02:13:13
Venda - apartamento padrão,3,R$ 1.070.000,Jaraguá,Belo Horizonte,MG,84m²,Jardins dos Palmares Corretora de Imoveis,19/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-residential-apartment-belo-horizonte-mg-1005730179,22/Mar/2023,02:13:13
Venda - apartamento padrão,2,R$ 474.619,Liberdade,Belo Horizonte,MG,55m²,Villa Lambertucci Consultoria e Negocios Imobiliários Ltda-ME,20/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-jaragua-1004781360,22/Mar/2023,02:13:13
Venda - apartamento padrão,3,R$ 595.000,Liberdade,Belo Horizonte,MG,67m²,Luma Negócios Imobiliários,21/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-67-m-por-r-595-000-00-aeroporto-belo-horizont-1142193944,22/Mar/2023,02:13:13
Venda - apartamento padrão,4,R$ 1.150.000,Jaraguá,Belo Horizonte,MG,154m²,PREDIAL MINAS LTDA,20/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-4-quartos-sendo-2-suite-155m-por-r-1-150-000-jaragua-belo-horizonte-m-1157650395,22/Mar/2023,02:13:13
Venda - casa em rua pública,3,R$ 680.000,Jaraguá,Belo Horizonte,MG,165m²,Conceito Imóveis Ltda - ME,17/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-para-venda-possui-165-metros-quadrados-com-3-quartos-em-jaragua-belo-horizon-1131742585,22/Mar/2023,02:13:13
Venda - apartamento padrão,3,R$ 607.672,Liberdade,Belo Horizonte,MG,67m²,Villa Lambertucci Consultoria e Negocios Imobiliários Ltda-ME,16/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-jaragua-1004781290,22/Mar/2023,02:13:13
Venda - apartamento padrão,4,R$ 1.150.000,Jaraguá,Belo Horizonte,MG,155m²,LAR IMÓVEIS VENDA,15/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-4-quartos-2-suites-4-vagas-jaragua-belo-horizonte-mg-1159349401,22/Mar/2023,02:13:13
Venda - apartamento padrão,4,R$ 1.120.000,Jaraguá,Belo Horizonte,MG,147m²,LAR IMÓVEIS VENDA,15/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-4-quartos-2-suites-3-vagas-jaragua-belo-horizonte-mg-1159311360,22/Mar/2023,02:13:13
Venda - casa em rua pública,4,R$ 1.180.000,Jaraguá,Belo Horizonte,MG,282m²,CIOTTO IMÓVEIS,10/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-casa-padrao-jaragua-993910351,22/Mar/2023,02:13:13
Venda - apartamento padrão,4,R$ 1.120.000,Jaraguá,Belo Horizonte,MG,155m²,Ahava Corretora de Imóveis,17/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-jaragua-1160426474,22/Mar/2023,02:13:13
Venda - apartamento padrão,4,R$ 1.600.000,Jaraguá,Belo Horizonte,MG,184m²,Ariana Martins - Evolution,20/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-padrao-jaragua-1067777766,22/Mar/2023,02:13:13
