tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 1.000.000,Jardim Atlântico,Belo Horizonte,MG,500m²,LOKAL IMÓVEIS,20/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-10-vagas-jardim-atlantico-belo-horizonte-mg-995108705,22/Mar/2023,02:13:33
Terrenos,,R$ 790.000,Jardim Atlântico,Belo Horizonte,MG,1400m²,Casa Mineira por QuintoAndar,10/02/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-jardim-atlantico-1400-m-992200438,22/Mar/2023,02:13:33
Terrenos,,R$ 1.080.000,Jardim Atlântico,Belo Horizonte,MG,1050m²,Andre,14/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-a-venda-1050-m-por-r-1-080-000-00-jardim-atlantico-belo-horizonte-mg-1141106203,22/Mar/2023,02:13:33
Terrenos,,R$ 1.050.000,Jardim Atlântico,Belo Horizonte,MG,720m²,ALPHASUL CONSULTORIA IMOBILIARIA,14/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-jardim-atlantico-belo-horizonte-1154559489,22/Mar/2023,02:13:33
Terrenos,,R$ 1.100.000,Jardim Atlântico,Belo Horizonte,MG,500m²,IMOBILIÁRIA OURO PRETO BH LTDA,20/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-comercial-lote-terreno-belo-horizonte-mg-1003221843,22/Mar/2023,02:13:33
Terrenos,,R$ 1.500.000,Jardim Atlântico,Belo Horizonte,MG,1400m²,Casa Mineira por QuintoAndar,19/07/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-jardim-atlantico-1400-m-1059949374,22/Mar/2023,02:13:33
Terrenos,,R$ 750.000,Jardim Atlântico,Belo Horizonte,MG,1400m²,Casa Mineira por QuintoAndar,10/02/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-jardim-atlantico-1400-m-992208769,22/Mar/2023,02:13:33
Terrenos,,R$ 530.000,Jardim Atlântico,Belo Horizonte,MG,600m²,ROBERTO MAGALHAES IMOVEIS LIMITADA - EPP,14/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-jardim-atlantico-belo-horizonte-1158857532,22/Mar/2023,02:13:33
Terrenos,,R$ 3.700,Jardim Atlântico,Belo Horizonte,MG,500m²,MG Galpões,08/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-para-aluguel-500-00-m-avenida-de-movimento-proximo-a-lagoa-da-pampulha-985137807,22/Mar/2023,02:13:33
Terrenos,,R$ 550.000,Santa Amélia,Belo Horizonte,MG,505m²,Andre,19/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-a-venda-505-m-por-r-550-000-jardim-atlantico-belo-horizonte-mg-1111948683,22/Mar/2023,02:13:33
Terrenos,,R$ 1.050.000,Jardim Atlântico,Belo Horizonte,MG,720m²,CASA OURO,17/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-a-venda-720-m-jardim-atlantico-belo-horizonte-mg-1134429402,22/Mar/2023,02:13:33
Terrenos,,R$ 660.000,Jardim Atlântico,Belo Horizonte,MG,400m²,Carlos Vítor,15/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-400m2-de-esquina-venda-nova-1159502250,22/Mar/2023,02:13:34
Terrenos,,R$ 2.200.000,Jardim Atlântico,Belo Horizonte,MG,985m²,Andre,11/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-a-venda-985-m-por-r-2-200-000-00-jardim-atlantico-belo-horizonte-mg-1157621487,22/Mar/2023,02:13:34
