tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 45.000,,Mateus Leme,MG,360m²,Horizont Imóveis,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lotes-de-360m-mateus-leme-1026104482,22/Mar/2023,03:53:38
Terrenos,,R$ 4.000.000,,Mateus Leme,MG,2281m²,Nottus Imóveis - LTDA,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-a-venda-2281-m-por-r-4-000-000-centro-mateus-leme-mg-nottus-imoveis-1023022027,22/Mar/2023,03:53:38
Terrenos,,R$ 500,,Mateus Leme,MG,300m²,Marcos,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-mateus-leme-500-00-1158368510,22/Mar/2023,03:53:38
Terrenos,,R$ 68.000,,Mateus Leme,MG,360m²,Bens de Raiz Imóveis,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/mateus-leme-terreno-padrao-jardim-das-mangabeiras-1138983476,22/Mar/2023,03:53:38
Terrenos,,R$ 299.999,,Mateus Leme,MG,20000m²,Ferreira,07/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-com-otima-localizacao-com-area-de-20-000-m-em-mateus-leme-mg-1144088118,22/Mar/2023,03:53:38
Terrenos,,R$ 55.359,,Mateus Leme,MG,360m²,Carneiro Imóveis,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-financiado-em-mateus-leme-1148336790,22/Mar/2023,03:53:38
Terrenos,,R$ 190.000,,Mateus Leme,MG,962m²,Imobiliária Marques,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/oportunidade-999501503,22/Mar/2023,03:53:38
Terrenos,,R$ 40.000,,Mateus Leme,MG,200m²,Juatuba Imóveis Ltda ME,12/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/vende-se-lote-com-financiamento-proprio-em-mateus-leme-juatuba-imoveis-983386027,22/Mar/2023,03:53:38
Terrenos,,R$ 120.000,,Mateus Leme,MG,432m²,IMMOBILLE SOLUÇÕES IMOBILIÁRIAS,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/excelente-lote-com-area-de-432-m-em-azurita-mateus-leme-mg-1158574135,22/Mar/2023,03:53:38
Terrenos,,R$ 35.000,,Mateus Leme,MG,360m²,Nottus Imóveis - LTDA,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-a-venda-360-m-por-r-35-000-vivenda-do-vale-mateus-leme-mg-1156656413,22/Mar/2023,03:53:38
Terrenos,,R$ 68.000,,Mateus Leme,MG,360m²,Nottus Imóveis - LTDA,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-a-venda-360-m-por-r-68-000-00-jardim-das-mangabeiras-mateus-leme-mg-1137601153,22/Mar/2023,03:53:38
Terrenos,,R$ 50.000,,Mateus Leme,MG,200m²,Costa Imóveis Ltda,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-jd-serra-azul-mateus-leme-mg-985674597,22/Mar/2023,03:53:38
Terrenos,,R$ 36.000,,Mateus Leme,MG,300m²,Horizont Imóveis,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-terreno-para-venda-possui-300-metros-quadrados-em-atalaia-mateus-leme-mg-1105694745,22/Mar/2023,03:53:38
Terrenos,,R$ 50.000,,Mateus Leme,MG,1000m²,Horizont Imóveis,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lindas-chacaras-de-1-000m-a-venda-em-mateus-leme-1022737723,22/Mar/2023,03:53:38
