tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,4,R$ 260.000,,Monte Carmelo,MG,115m²,rei125125,13/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/vendo-casa-sobrado-1146671818,22/Mar/2023,01:48:28
Venda - casa em rua pública,3,R$ 350.000,,Monte Carmelo,MG,270m²,Jean C.,23/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-a-venda-1137229779,22/Mar/2023,01:48:28
Venda - casa em rua pública,4,R$ 1.000.000,,Monte Carmelo,MG,350m²,Eccos Imóveis,24/12/2022,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-residencial-em-monte-carmelo-mg-batuque-988265947,22/Mar/2023,01:48:28
Terrenos,,R$ 384.900,,Monte Carmelo,MG,,MÀRCIO ARAÙJO CORRETOR DE IMÒVEIS,25/01/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/terrenos/lote-640-m-em-avenida-proximo-pampulha-974268929,22/Mar/2023,01:48:28
Venda - casa em condominio fechado,3,R$ 1.500.000,,Monte Carmelo,MG,230m²,Luciana,14/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-alto-padrao-1147242807,22/Mar/2023,01:48:28
Venda - apartamento padrão,2,R$ 51.003,,Monte Carmelo,MG,20m²,FCA IMOBILIARIA E FCA LEILÕES,25/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/venha-conhecer-os-diferenciais-compra-deste-imovel-oportunidade-imperdivel-monte-carmel-1151462119,22/Mar/2023,01:48:28
Venda - casa em rua pública,2,R$ 450.000,Centro,Monte Carmelo,MG,170m²,Tayara Viana Fontinele,02/03/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-venda-com-170-metros-quadrados-com-2-quartos-em-centro-monte-carmelo-mg-1153711108,22/Mar/2023,01:48:28
Venda - casa em rua pública,2,R$ 43.584,,Monte Carmelo,MG,168m²,Imoveis Azul,07/03/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/monte-carmelo-santa-rita-oportunidade-unica-em-monte-carmelo-mg-tipo-casa-1148889275,22/Mar/2023,01:48:29
Venda - casa em rua pública,2,R$ 450.000,Celso Bueno,Monte Carmelo,MG,170m²,Tayara Viana Fontinele,02/03/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-venda-tem-170-metros-quadrados-com-2-quartos-em-celso-bueno-monte-carmelo-mg-1153710962,22/Mar/2023,01:48:29
Venda - casa em rua pública,2,R$ 400.000,Centro,Monte Carmelo,MG,170m²,Tayara Viana Fontinele,02/03/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-venda-com-170-metros-quadrados-com-2-quartos-em-centro-monte-carmelo-mg-1153784196,22/Mar/2023,01:48:29
Venda - casa em rua pública,2,R$ 400.000,Buritis,Monte Carmelo,MG,170m²,Tayara Viana Fontinele,02/03/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-venda-possui-170-metros-quadrados-com-2-quartos-em-buritis-monte-carmelo-mg-1153702728,22/Mar/2023,01:48:29
Venda - casa em rua pública,2,R$ 400.000,Centro,Monte Carmelo,MG,170m²,Tayara Viana Fontinele,02/03/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/casa-para-venda-com-170-metros-quadrados-com-2-quartos-em-centro-monte-carmelo-mg-1153700867,22/Mar/2023,01:48:29
Venda - casa em rua pública,4,R$ 1,,Monte Carmelo,MG,220m²,helen.c,20/02/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/sobrado-1149509281,22/Mar/2023,01:48:29
Venda - casa em rua pública,2,R$ 43.584,,Monte Carmelo,MG,168m²,Lar e Residência,14/03/2023,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/monte-carmelo-casa-padrao-1140652015,22/Mar/2023,01:48:29
