tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 26.000.000,Palmeiras,Belo Horizonte,MG,24500m²,D - FILIPPO IMOVEIS,19/07/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-palmeiras-belo-horizonte-1059875153,22/Mar/2023,03:28:52
Terrenos,,R$ 889.000,Palmeiras,Belo Horizonte,MG,525m²,Paulo Tavares,27/06/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-para-venda-em-belo-horizonte-palmeiras-1050741551,22/Mar/2023,03:28:52
Terrenos,,R$ 650.000,Buritis,Belo Horizonte,MG,595m²,Imobiliária Buritis,21/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-area-a-venda-buritis-belo-horizonte-mg-1085358454,22/Mar/2023,03:28:52
Terrenos,,R$ 800.000,Palmeiras,Belo Horizonte,MG,540m²,Casa Mineira por QuintoAndar,10/02/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-palmeiras-540-m-992202900,22/Mar/2023,03:28:52
Terrenos,,R$ 360.000,Palmeiras,Belo Horizonte,MG,360m²,PROLAR NETIMOVEIS,27/10/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-palmeiras-belo-horizonte-1102252655,22/Mar/2023,03:28:52
Terrenos,,R$ 1.850.000,Palmeiras,Belo Horizonte,MG,492m²,Paulo Tavares,07/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-para-venda-em-belo-horizonte-palmeiras-1143818942,22/Mar/2023,03:28:52
Terrenos,,R$ 2.100.000,Palmeiras,Belo Horizonte,MG,1830m²,SOGNO IMOVEIS,13/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-palmeiras-belo-horizonte-mg-967541948,22/Mar/2023,03:28:52
Terrenos,,R$ 690.000,Buritis,Belo Horizonte,MG,646m²,SOTAO ADMINISTRACAO E VENDAS DE IMOVEIS LTDA - EPP,06/07/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-palmeiras-belo-horizonte-1054329372,22/Mar/2023,03:28:52
Terrenos,,R$ 850.000,Palmeiras,Belo Horizonte,MG,570m²,Casa Mineira por QuintoAndar,10/02/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-palmeiras-570-m-992205137,22/Mar/2023,03:28:52
Terrenos,,R$ 420.000,Palmeiras,Belo Horizonte,MG,700m²,Paulo Tavares,29/06/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-para-venda-em-belo-horizonte-palmeiras-1051681618,22/Mar/2023,03:28:52
