tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 215.000,Paciência,Sabará,MG,375m²,Winner Brokers,24/01/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-a-venda-375-m-por-r-215-000-00-villa-real-sabara-mg-1137579811,22/Mar/2023,04:04:16
Terrenos,,R$ 210.000,Paciência,Sabará,MG,379m²,CEU LAR NETIMOVEIS,06/12/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-em-condominio-paciencia-sabara-1118138048,22/Mar/2023,04:04:16
Terrenos,,R$ 130.000,Villa Real,Sabará,MG,360m²,PROLAR NETIMOVEIS,27/10/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-villa-real-sabara-1102252669,22/Mar/2023,04:04:16
Terrenos,,R$ 80.000,Rosário,Sabará,MG,250m²,PROLAR NETIMOVEIS,09/11/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-rosario-sabara-1107156529,22/Mar/2023,04:04:16
Terrenos,,R$ 1.300.000,Ana Lúcia,Sabará,MG,828m²,INOVA PLATAFORMA DE INTEGRACAO,06/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-terreno-a-venda-em-sabara-1143542199,22/Mar/2023,04:04:16
Terrenos,,R$ 150.000,Santo Antônio (Roça Grande),Sabará,MG,330m²,adelsonchapa,22/01/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-em-santo-antonio-de-rocas-grandes-sabara-1136879340,22/Mar/2023,04:04:16
Terrenos,,R$ 325.000,Novo Horizonte,Sabará,MG,372m²,Winner Brokers,24/01/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-a-venda-372-m-por-r-325-000-00-novo-horizonte-sabara-mg-1137556357,22/Mar/2023,04:04:16
Terrenos,,R$ 18.000,Santo Antônio (Roça Grande),Sabará,MG,,Renata,24/01/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/vendo-lote-1137715196,22/Mar/2023,04:04:16
Terrenos,,R$ 199.000,Villa Real,Sabará,MG,401m²,elieni.p.lopes,23/01/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-em-sabara-mg-1137459593,22/Mar/2023,04:04:16
Terrenos,,R$ 95.000,Centro,Sabará,MG,1700m²,Genilson Monteiro de Oliveira,20/01/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-1500m-caete-1135876267,22/Mar/2023,04:04:16
Terrenos,,R$ 120.000,Vila Nova Vista,Sabará,MG,271m²,devanilvial,22/01/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-barato-em-guarapari-a-3-km-da-praia-do-morro-com-registro-de-compra-e-venda-1136930442,22/Mar/2023,04:04:16
Terrenos,,R$ 75.000,Ravenópolis (Ravena),Sabará,MG,360m²,Alvaro Ribeiro Empreendimentos Imobiliarios,08/12/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-com-360-1118924200,22/Mar/2023,04:04:16
Terrenos,,R$ 80.000,Ravenópolis (Ravena),Sabará,MG,2000m²,Wilson Pena Cordeiro Barros,07/05/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-em-ravena-codigo-wp-278-1029665170,22/Mar/2023,04:04:16
Terrenos,,R$ 550.000,Novo Horizonte,Sabará,MG,380m²,PROLAR NETIMOVEIS,27/10/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-novo-horizonte-sabara-1102253567,22/Mar/2023,04:04:16
Terrenos,,R$ 75.000,Ravenópolis (Ravena),Sabará,MG,500m²,Alvaro Ribeiro Empreendimentos Imobiliarios,09/12/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-proximo-ao-centro-de-ravena-mg-1119345594,22/Mar/2023,04:04:16
Terrenos,,R$ 150.000,Caieira,Sabará,MG,1218m²,PROLAR NETIMOVEIS,12/12/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-caieira-sabara-1102249650,22/Mar/2023,04:04:16
Terrenos,,R$ 470.000,Alvorada,Sabará,MG,420m²,Casa Mineira por QuintoAndar,10/02/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-ana-lucia-420-m-992209001,22/Mar/2023,04:04:16
Terrenos,,R$ 71.210,Centro,Sabará,MG,18000m²,Daniel Evagelista Reis,28/04/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/fazendinhas-de-20-000m2-a-55minutos-de-bh-com-rio-passando-ao-fundo-1026021461,22/Mar/2023,04:04:16
Terrenos,,R$ 153.368,Villa Real,Sabará,MG,400m²,Silvana Cordeiro,30/04/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lotes-a-venda-financiado-no-bairro-villa-real-em-sabara-1026658030,22/Mar/2023,04:04:16
Terrenos,,R$ 2.890.000,Borba Gato,Sabará,MG,290000m²,MONTEIRO IMOVEIS,29/05/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-commercial-land-lot-sabar-mg-1038319691,22/Mar/2023,04:04:16
Terrenos,,R$ 80.000,Ravena,Sabará,MG,2000m²,Sílvia M. Q. Sousa,03/08/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/chacara-a-venda-em-sabara-mg-1066364818,22/Mar/2023,04:04:16
Terrenos,,R$ 45.000,General Carneiro (Chacreamento Ipê Amarelo),Sabará,MG,,gabriellerodrigues1006,22/01/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/vende-se-lote-1136706625,22/Mar/2023,04:04:16
Terrenos,,R$ 65.000,Ravenópolis (Ravena),Sabará,MG,500m²,Alvaro Ribeiro Empreendimentos Imobiliarios,08/12/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-em-ravena-mg-1119258173,22/Mar/2023,04:04:16
Terrenos,,R$ 219.800,Ravenópolis (Ravena),Sabará,MG,,Wilson Pena Cordeiro Barros,07/05/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-em-ravena-codigo-wp-280-1029666696,22/Mar/2023,04:04:16
Terrenos,,R$ 500.000,Santo Antônio (Roça Grande),Sabará,MG,4475m²,PROLAR NETIMOVEIS,27/10/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-santo-antonio-roca-grande-sabara-1102255674,22/Mar/2023,04:04:16
Terrenos,,R$ 71.000,Centro,Sabará,MG,18000m²,Daniel Evagelista Reis,27/04/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/fazendinhas-de-2hectares-com-rio-e-a-50minutos-de-bh-entre-sabara-e-caete-1025650275,22/Mar/2023,04:04:16
Terrenos,,R$ 290.000,,Ravena,MG,5500m²,dirceu,09/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-5500-m-com-lagoa-ravena-1144923037,22/Mar/2023,04:04:16
Terrenos,,R$ 355.000,Centro,Sabará,MG,18000m²,Daniel Evagelista Reis,23/06/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/fazendinhas-de-2hectares-com-rio-e-a-50minutos-de-bh-entre-sabara-e-caete-1048979976,22/Mar/2023,04:04:16
Terrenos,,R$ 99.000,Villa Real,Sabará,MG,360m²,Eduardo Antônio oliveira de souza,09/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-1144948383,22/Mar/2023,04:04:16
Terrenos,,R$ 80.000,Santo Antônio (Roça Grande),Sabará,MG,,Anderson De Paula Dandy,03/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lotes-em-sao-jose-de-almeida-1142233842,22/Mar/2023,04:04:16
Terrenos,,R$ 270.000,,Ravena,MG,10000m²,dirceu,09/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-10-000-m2-muita-agua-corrente-1144818120,22/Mar/2023,04:04:16
Terrenos,,R$ 319.590,Vila Francisco de Moura,Sabará,MG,720m²,USUÁRIO NEWCORE,08/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote720m-vila-francisco-de-moura-sabara-1144327320,22/Mar/2023,04:04:17
Terrenos,,R$ 40.000,Borges,Sabará,MG,330m²,Jordana oliveira,21/01/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-inteiro-1136545020,22/Mar/2023,04:04:17
Terrenos,,R$ 70.000,Ravenópolis (Ravena),Sabará,MG,2000m²,Wilson Pena Cordeiro Barros,07/05/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-em-ravena-codigo-wp-204-1029665197,22/Mar/2023,04:04:17
Terrenos,,R$ 100.000,Rosário,Sabará,MG,500m²,VANDERLEI,11/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-rosario-1145797436,22/Mar/2023,04:04:17
Terrenos,,R$ 50.000,Vila Rica,Sabará,MG,360m²,Karen Corrêa,10/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/vendo-lote-jaboticatubas-1145655329,22/Mar/2023,04:04:17
Terrenos,,R$ 450.000,General Carneiro (Chacreamento Ipê Amarelo),Sabará,MG,2750m²,Dolabella,08/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/area-2750-m2-ipe-amarelo-general-carneiro-sabara-450-mil-1132610487,22/Mar/2023,04:04:17
Terrenos,,R$ 184.730,Villa Real,Sabará,MG,522m²,USUÁRIO NEWCORE,08/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote522m-villa-real-sabara-1144324246,22/Mar/2023,04:04:17
Terrenos,,R$ 150.000,Itacolomi,Sabará,MG,2000m²,Rafael silva,07/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-grande-em-sabara-agua-luz-asfalto-1144043923,22/Mar/2023,04:04:17
Terrenos,,R$ 60.000,Santo Antônio (Roça Grande),Sabará,MG,435m²,Ronald,07/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/otimo-lote-cercado-e-plantado-1103294202,22/Mar/2023,04:04:17
Terrenos,,R$ 15.000,Adelmolândia,Sabará,MG,500m²,Ailton P.,07/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-em-nova-uniao-mg-1143753115,22/Mar/2023,04:04:17
Terrenos,,R$ 330.000,Novo Horizonte,Sabará,MG,372m²,INOVA PLATAFORMA DE INTEGRACAO,06/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-terreno-a-venda-em-sabara-1143499007,22/Mar/2023,04:04:17
Terrenos,,R$ 180.000,Paciência,Sabará,MG,20000m²,MGL Leilões,05/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/sabara-mg-terreno-rural-com-2-00-00-hectares-no-distrito-de-mestre-carvalho-pa4205-1140430179,22/Mar/2023,04:04:17
Terrenos,,R$ 25.000,Santo Antônio (Roça Grande),Sabará,MG,385m²,reginey.moreira,04/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-em-nova-vicosa-bahia-1142978533,22/Mar/2023,04:04:17
Terrenos,,R$ 60.000,Rosário,Sabará,MG,400m²,Nelson,03/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/oportunidade-de-adquirir-seu-lote-nao-perca-poucas-unidades-1136955060,22/Mar/2023,04:04:17
Terrenos,,R$ 65.000,Nações Unidas,Sabará,MG,1000m²,Meirielly Fune,03/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-em-ravena-mg-1142129510,22/Mar/2023,04:04:17
