tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,20000m²,Marcos Tavares,11/07/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/lote-terreno-em-condominio-com-financiamento-proprio-1056717311,22/Mar/2023,00:57:46
Terrenos,,null,,Santa Rita do Ibitipoca,MG,21600m²,Alexandre,21/03/2023,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/terreno-a-5-km-do-parque-de-ibitipoca-1160136245,22/Mar/2023,00:57:46
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,20000m²,Marcos Tavares,30/09/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/fazendinhas-em-condominio-perto-da-serra-do-cipo-boa-topografia-r-30-000-00-parcelas-1091266891,22/Mar/2023,00:57:46
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,20000m²,Marcos Tavares,06/06/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/lote-terrenos-em-condominio-com-boa-topografia-e-perto-da-serra-do-cipo-1041841477,22/Mar/2023,00:57:46
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,20000m²,Marcos Tavares,28/04/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/fazendinhas-em-condominio-perto-da-serra-do-cipo-boa-topografia-r-30-000-00-parcelas-rc23-1026154232,22/Mar/2023,00:57:46
Terrenos,,R$ 225.000,,Santa Rita do Ibitipoca,MG,20000m²,VEGAIMOVEIS,20/03/2023,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/terreno-rural-em-santa-rita-do-ibitipoca-mg-centro-1085520507,22/Mar/2023,00:57:47
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,20000m²,Marcos Tavares,12/06/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/fazendinhas-perto-da-serra-do-cipo-mg-1044047835,22/Mar/2023,00:57:47
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,20000m²,Marcos Tavares,01/05/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/fazendinhas-em-condominio-perto-da-serra-do-cipo-boa-topografia-r-30-000-00-parcelas-rc23-1027271921,22/Mar/2023,00:57:47
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,20000m²,Marcos Tavares,01/06/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/lote-terrenos-em-condominio-pertinho-da-serra-do-cipo-com-entrada-de-r-30-000-00-parcel-1039694255,22/Mar/2023,00:57:47
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,20000m²,Marcos Tavares,28/05/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/lote-terreno-em-condominio-um-pouco-antes-da-serra-do-cipo-1038073530,22/Mar/2023,00:57:47
Terrenos,,R$ 150.000,,Santa Rita do Ibitipoca,MG,20000m²,Negocial Imóveis,15/03/2023,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/santa-rita-do-ibitipoca-terreno-padrao-ponte-alta-1020622603,22/Mar/2023,00:57:47
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,20000m²,Marcos Tavares,19/07/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/lote-terrenos-com-financiamento-proprio-pertinho-da-serra-do-cipo-mg-1059833199,22/Mar/2023,00:57:47
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,20000m²,Marcos Tavares,18/05/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/lote-terrenos-em-condominio-pertinho-da-serra-do-cipo-mg-com-financiamento-proprio-1033762212,22/Mar/2023,00:57:47
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,1000m²,Marcos Tavares,06/05/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/fazendinhas-em-condominio-perto-da-serra-do-cipo-boa-topografia-r-30-000-00-parcelas-rc23-1029392906,22/Mar/2023,00:57:47
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,20000m²,Marcos Tavares,29/05/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/lote-terrenos-em-condominio-pertinho-da-serra-do-cipo-mg-entrada-de-r-30-000-00-parce-1038299098,22/Mar/2023,00:57:47
Terrenos,,R$ 30.000,,Santa Rita do Ibitipoca,MG,20000m²,Marcos Tavares,18/06/2022,https://mg.olx.com.br/regiao-de-juiz-de-fora/terrenos/fazendinhas-pouco-antes-da-serra-do-cipo-com-entrada-de-r-30-000-parcelas-1046281598,22/Mar/2023,00:57:47
