tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 1.730.000,Santa Rosa,Belo Horizonte,MG,720m²,São Luiz Imóveis,10/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-santa-rosa-belo-horizonte-mg-1131898099,22/Mar/2023,02:25:23
Terrenos,,R$ 650.000,Santa Rosa,Belo Horizonte,MG,360m²,CIOTTO IMÓVEIS,09/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-santa-rosa-1035031414,22/Mar/2023,02:25:23
Terrenos,,R$ 1.600.000,Santa Rosa,Belo Horizonte,MG,720m²,Irmãos Bessa Imóves Ltda,16/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-terreno-para-venda-com-720m-em-santa-rosa-belo-horizonte-mg-994774936,22/Mar/2023,02:25:23
Terrenos,,R$ 700.000,Santa Rosa,Belo Horizonte,MG,300m²,Conceito Imóveis Ltda - ME,12/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-santa-rosa-997679635,22/Mar/2023,02:25:23
Terrenos,,R$ 6.000.000,Santa Rosa,Belo Horizonte,MG,2680m²,PROLAR NETIMOVEIS,27/10/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-universitario-belo-horizonte-1102256700,22/Mar/2023,02:25:23
Terrenos,,R$ 850.000,Santa Rosa,Belo Horizonte,MG,549m²,Casa Mineira por QuintoAndar,23/10/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-santa-rosa-549-m-1100736428,22/Mar/2023,02:25:23
Terrenos,,R$ 690.000,Santa Rosa,Belo Horizonte,MG,360m²,Conceito Imóveis Ltda - ME,12/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-santa-rosa-1012267629,22/Mar/2023,02:25:23
Venda - casa em rua pública,3,R$ 780.000,Santa Rosa,Belo Horizonte,MG,200m²,LAR IMÓVEIS VENDA,15/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/casa-a-venda-3-quartos-1-suite-3-vagas-santa-rosa-belo-horizonte-mg-1159391478,22/Mar/2023,02:25:23
Terrenos,,R$ 780.000,Santa Rosa,Belo Horizonte,MG,390m²,A&C NEGOCIOS  IMOBILIÁRIOS,16/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-santa-rosa-1006980599,22/Mar/2023,02:25:23
Terrenos,,R$ 690.000,Santa Rosa,Belo Horizonte,MG,360m²,São Luiz Imóveis,04/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-santa-rosa-belo-horizonte-mg-1131898702,22/Mar/2023,02:25:23
Terrenos,,R$ 50.000,Santa Rosa,Belo Horizonte,MG,150m²,Adriano Rocha,20/01/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lapinha-da-serra-1136270015,22/Mar/2023,02:25:24
Terrenos,,R$ 1.698.000,Santa Rosa,Belo Horizonte,MG,720m²,Ei Consultoria Imobiliária,06/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/terreno-a-venda-720-m-por-r-1-698-000-00-santa-rosa-belo-horizonte-mg-950513154,22/Mar/2023,02:25:24
Terrenos,,R$ 1.600.000,Santa Rosa,Belo Horizonte,MG,720m²,Jardins dos Palmares Corretora de Imoveis,02/02/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-commercial-land-lot-belo-horizonte-mg-1005730390,22/Mar/2023,02:25:24
Terrenos,,R$ 80.000,Santa Rosa,Belo Horizonte,MG,506m²,Ronaldo A.,24/01/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/vendo-ou-troco-por-carro-moto-1137480505,22/Mar/2023,02:25:24
Terrenos,,R$ 1.600.000,Santa Rosa,Belo Horizonte,MG,720m²,CIOTTO IMÓVEIS,12/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-santa-rosa-993908633,22/Mar/2023,02:25:24
Terrenos,,R$ 690.000,Santa Rosa,Belo Horizonte,MG,360m²,Hordones Imóveis,21/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/lote-a-venda-santa-rosa-1034489220,22/Mar/2023,02:25:24
Terrenos,,R$ 1.595.000,Santa Rosa,Belo Horizonte,MG,720m²,Conceito Imóveis Ltda - ME,07/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/belo-horizonte-loteamento-condominio-santa-rosa-1079839651,22/Mar/2023,02:25:24
Venda - casa em rua pública,3,R$ 789.000,Santa Rosa,Belo Horizonte,MG,280m²,SOUZA MACHADO IMOVEIS,15/03/2023,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-residential-home-belo-horizonte-mg-1159829754,22/Mar/2023,02:25:24
Terrenos,,R$ 690.000,Santa Rosa,Belo Horizonte,MG,360m²,PROLAR NETIMOVEIS,27/10/2022,https://mg.olx.com.br/belo-horizonte-e-regiao/terrenos/venda-lote-area-terreno-santa-rosa-belo-horizonte-1102253801,22/Mar/2023,02:25:24
