tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 280.000,,São Gonçalo do Sapucaí,MG,720m²,Imobiliária VLT Imóveis - LTDA,19/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-a-venda-720-m-por-r-280-000-00-inconfidentes-sao-goncalo-do-sapucai-mg-1037728454,22/Mar/2023,00:15:21
Terrenos,,R$ 230.000,,São Gonçalo do Sapucaí,MG,2650m²,Edivaldo A,15/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/excelente-terreno-2-600-mts-1159342761,22/Mar/2023,00:15:21
Terrenos,,R$ 15.000.000,,São Gonçalo do Sapucaí,MG,49470m²,GONCALVES & CAMPOS EMPREENDIMENTOS IMOBILIARIOS LTDA - ME,24/02/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/area-comercial-em-sao-goncalo-do-sapucai-mg-serra-do-quiabeiro-1107116793,22/Mar/2023,00:15:21
Terrenos,,R$ 35.000,,São Gonçalo do Sapucaí,MG,3000m²,Denis Brian,09/02/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/vendo-2-lotes-35-mil-cada-bairro-agua-comprida-300-metros-cada0-1144928143,22/Mar/2023,00:15:22
Venda - casa em rua pública,3,null,,São Gonçalo do Sapucaí,MG,180m²,Mauro,03/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/casa-180-mil-1154098309,22/Mar/2023,00:15:22
Venda - casa em rua pública,0,R$ 900.000,,São Gonçalo do Sapucaí,MG,400m²,Kawan Manso,21/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/vendo-ou-troco-por-apartamento-1162340898,22/Mar/2023,00:15:22
Venda - casa em rua pública,3,R$ 350.000,,São Gonçalo do Sapucaí,MG,242m²,Murillo Henrique,07/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/casa-3-quartos-1155858500,22/Mar/2023,00:15:22
Terrenos,,R$ 35.000,,São Gonçalo do Sapucaí,MG,300m²,denisejaine,08/02/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/dois-lotes-a-venda-300mt-cada-35-mil-por-lote-1144702946,22/Mar/2023,00:15:22
Terrenos,,R$ 60.000,,São Gonçalo do Sapucaí,MG,233m²,jmgrabelo,10/02/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/vende-se-lote-de-esquina-loteamento-jardim-ouro-verde-sao-goncalo-do-sapucai-1145436388,22/Mar/2023,00:15:22
Terrenos,,R$ 19.000,,São Gonçalo do Sapucaí,MG,100m²,Andreza,17/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/terrenos/terreno-a-venda-1160383379,22/Mar/2023,00:15:22
Venda - casa em vila,4,R$ 1.100.000,,São Gonçalo do Sapucaí,MG,300m²,Junior,04/02/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/linda-casa-na-beira-do-lago-1142696972,22/Mar/2023,00:15:22
Venda - casa em rua pública,4,R$ 620.000,,São Gonçalo do Sapucaí,MG,264m²,moquinha,21/01/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/vendo-ou-troco-casa-1136488168,22/Mar/2023,00:15:22
Venda - apartamento padrão,3,R$ 323.520,,São Gonçalo do Sapucaí,MG,227m²,Mega Leilões,02/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/apartamento-227-m-centro-sao-goncalo-do-sapucai-mg-1153885779,22/Mar/2023,00:15:22
Venda - casa em rua pública,2,R$ 658.700,,São Gonçalo do Sapucaí,MG,1088m²,MGL LEILÕES,21/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/casa-para-venda-com-1088-metros-quadrados-com-2-quartos-em-centro-sao-goncalo-do-sapucai-1162215235,22/Mar/2023,00:15:22
Venda - apartamento padrão,3,R$ 345.850,,São Gonçalo do Sapucaí,MG,227m²,Mega Leilões,02/03/2023,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/apartamento-227-m-centro-sao-goncalo-do-sapucai-mg-1153885848,22/Mar/2023,00:15:22
