tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 225.000,,Sidrolândia,MS,240m²,BR House - Matriz: Brasília/DF,13/04/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/sidrolandia-lote-1172148498,04/Oct/2023,14:36:26
Terrenos,,null,,Sidrolândia,MS,,Sheldon chaves,23/08/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-em-condominio-fechado-1225582918,04/Oct/2023,14:36:26
Venda - casa em rua pública,2,R$ 165.000,,Sidrolândia,MS,70m²,Guilherme,19/09/2023,https://ms.olx.com.br/mato-grosso-do-sul/imoveis/casa-a-venda-1235360876,04/Oct/2023,14:36:26
Venda - casa em rua pública,2,R$ 120.000,,Sidrolândia,MS,0m²,Josival Soares,25/09/2023,https://ms.olx.com.br/mato-grosso-do-sul/imoveis/casa-ja-financiada-1237368259,04/Oct/2023,14:36:26
Venda - casa em rua pública,1,R$ 190.000,,Sidrolândia,MS,57m²,claudineigs1982,02/10/2023,https://ms.olx.com.br/mato-grosso-do-sul/imoveis/vendo-casa-sidrolandia-ms-1239752487,04/Oct/2023,14:36:26
Venda - casa em rua pública,3,R$ 950.000,,Sidrolândia,MS,165m²,Artha Imóveis,01/07/2023,https://ms.olx.com.br/mato-grosso-do-sul/imoveis/casa-terrea-a-venda-3-quartos-porto-seguro-ii-sidrolandia-ms-1204862327,04/Oct/2023,14:36:27
Venda - casa em rua pública,3,R$ 450.000,,Sidrolândia,MS,133m²,Aguia Real Imóveis,05/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/imoveis/oportunidade-unica-casa-no-centro-de-sidrolandia-com-terreno-para-construir-aceita-pe-1090999694,04/Oct/2023,14:36:27
Venda - casa em rua pública,3,R$ 1.500.000,,Sidrolândia,MS,174m²,Aguia Real Imóveis,03/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/imoveis/casa-com-3-dormitorios-a-venda-173-m-por-r-1-500-000-00-centro-sidrolandia-ms-1073449176,04/Oct/2023,14:36:27
Venda - casa em rua pública,2,R$ 135.000,,Sidrolândia,MS,1m²,dansilva.ds45,30/08/2023,https://ms.olx.com.br/mato-grosso-do-sul/imoveis/casa-com-as-parcelas-do-terreno-a-pagar-1228041218,04/Oct/2023,14:36:27
Terrenos,,R$ 290.000,,Sidrolândia,MS,311m²,BR House - Matriz: Brasília/DF,12/04/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/sidrolandia-lote-1172122643,04/Oct/2023,14:36:27
Terrenos,,R$ 120.000,,Sidrolândia,MS,507m²,Marcelo de Alcantara Silva,24/09/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-em-sidrolandia-507-m2-1210995024,04/Oct/2023,14:36:27
