tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em condominio fechado,2,R$ 175.000,Residencial Terra Morena,Campo Grande,MS,54m²,lemos silva,18/09/2023,https://ms.olx.com.br/mato-grosso-do-sul/imoveis/casa-residencial-terra-morena-r-175-000-1235056153,04/Oct/2023,14:56:17
Venda - casa em rua pública,3,R$ 320.000,Nova Lima,Campo Grande,MS,82m²,KALVES IMÓVEIS,20/09/2023,https://ms.olx.com.br/mato-grosso-do-sul/imoveis/casa-com-3-quartos-a-venda-nova-lima-campo-grande-1235977139,04/Oct/2023,14:56:20
Venda - casa em rua pública,3,R$ 1.700.000,Jardim Autonomista,Campo Grande,MS,278m²,ARBO IMÓVEIS,20/07/2023,https://ms.olx.com.br/mato-grosso-do-sul/imoveis/sobrado-em-jardim-autonomista-campo-grande-ms-1212390318,04/Oct/2023,14:56:31
Terrenos,,R$ 65.000,Bosque das Araras,Três Lagoas,MS,300m²,Lsversut,02/10/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-quitado-bosque-das-araras-1239627068,04/Oct/2023,14:56:33
Terrenos,,R$ 80.000,Jardim das Acácias,Três Lagoas,MS,225m²,Imoblist,28/09/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/venda-terreno-em-jardim-das-acacias-tres-lagoas-1238409970,04/Oct/2023,14:56:33
Terrenos,,R$ 230.000,Village do Lago,Três Lagoas,MS,431m²,Murilo Oliveira,07/09/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-a-venda-430-m--condominio-village-do-lago-1231143777,04/Oct/2023,14:56:33
Terrenos,,R$ 85.000.000,Jupiá,Três Lagoas,MS,270m²,Paulino,25/09/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/vendo-terreno-1237406003,04/Oct/2023,14:56:34
Terrenos,,R$ 153.000,Residencial Costa Leste,Três Lagoas,MS,319m²,Murilo Oliveira,22/09/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-a-venda-318-m-residencial-costa-leste-tres-lagoas-mato-grosso-do-sul-1236423265,04/Oct/2023,14:56:34
Terrenos,,R$ 135.000,Jardim Primaveril,Três Lagoas,MS,492m²,luiz otavio,11/08/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-proximo-a-lagoa-maior-aceito-proposta-1220980695,04/Oct/2023,14:56:34
Terrenos,,R$ 78.000,Residencial Montanini,Três Lagoas,MS,380m²,GVI - Empresas Rodobens,24/09/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terrenos-no-residencial-montanini-1155788323,04/Oct/2023,14:56:34
