tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 84.990,Vival dos Ipês,Dourados,MS,200m²,CASA DOURADA NEGOCIOS IMOBILIARIOS LTDA,17/01/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-a-venda-no-bairro-vival-dos-ipes-dourados-ms-1134601216,21/Mar/2023,21:42:53
Terrenos,,R$ 150.000,Setor 39,Dourados,MS,,NOVA HOUSE IMÓVEIS,10/01/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-no-terras-alphaville-dourados-1072257270,21/Mar/2023,21:42:53
Terrenos,,R$ 75.000,Vival dos Ipês,Dourados,MS,200m²,Imoblist,12/01/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/venda-terreno-em-vival-dos-ipes-dourados-1132294989,21/Mar/2023,21:42:53
Terrenos,,R$ 270.000,Área Rural de Dourados,Dourados,MS,281m²,Imoblist,05/01/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/venda-terreno-em-porto-unique-condominio-spa-r-1129587004,21/Mar/2023,21:42:53
Terrenos,,R$ 262.500,Jardim Itaipú,Dourados,MS,275m²,ARBO IMÓVEIS,07/01/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-a-venda-porto-unique-dourados-ms-1130137258,21/Mar/2023,21:42:53
Terrenos,,R$ 95.000,Vival dos Ipês,Dourados,MS,239m²,CASA DOURADA NEGOCIOS IMOBILIARIOS LTDA,05/01/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-a-venda-no-bairro-vival-dos-ipes-dourados-ms-1129402546,21/Mar/2023,21:42:53
Terrenos,,R$ 245.000,Loteamento Pousada dos Pássaros,Dourados,MS,341m²,Nalbert H. G. Ribeiro,13/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/venda-terreno-no-cond-porto-royale-1090232055,21/Mar/2023,21:42:53
Terrenos,,R$ 340.000,Porto Madero,Dourados,MS,300m²,Imoblist,12/01/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/venda-terreno-em-porto-madero-dourados-1132294872,21/Mar/2023,21:42:53
Terrenos,,R$ 160.000,Jardim Cristhais,Dourados,MS,300m²,Imobiliária Continental,13/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-terreno-padrao-jardim-cristhais-ii-1138546176,21/Mar/2023,21:42:53
Terrenos,,R$ 125.000,Jardim Cristhais,Dourados,MS,300m²,Imobiliária Continental,13/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1148407010,21/Mar/2023,21:42:53
Terrenos,,R$ 380.000,Vila São Luiz,Dourados,MS,750m²,GIS,22/11/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-a-venda-750-m-vila-sao-luiz-dourados-ms-1112881557,21/Mar/2023,21:42:53
Terrenos,,R$ 110.000,Jardim Guaicurus,Dourados,MS,,Avivar Imóveis,13/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-a-venda-no-jardim-guaicurus-1055856503,21/Mar/2023,21:42:53
Terrenos,,R$ 152.000,Jardim Cristhais,Dourados,MS,380m²,Imobiliária Continental,13/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1148344184,21/Mar/2023,21:42:53
Terrenos,,R$ 61.999,Panambi Vera,Dourados,MS,204m²,Gustavo,11/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-cidade-jardim-ii-204m2-terreno-mais-barato-de-dourados-1157931101,21/Mar/2023,21:42:53
Terrenos,,R$ 120.000,Centro,Dourados,MS,495m²,dinacorretora.imoveis,11/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/vendo-terrenos-1157956085,21/Mar/2023,21:42:53
Terrenos,,R$ 250.000,Centro,Dourados,MS,5124m²,Maktubfiltros soluções a diesel,11/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-em-condominio-fechado-vendo-ou-troco-por-camionete-1157940046,21/Mar/2023,21:42:53
Terrenos,,R$ 84.892,Residencial Bonanza,Dourados,MS,200m²,Andre F.,10/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terrenos-a-venda-no-residencial-parizotto-1157466152,21/Mar/2023,21:42:53
Terrenos,,R$ 57.000,Jardim Jóquei Clube,Dourados,MS,360m²,Mega Leilões,11/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-360-m-jardim-joquei-clube-dourados-ms-1148446289,21/Mar/2023,21:42:53
Terrenos,,R$ 30.000,Jardim Novo Horizonte,Dourados,MS,200m²,Bruno,06/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-em-condominio-fechado-1155129562,21/Mar/2023,21:42:53
Terrenos,,R$ 69.000,Jardim Santa Maria,Dourados,MS,220m²,GIS,22/11/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-a-venda-220-m-por-r-69-000-loteamento-monte-siao-dourados-ms-1112890268,21/Mar/2023,21:42:53
Terrenos,,R$ 130.000,Jardim Cristhais,Dourados,MS,300m²,Imobiliária Continental,12/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1137500885,21/Mar/2023,21:42:53
Terrenos,,R$ 37,Parque Residencial Pelicano,Dourados,MS,205m²,simples pescadores,04/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-boa-localizacao-1072596739,21/Mar/2023,21:42:53
Terrenos,,R$ 27.500,Panambi Vera,Dourados,MS,344m²,Wellington Marcos,07/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/vendo-terreno-no-cidade-jardim-ii-344m-boa-localizacao-1155634992,21/Mar/2023,21:42:53
Terrenos,,R$ 349.000,Porto Seguro,Dourados,MS,275m²,Imoblist,09/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/venda-terreno-em-porto-seguro-dourados-1157069259,21/Mar/2023,21:42:53
Terrenos,,R$ 80.000,Centro,Dourados,MS,250m²,Luiz Paulo Malagutti,01/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-de-oportunidade-pego-carro-e-escuto-proposta-1148888413,21/Mar/2023,21:42:53
Terrenos,,R$ 300.000,Parque Nova Dourados,Dourados,MS,510m²,Prime Imóveis,08/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/lote-venda-em-condominio-em-dourados-green-park-residence-1145364284,21/Mar/2023,21:42:53
Terrenos,,R$ 0,Jardim Santa Maria,Dourados,MS,200m²,isadora,02/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/vendo-terreno-monte-siao-1153629331,21/Mar/2023,21:42:53
Terrenos,,R$ 115.000,Jardim América,Dourados,MS,324m²,Alexandremcp,01/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-terras-alphaville-1141840134,21/Mar/2023,21:42:53
Terrenos,,R$ 77.500,Residencial Cidade Jardim I,Dourados,MS,200m²,Aguia Real Imóveis,02/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-a-venda-por-r-77-500-dourados-ms-1048542194,21/Mar/2023,21:42:54
Terrenos,,R$ 160,Parque Alvorada,Dourados,MS,410m²,Antônio,12/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-em-dourados-ms-de-esquina-troco-por-imovel-em-campo-grande-1158043290,21/Mar/2023,21:42:54
Terrenos,,R$ 184.000,Vila Toscana II,Dourados,MS,,Ana Paula,28/02/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/condominio-fechado-green-park-terrenos-disponivel-para-venda-1152844691,21/Mar/2023,21:42:54
Terrenos,,R$ 270.000,Parque Alvorada,Dourados,MS,255m²,GIS,22/11/2022,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-a-venda-255-m-por-r-270-000-porto-seguro-dourados-ms-1112882375,21/Mar/2023,21:42:54
Terrenos,,R$ 526.858,Chácaras Trevo,Dourados,MS,2290m²,V. D. P. IMOVEIS,04/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-a-venda-2-290-m-por-r-526-858-chacaras-trevo-dourados-ms-1141678663,21/Mar/2023,21:42:54
Terrenos,,R$ 250.000,Parque Nova Dourados,Dourados,MS,420m²,Prime Imóveis,08/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/lote-venda-em-condominio-em-dourados-green-park-residence-1145352000,21/Mar/2023,21:42:54
Terrenos,,R$ 160.000,Parque Alvorada,Dourados,MS,360m²,Paulo,28/02/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-no-bairro-santa-fe-1152622078,21/Mar/2023,21:42:54
Terrenos,,R$ 300.000,Vila Vargas,Dourados,MS,,Imoblist,16/02/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terrenos-no-condominio-triunfo-1148041383,21/Mar/2023,21:42:54
Terrenos,,R$ 122.000,Jardim Cristhais,Dourados,MS,300m²,Imobiliária Continental,11/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1148346315,21/Mar/2023,21:42:54
Terrenos,,R$ 150.000,Altos do Indaiá,Dourados,MS,420m²,Soah,12/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-420-m2-em-frente-ao-hospital-universitario-1158203932,21/Mar/2023,21:42:54
Terrenos,,R$ 550.000,Parque Nova Dourados,Dourados,MS,920m²,Prime Imóveis,11/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/lote-venda-em-condominio-em-dourados-green-park-residence-1145325026,21/Mar/2023,21:42:54
Terrenos,,R$ 280.000,Área Rural de Dourados,Dourados,MS,2800m²,Rafael,20/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-2-800m-anel-viario-no-asfalto-400m-da-br163-1161571314,21/Mar/2023,21:42:54
Terrenos,,R$ 600.000,Vila Cuiabá,Dourados,MS,1621m²,iris,20/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/barbada-excelente-terreno-comercial-de-1621-m2-a-100m-da-marcelino-pires-1161624565,21/Mar/2023,21:42:54
Terrenos,,R$ 250.000,Altos do Indaiá,Dourados,MS,250m²,Alexandre Inagaki,18/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/cond-porto-seguro-1161126971,21/Mar/2023,21:42:54
Terrenos,,R$ 125.000,Jardim São Pedro,Dourados,MS,454m²,Marcos Roberto Jr.,19/02/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/lote-de-454-metros-no-golden-park-residence-1149152114,21/Mar/2023,21:42:54
Terrenos,,R$ 30.000,Jardim Flórida,Dourados,MS,200m²,martielo,17/02/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/terreno-r-30-000-00-1087371499,21/Mar/2023,21:42:54
Terrenos,,R$ 125.000,Jardim Cristhais,Dourados,MS,300m²,Imobiliária Continental,17/03/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/dourados-loteamento-condominio-jardim-cristhais-iii-1148340882,21/Mar/2023,21:42:54
Terrenos,,R$ 225.000,Centro,Dourados,MS,360m²,Neivaldo Rodrigues,27/02/2023,https://ms.olx.com.br/mato-grosso-do-sul/terrenos/vendo-terreno-1152261813,21/Mar/2023,21:42:54
