tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 35.000,,Barra do Garças,MT,225m²,Washington S.,07/08/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/terrenos/terreno-nova-barra-barra-do-garcas-r-35-000-00-1219508714,04/Oct/2023,11:31:55
Terrenos,,R$ 40.000,Centro,Barra do Garças,MT,300m²,mvvc,28/08/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/terrenos/vendo-lote-barra-do-garcas-1227292595,04/Oct/2023,11:31:55
Terrenos,,R$ 32.000,,Barra do Garças,MT,250m²,Ray Viana,13/09/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/terrenos/terreno-250m2-1233357662,04/Oct/2023,11:31:55
Terrenos,,R$ 85.000,,Barra do Garças,MT,275m²,maico,01/09/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/terrenos/agio-lote-jardim-toledo-1229169617,04/Oct/2023,11:31:55
Terrenos,,R$ 90.000,Loteamento Jardim Amazônia II,Barra do Garças,MT,450m²,Luziano Medeiros,23/08/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/terrenos/lote-450-m-1225559295,04/Oct/2023,11:31:55
Terrenos,,R$ 150.000,Centro,Barra do Garças,MT,480m²,awp_vendas,04/09/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/terrenos/terreno-480-m-1230022766,04/Oct/2023,11:31:55
Venda - casa em rua pública,2,R$ 190.000,,Barra do Garças,MT,157m²,CARNEIRO IMÓVEIS,27/09/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/imoveis/casa-com-2-dormitorios-a-venda-157-m-por-r-190-000-00-sena-marques-barra-do-garcas-1237872732,04/Oct/2023,11:31:55
Terrenos,,R$ 80.000,Loteamento Jardim Amazônia II,Barra do Garças,MT,450m²,KADU IMÓVEIS,06/03/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/terrenos/lote-a-venda-loteamento-jardim-amazonia-ii-barra-do-garcas-mt-1128981220,04/Oct/2023,11:31:55
Venda - casa em rua pública,1,R$ 620.000,Jardim São João,Barra do Garças,MT,150m²,KADU IMÓVEIS,24/03/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/imoveis/casa-a-venda-1-quarto-1-suite-1-vaga-jardim-sao-joao-barra-do-garcas-mt-1108303663,04/Oct/2023,11:31:55
Venda - casa em rua pública,2,R$ 250.000,Jardim Ouro Fino,Barra do Garças,MT,150m²,KADU IMÓVEIS,27/02/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/imoveis/casa-a-venda-2-quartos-jardim-ouro-fino-barra-do-garcas-mt-1122482631,04/Oct/2023,11:31:55
Venda - casa em rua pública,2,R$ 647.000,,Barra do Garças,MT,175m²,Jardim São Caetano Imóveis LTDa,21/03/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/imoveis/sobrado-no-bairro-sao-joao-climaco-sao-paulo-sp-1029475494,04/Oct/2023,11:31:55
Terrenos,,R$ 100.000,,Barra do Garças,MT,900m²,eng.agr.fernando,11/08/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/terrenos/02-terrenos-barra-do-garcas-1216265530,04/Oct/2023,11:31:55
Venda - casa em rua pública,3,R$ 950.000,,Barra do Garças,MT,167m²,KADU IMÓVEIS,07/05/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/imoveis/casa-a-venda-3-quartos-1-suite-sao-conrado-barra-do-garcas-mt-1182100230,04/Oct/2023,11:31:55
Terrenos,,R$ 100.000,,Barra do Garças,MT,450m²,KADU IMÓVEIS,26/03/2023,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/terrenos/lote-a-venda-anchieta-barra-do-garcas-mt-1132396413,04/Oct/2023,11:31:55
