tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 60.000,Centro,Santarém,PA,400m²,caioantoniomachado,11/09/2023,https://pa.olx.com.br/regiao-de-santarem/terrenos/terreno-no-residencial-carapanari-proximo-ao-restaurante-do-saulo-1154448209,11/Sep/2023,22:12:33
Terrenos,,R$ 1.300.000,Santíssimo,Santarém,PA,,Cletyana corretora,10/09/2023,https://pa.olx.com.br/regiao-de-santarem/terrenos/terreno-1232254659,11/Sep/2023,22:12:33
Terrenos,,R$ 35.000,Santana,Santarém,PA,,rogerio santos,11/09/2023,https://pa.olx.com.br/regiao-de-santarem/terrenos/terreno-no-mararu-1232618944,11/Sep/2023,22:12:33
Terrenos,,R$ 2.000,,Santarém,PA,300m²,Cilda,12/09/2023,https://pa.olx.com.br/regiao-de-santarem/terrenos/terrenos-1232685417,11/Sep/2023,22:12:33
Terrenos,,R$ 18.000,Ipanema,Santarém,PA,300m²,GRÁFICA BELLA SANTARÉM,11/09/2023,https://pa.olx.com.br/regiao-de-santarem/terrenos/terreno-no-bairro-espirito-santo-1232633667,11/Sep/2023,22:12:33
Outros,,R$ 85.000,Salvação,Santarém,PA,,Dayane R.,11/09/2023,https://pa.olx.com.br/regiao-de-santarem/terrenos/casa-com-terreno-1232588402,11/Sep/2023,22:12:33
Terrenos,,R$ 45.000,São Cristóvão,Santarém,PA,290m²,maiaedesio,11/09/2023,https://pa.olx.com.br/regiao-de-santarem/terrenos/vendo-terreno-na-regiao-da-nova-moacara-1232426038,11/Sep/2023,22:12:33
Terrenos,,R$ 60.000,Alvorada,Santarém,PA,,jonathanbatista2016,11/09/2023,https://pa.olx.com.br/regiao-de-santarem/terrenos/vendo-terreno-cipoal-a-50-m-da-br-km-14-1232617091,11/Sep/2023,22:12:33
Terrenos,,null,Diamantino,Santarém,PA,1200m²,991069612,11/09/2023,https://pa.olx.com.br/regiao-de-santarem/terrenos/vendo-terreno-10m-x-30m-ou-30m-x-40m-energia-transformador-novo-e-asfalto-na-porta-938774387,11/Sep/2023,22:12:33
Terrenos,,R$ 35,Aparecida,Santarém,PA,,Edi,11/09/2023,https://pa.olx.com.br/regiao-de-santarem/terrenos/vende-se-um-terreno-1232514199,11/Sep/2023,22:12:34
