tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,2,R$ 180.000,,Solânea,PB,5m²,Lima junior,05/03/2023,https://pb.olx.com.br/paraiba/imoveis/casa-pra-vender-1154936455,22/Mar/2023,07:39:57
Terrenos,,R$ 38.000,,Solânea,PB,,RE/MAX LIVE,16/03/2023,https://pb.olx.com.br/paraiba/terrenos/terreno-a-venda-em-otima-localizacao-proximo-ao-centro-em-solanea-pb-1150945824,22/Mar/2023,07:39:57
Terrenos,,R$ 22.000,,Solânea,PB,160m²,RE/MAX LIVE,19/03/2023,https://pb.olx.com.br/paraiba/terrenos/oportunidade-terreno-com-160-metros-solanea-1150946407,22/Mar/2023,07:39:57
Terrenos,,R$ 22.000,,Solânea,PB,160m²,RE/MAX LIVE,21/03/2023,https://pb.olx.com.br/paraiba/terrenos/terreno-a-venda-160-m-por-r-22-000-00-loteamento-jardins-solanea-pb-1149598701,22/Mar/2023,07:39:57
Terrenos,,R$ 20.000,,Solânea,PB,,Thales H.,24/01/2023,https://pb.olx.com.br/paraiba/terrenos/repasse-de-terreno-1137886607,22/Mar/2023,07:39:57
Terrenos,,R$ 50.000,,Solânea,PB,140m²,Sidineia Josivan,14/02/2023,https://pb.olx.com.br/paraiba/terrenos/terreno-em-solanea-pb-1146975464,22/Mar/2023,07:39:57
Terrenos,,R$ 17.000,,Solânea,PB,265m²,Bruno,26/02/2023,https://pb.olx.com.br/paraiba/terrenos/repasse-terreno-de-esquina-10x25-em-solanea-bairro-nobre-pb-1151906122,22/Mar/2023,07:39:57
Venda - casa em rua pública,2,R$ 180.000,,Solânea,PB,138m²,RE/MAX LIVE,21/03/2023,https://pb.olx.com.br/paraiba/imoveis/casa-2-dormitorios-a-venda-138-m-solanea-pb-1162149210,22/Mar/2023,07:39:57
Terrenos,,R$ 110.000,,Solânea,PB,290m²,Solange Corretora de Imóveis,13/03/2023,https://pb.olx.com.br/paraiba/terrenos/terreno-solanea-1132439805,22/Mar/2023,07:39:57
Terrenos,,R$ 95.000,,Solânea,PB,1683m²,Remax View -,14/03/2023,https://pb.olx.com.br/paraiba/terrenos/terreno-a-venda-no-sitio-fazenda-velha-solanea-pb-1158874435,22/Mar/2023,07:39:57
Terrenos,,R$ 120.000,,Solânea,PB,520m²,RE/MAX LIVE,17/03/2023,https://pb.olx.com.br/paraiba/terrenos/terreno-a-venda-520-m-por-r-120-000-solanea-1137480746,22/Mar/2023,07:39:57
Terrenos,,R$ 69.000,,Solânea,PB,160m²,Pedro Soares Imóveis,19/03/2023,https://pb.olx.com.br/paraiba/terrenos/terreno-a-venda-160-m-por-r-69-000-solanea-pb-1146939407,22/Mar/2023,07:39:57
Terrenos,,R$ 120.000,,Solânea,PB,100m²,Remax View -,07/01/2023,https://pb.olx.com.br/paraiba/terrenos/solanea-excelente-oportunidade-ponto-comercial-1130178488,22/Mar/2023,07:39:57
Terrenos,,R$ 75.000,,Solânea,PB,200m²,Ruberto Santos,19/03/2023,https://pb.olx.com.br/paraiba/terrenos/vende-se-um-excelente-terreno-rua-da-caixa-d-agua-em-solanea-paraiba-1161367505,22/Mar/2023,07:39:57
Terrenos,,R$ 80.000,,Solânea,PB,160m²,RE/MAX LIVE,15/03/2023,https://pb.olx.com.br/paraiba/terrenos/terreno-no-condominio-country-plaza-1141658902,22/Mar/2023,07:39:57
Terrenos,,R$ 30.000,,Solânea,PB,,Thaynara,21/02/2023,https://pb.olx.com.br/paraiba/terrenos/terreno-no-loteamento-nossa-senhora-da-boa-vista-1149678918,22/Mar/2023,07:39:57
Terrenos,,R$ 300.000,,Solânea,PB,600m²,RE/MAX LIVE,14/03/2023,https://pb.olx.com.br/paraiba/terrenos/terreno-a-venda-600-m-por-r-300-000-solanea-pb-na-rua-josefa-crispim-1137485196,22/Mar/2023,07:39:57
Terrenos,,R$ 45.000,,Solânea,PB,240m²,arthurpaiva1000,25/01/2023,https://pb.olx.com.br/paraiba/terrenos/repasse-lote-country-plaza-condominium-resort-solanea-1138267846,22/Mar/2023,07:39:57
Terrenos,,R$ 29.000,,Solânea,PB,197m²,Carlinhos,03/02/2023,https://pb.olx.com.br/paraiba/terrenos/vende-se-terreno-1142501758,22/Mar/2023,07:39:57
Terrenos,,R$ 65.000,,Solânea,PB,160m²,RE/MAX LIVE,15/03/2023,https://pb.olx.com.br/paraiba/terrenos/lote-para-venda-no-condominio-country-plaza-em-solanea-pb-1137481672,22/Mar/2023,07:39:57
Terrenos,,null,,Solânea,PB,300m²,Cristiano,10/02/2023,https://pb.olx.com.br/paraiba/terrenos/vendo-lote-no-condominio-ville-blanche-ii-1139835624,22/Mar/2023,07:39:57
Terrenos,,R$ 80.000,,Solânea,PB,306m²,Sylas,14/02/2023,https://pb.olx.com.br/paraiba/terrenos/terreno-no-condominio-ville-blanche-solanea-bananeiras-pb-1117725355,22/Mar/2023,07:39:57
Venda - casa em rua pública,3,R$ 800.000,,Solânea,PB,270m²,Damaris Oliveira,12/02/2023,https://pb.olx.com.br/paraiba/imoveis/casa-em-solanea-a-venda-1146214300,22/Mar/2023,07:39:57
Terrenos,,R$ 69.000,,Solânea,PB,160m²,ZSB BANCARIOS IMOBILIARIA LTDA - ME,18/12/2022,https://pb.olx.com.br/paraiba/terrenos/terreno-residencial-a-venda-centro-solanea-1046402671,22/Mar/2023,07:39:57
