tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 250.000,AABB,Serra Talhada,PE,2500m²,Germano's imóveis e negócios,07/09/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-50x50-1231226713,06/Oct/2023,01:23:31
Terrenos,,R$ 6.000,Bom Jesus,Serra Talhada,PE,800m²,Lucianojose Jose,01/10/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vendo-terreno-1239463789,06/Oct/2023,01:23:31
Terrenos,,R$ 40.000,AABB,Serra Talhada,PE,70m²,Danyelle Karyne,20/09/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-em-serra-talhada-com-escritura-publica-1235898170,06/Oct/2023,01:23:31
Terrenos,,R$ 2.500,São Cristóvão,Serra Talhada,PE,,Matheus Ferraz,10/09/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-se-terrenos-no-bairro-jardim-das-oliveiras-1232271606,06/Oct/2023,01:23:31
Terrenos,,R$ 87.000,,Serra Talhada,PE,200m²,Mário Olímpio Creci-PE 12.097,14/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-se-terreno-na-rua-ivan-s-oliveira-no-ipsep-em-serra-talhada-pe-965998214,06/Oct/2023,01:23:31
Terrenos,,R$ 120.000,AABB,Serra Talhada,PE,276m²,vitinho.gaia,18/09/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-disponivel-1234993636,06/Oct/2023,01:23:31
Terrenos,,R$ 10.000,Nossa Senhora da Conceição,Serra Talhada,PE,,Alisson Nogueira,04/10/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-10x20-1240330522,06/Oct/2023,01:23:31
Terrenos,,R$ 75.000,Nossa Senhora da Penha,Serra Talhada,PE,205m²,Mário Olímpio Creci-PE 12.097,04/10/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-se-terreno-no-condomio-preto-inacio-em-serra-talhada-pe-1192372895,06/Oct/2023,01:23:31
Terrenos,,R$ 20.000,,Serra Talhada,PE,135m²,Mário Olímpio Creci-PE 12.097,17/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-terreno-6x22-5-no-cachoeira-ll-serra-talhada-pe-757519238,06/Oct/2023,01:23:31
Outros,,R$ 1.350.000,Nossa Senhora da Penha,Serra Talhada,PE,360000m²,Mário Olímpio Creci-PE 12.097,21/09/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-se-ind-fonte-de-agua-mineral-em-serra-talhada-pe-1210215672,06/Oct/2023,01:23:31
Terrenos,,R$ 60.000,Nossa Senhora da Penha,Serra Talhada,PE,222m²,Mário Olímpio Creci-PE 12.097,14/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-se-excelente-terreno-no-loteamento-brisas-da-serra-em-serra-talhada-pe-1140243939,06/Oct/2023,01:23:31
Terrenos,,R$ 130.000,Nossa Senhora da Penha,Serra Talhada,PE,210m²,Mário Olímpio Creci-PE 12.097,14/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-se-excelente-terreno-medindo-10-x-21-na-aabb-em-serra-talhada-pe-1106977942,06/Oct/2023,01:23:31
Terrenos,,R$ 460.000,Nossa Senhora da Conceição,Serra Talhada,PE,76500m²,Mário Olímpio Creci-PE 12.097,30/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-se-excelente-terreno-na-br232-km-417-em-serra-talhada-pe-895874215,06/Oct/2023,01:23:31
Terrenos,,R$ 30.000,,Serra Talhada,PE,,jefferson2340,19/09/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vendo-terreno-1235547771,06/Oct/2023,01:23:31
Terrenos,,R$ 150.000,AABB,Serra Talhada,PE,300m²,katianazario,20/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-12x25-no-bairro-aabb-1200027626,06/Oct/2023,01:23:31
Terrenos,,R$ 9.000,Nossa Senhora da Conceição,Serra Talhada,PE,180m²,Patricia,22/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/repasso-terreno-1225064682,06/Oct/2023,01:23:31
Terrenos,,R$ 26.000,AABB,Serra Talhada,PE,3000m²,Mário Olímpio Creci-PE 12.097,17/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-30x100-pe-320-serra-talhada-919702589,06/Oct/2023,01:23:31
Terrenos,,R$ 35.000,,Serra Talhada,PE,10000m²,lu04lu,09/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-1-hectare-1220189853,06/Oct/2023,01:23:31
Terrenos,,R$ 97.389,Tancredo Neves,Serra Talhada,PE,1626m²,Pedro Corretor Especialista em Imóveis e Regularização de Imóveis,24/07/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/serra-talhada-terreno-padrao---tancredo-neves-1213891934,06/Oct/2023,01:23:31
Terrenos,,R$ 15.000,,Serra Talhada,PE,1500m²,Mário Olímpio Creci-PE 12.097,17/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-se-terrenos-de-chacaras-na-br232-no-km395-proximo-a-serra-talhada-pe-924386892,06/Oct/2023,01:23:31
Terrenos,,R$ 133.000,,Serra Talhada,PE,300m²,Mário Olímpio Creci-PE 12.097,17/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-se-300m-na-aabb-918807244,06/Oct/2023,01:23:31
Terrenos,,R$ 150.000,Nossa Senhora da Conceição,Serra Talhada,PE,200m²,Mário Olímpio Creci-PE 12.097,04/10/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-se-terreno-na-rua-isidoro-conrado-10-x-20-em-serra-talhada-pe-985144671,06/Oct/2023,01:23:31
Terrenos,,R$ 156.000,AABB,Serra Talhada,PE,288m²,Mário Olímpio Creci-PE 12.097,28/09/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-se-terreno-na-aabb-em-serra-talhada-pe-1238300043,06/Oct/2023,01:23:31
Terrenos,,R$ 8.000,AABB,Serra Talhada,PE,115m²,Mário Olímpio Creci-PE 12.097,14/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vende-se-terreno-5x23-proximo-ao-samu-em-serra-talhada-pe-914589368,06/Oct/2023,01:23:31
Terrenos,,R$ 10.000,,Serra Talhada,PE,1260m²,Mário Olímpio Creci-PE 12.097,17/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-de-chacara-proximo-a-cachichola-serra-talhada-pe-853040221,06/Oct/2023,01:23:31
Terrenos,,R$ 65.000,José Alves de Carvalho Nunes,Serra Talhada,PE,150m²,RE/MAX OCEANIA,29/04/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/10-terrenos-para-venda-cada-com-150-metros-quadrados-6-x-25-1179064382,06/Oct/2023,01:23:32
Terrenos,,R$ 6.325.000,Nossa Senhora da Penha,Serra Talhada,PE,,RE/MAX OCEANIA,15/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/area-comercial-no-centro-de-serra-talhada-6325-m-1131819892,06/Oct/2023,01:23:32
Venda - casa em rua pública,5 ou mais,R$ 300.000,São Cristóvão,Serra Talhada,PE,300m²,Mário Olímpio Creci-PE 12.097,14/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vende-se-otima-casa-em-serra-talhada-pe-1113908843,06/Oct/2023,01:23:32
Venda - casa em rua pública,3,R$ 300.000,Várzea,Serra Talhada,PE,140m²,RE/MAX OCEANIA,08/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-duplex-a-venda-com-3-quartos-no-ipsep-serra-talhada-pernambuco-1176174107,06/Oct/2023,01:23:32
Venda - apartamento cobertura,1,R$ 3.500.000,Bom Jesus,Serra Talhada,PE,1650m²,Paulo C. Silva,18/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/cobertura-para-venda-tem-1650-metros-quadrados-com-1-quarto-em-bom-jesus-serra-talhada-1223806045,06/Oct/2023,01:23:33
Terrenos,,R$ 57.577,José Rufino Alves,Serra Talhada,PE,160m²,Paulo Miranda,09/09/2022,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/seu-novo-estilo-de-vida-comeca-aqui-lotes-em-serra-talhada-area-de-160-a-400m-area-de-1082255322,06/Oct/2023,01:23:33
Venda - casa em rua pública,3,R$ 140.000,Nossa Senhora da Penha,Serra Talhada,PE,200m²,Mário Olímpio Creci-PE 12.097,04/10/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vende-se-casa-em-construcao-em-serra-talhada-pe-1132435252,06/Oct/2023,01:23:33
Venda - casa em rua pública,2,R$ 76,Nossa Senhora da Conceição,Serra Talhada,PE,120m²,Augusto,14/09/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vendo-casa-em-serra-talhada-bairro-sao-cristovao-antigo-bairro-bomba-1233677272,06/Oct/2023,01:23:33
Venda - casa em rua pública,5 ou mais,R$ 326.000,AABB,Serra Talhada,PE,250m²,Mário Olímpio Creci-PE 12.097,17/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vende-se-casa-na-varzea-em-serra-talhada-pe-1018882614,06/Oct/2023,01:23:33
Venda - casa em rua pública,3,R$ 183.000,Nossa Senhora da Penha,Serra Talhada,PE,147m²,Mário Olímpio Creci-PE 12.097,04/10/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vende-se-excelente-casa-em-serra-talhada-pe-1132444180,06/Oct/2023,01:23:33
Venda - casa em rua pública,3,R$ 360.000,Nossa Senhora da Penha,Serra Talhada,PE,,Miryan,21/09/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vende-se-casa-ou-troca-por-sitio-em-serra-talhada-pe-1236224520,06/Oct/2023,01:23:33
Venda - apartamento kitchenette,1,R$ 523.000,Nossa Senhora da Penha,Serra Talhada,PE,55m²,Mário Olímpio Creci-PE 12.097,12/09/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vende-se-predio-residencial-e-comercial-em-serra-talhada-pe-1129951321,06/Oct/2023,01:23:33
Venda - casa em rua pública,3,R$ 588.000,Nossa Senhora da Penha,Serra Talhada,PE,800m²,Mário Olímpio Creci-PE 12.097,28/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vende-se-casa-de-alto-padrao-em-flores-pe-1203044566,06/Oct/2023,01:23:33
Venda - apartamento padrão,3,R$ 400.000,Nossa Senhora da Penha,Serra Talhada,PE,150m²,Mário Olímpio Creci-PE 12.097,04/10/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vende-se-ap-bairro-gracas-recife-pe-1192271350,06/Oct/2023,01:23:33
Venda - casa em rua pública,3,R$ 300.000,AABB,Serra Talhada,PE,93m²,RE/MAX OCEANIA,08/05/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-para-venda-na-aabb-serra-talhada-pernambuco-1182747316,06/Oct/2023,01:23:33
Venda - casa em rua pública,3,R$ 150.000,Tancredo Neves,Serra Talhada,PE,80m²,Ronaldo vicente,04/08/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-1218486474,06/Oct/2023,01:23:33
