tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 80.000,,Chã Grande,PE,420m²,Mauricio,03/02/2023,https://pe.olx.com.br/grande-recife/terrenos/excelente-oportunidade--terreno-loteamento-nossa-senhora-guarda-lupe-cha-grande-1142348976,22/Mar/2023,13:29:45
Terrenos,,R$ 1.200.000,,Chã Grande,PE,14396m²,André Corretor de Imóveis,27/12/2022,https://pe.olx.com.br/grande-recife/terrenos/area-comercial-para-venda-em-cha-grande-cha-grande-1125995319,22/Mar/2023,13:29:45
Venda - casa em condominio fechado,2,R$ 750.000,,Chã Grande,PE,450m²,André Corretor de Imóveis,05/01/2023,https://pe.olx.com.br/grande-recife/imoveis/casa-em-condominio-mobiliada-para-venda-em-cha-grande-as-margens-pe-071-2-dormitorios-2-1129252185,22/Mar/2023,13:29:45
Terrenos,,R$ 160.000,,Chã Grande,PE,8772m²,André Corretor de Imóveis,27/12/2022,https://pe.olx.com.br/grande-recife/terrenos/terreno-rural-para-venda-em-cha-grande-lageiro-grande-1126236408,22/Mar/2023,13:29:45
Terrenos,,R$ 140.000,,Chã Grande,PE,720m²,Olga Corretora de Imóveis,03/03/2023,https://pe.olx.com.br/grande-recife/terrenos/terreno-i-condominio-fechado-i-venda-i-cha-grande-pe-1107721586,22/Mar/2023,13:29:45
Terrenos,,R$ 82.000,,Chã Grande,PE,600m²,Nogueira,07/02/2023,https://pe.olx.com.br/grande-recife/terrenos/campos-do-vale-1-lote-oportunidade-1143880733,22/Mar/2023,13:29:45
Terrenos,,R$ 28.000,,Chã Grande,PE,288m²,Alexandre,30/01/2023,https://pe.olx.com.br/grande-recife/terrenos/terreno-para-construir-1140339351,22/Mar/2023,13:29:45
Terrenos,,R$ 100.000,,Chã Grande,PE,450m²,Alfredo,10/02/2023,https://pe.olx.com.br/grande-recife/terrenos/lote-no-condominio-campos-do-valle-1-1145442679,22/Mar/2023,13:29:45
Terrenos,,R$ 17.000,,Catende,PE,72m²,Geovani Souza,07/03/2023,https://pe.olx.com.br/grande-recife/terrenos/terreno-em-catende-pernambuco-1156066068,22/Mar/2023,13:29:45
Terrenos,,null,,Chã Grande,PE,15m²,Anderson Antonio,26/02/2023,https://pe.olx.com.br/grande-recife/terrenos/terreno-construido-1152018541,22/Mar/2023,13:29:45
Venda - apartamento padrão,1,R$ 170.000,,Chã Grande,PE,34m²,André Corretor de Imóveis,27/12/2022,https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-em-cha-grande-malhadinha-1-dormitorio-1-suite-1-banheiro-1125993480,22/Mar/2023,13:29:45
Terrenos,,R$ 70.000,,Chã Grande,PE,375m²,Lilian,05/02/2023,https://pe.olx.com.br/grande-recife/terrenos/lote-em-condominio-de-luxo-em-cha-grande-coutry-life-375-m-1135591507,22/Mar/2023,13:29:45
Terrenos,,R$ 55.000,,Chã Grande,PE,324m²,Júnior Campos,24/02/2023,https://pe.olx.com.br/grande-recife/terrenos/lote-de-324m2-1151247385,22/Mar/2023,13:29:45
Venda - casa em condominio fechado,4,R$ 500.000,,Chã Grande,PE,230m²,André Corretor de Imóveis,27/12/2022,https://pe.olx.com.br/grande-recife/imoveis/casa-em-condominio-para-venda-em-cha-grande-as-margens-pe-071-4-dormitorios-4-suites-1-1126057635,22/Mar/2023,13:29:45
Venda - casa em rua pública,2,R$ 33.775,,Catende,PE,10m²,Pedro Corretor Especialista em Imóveis e Regularização de Imóveis,15/03/2023,https://pe.olx.com.br/grande-recife/imoveis/catende-casa-padrao-br---centro-1159828697,22/Mar/2023,13:29:46
Venda - casa em rua pública,5 ou mais,R$ 90,,Catende,PE,1500m²,RONALDO FIRMINO FERREIRA.,15/03/2023,https://pe.olx.com.br/grande-recife/imoveis/otima-casa-1159470038,22/Mar/2023,13:29:46
Terrenos,,null,,Chã Grande,PE,,Beto,08/02/2023,https://pe.olx.com.br/grande-recife/terrenos/terreno-1144629516,22/Mar/2023,13:29:46
Terrenos,,R$ 75.000,,Chã Grande,PE,450m²,André Corretor de Imóveis,13/09/2022,https://pe.olx.com.br/grande-recife/terrenos/lote-em-condominio-fechado-para-venda-em-cha-grande-tipim-casa-nova-1083439682,22/Mar/2023,13:29:46
Venda - casa em condominio fechado,4,R$ 830.000,,Chã Grande,PE,197m²,Fabio Luna,30/01/2023,https://pe.olx.com.br/grande-recife/imoveis/casa-a-venda-em-condominio-cha-grande-1012475047,22/Mar/2023,13:29:46
Terrenos,,R$ 78.000,,Chã Grande,PE,620m²,Fabio Luna,28/02/2023,https://pe.olx.com.br/grande-recife/terrenos/prive-monte-everest-953796964,22/Mar/2023,13:29:46
Terrenos,,R$ 28.000,,Catende,PE,,Lídia,11/03/2023,https://pe.olx.com.br/grande-recife/terrenos/terreno-no-loteamento-vista-da-serra-em-catende-1032672156,22/Mar/2023,13:29:46
Terrenos,,R$ 85.000,,Chã Grande,PE,450m²,Fabio Luna,28/02/2023,https://pe.olx.com.br/grande-recife/terrenos/loteamento-a-venda-no-condominio-campos-do-valle-1-953794374,22/Mar/2023,13:29:46
Terrenos,,R$ 250.000,,Chã Grande,PE,8988m²,RE/MAX PLUS IMOBILIARIA,01/03/2023,https://pe.olx.com.br/grande-recife/terrenos/terreno-a-venda-8987-m-por-r-250-000-00-cha-grande-cha-grande-pe-1139507009,22/Mar/2023,13:29:46
Terrenos,,R$ 75.000,,Chã Grande,PE,205m²,Paulo Miranda,07/07/2022,https://pe.olx.com.br/grande-recife/terrenos/lotes-com-205-ate-499m-em-cha-grande-lazer-seguranca-e-muita-area-verde-1055140573,22/Mar/2023,13:29:46
Terrenos,,R$ 75.000,,Chã Grande,PE,226m²,André Corretor de Imóveis,16/02/2023,https://pe.olx.com.br/grande-recife/terrenos/lote-para-venda-em-cha-grande-sitio-tipim-1148001666,22/Mar/2023,13:29:46
Terrenos,,R$ 70.000,,Chã Grande,PE,687m²,Everaldo.,13/02/2023,https://pe.olx.com.br/grande-recife/terrenos/lindo-lote-para-mini-chacara-ou-casa-de-campo-1146852640,22/Mar/2023,13:29:46
Terrenos,,R$ 55.000,,Chã Grande,PE,343m²,Fabio Luna,06/03/2023,https://pe.olx.com.br/grande-recife/terrenos/lote-em-condominio-fechado-cha-grande-1000281566,22/Mar/2023,13:29:46
Terrenos,,R$ 85.000,,Chã Grande,PE,450m²,André Corretor de Imóveis,01/07/2022,https://pe.olx.com.br/grande-recife/terrenos/lote-em-condominio-fechado-para-venda-em-cha-grande-casa-nova-1052262872,22/Mar/2023,13:29:46
Venda - apartamento padrão,1,R$ 140.000,,Chã Grande,PE,30m²,waldenia.lima,25/01/2023,https://pe.olx.com.br/grande-recife/imoveis/flat-em-gravata-r-140mil-1138230913,22/Mar/2023,13:29:46
Terrenos,,R$ 15.000,,Chã Grande,PE,200m²,Marco,14/02/2023,https://pe.olx.com.br/grande-recife/terrenos/terreno-a-venda-medindo-10m-x-20m-em-cha-grande-pe-1146900540,22/Mar/2023,13:29:46
Terrenos,,R$ 65.000,,Chã Grande,PE,450m²,Fabio Luna,28/02/2023,https://pe.olx.com.br/grande-recife/terrenos/lotes-em-condominio-fechado-cha-grande-953777999,22/Mar/2023,13:29:46
Terrenos,,R$ 128.000,,Chã Grande,PE,640m²,Paulo Miranda,03/08/2022,https://pe.olx.com.br/grande-recife/terrenos/lote-em-cha-grande-640m-beach-volley-quadra-de-tenis-playground-piscina-1066635018,22/Mar/2023,13:29:46
Venda - casa em rua pública,3,R$ 190.000,,Catende,PE,200m²,vpaula76,09/02/2023,https://pe.olx.com.br/grande-recife/imoveis/vendo-excelente-em-catende-1145192072,22/Mar/2023,13:29:46
Terrenos,,R$ 77.000,,Chã Grande,PE,200m²,Fabio Luna,28/02/2023,https://pe.olx.com.br/grande-recife/terrenos/loteamento-aberto-em-cha-grande-pe-990596512,22/Mar/2023,13:29:46
Terrenos,,R$ 1.700.000,,Chã Grande,PE,170000m²,nogueira.manoel,03/03/2023,https://pe.olx.com.br/grande-recife/terrenos/atencao-cha-grande-pe-vendo-17-hectares-de-terra-1154226285,22/Mar/2023,13:29:46
Venda - casa em condominio fechado,3,R$ 850.000,,Chã Grande,PE,160m²,André Corretor de Imóveis,27/12/2022,https://pe.olx.com.br/grande-recife/imoveis/casa-em-condominio-mobiliada-para-venda-em-cha-grande-campos-do-vale-3-dormitorios-3-su-1126246798,22/Mar/2023,13:29:46
Venda - casa em vila,1,R$ 37.000,,Catende,PE,,Lucas Melo,22/02/2023,https://pe.olx.com.br/grande-recife/imoveis/casa-pra-vender-em-catende-1150037182,22/Mar/2023,13:29:46
Venda - casa em condominio fechado,3,R$ 700.000,,Chã Grande,PE,200m²,Djalma B. O. Filho,20/04/2022,https://pe.olx.com.br/grande-recife/imoveis/casa-em-condominio-em-cha-grande-pe-1022496640,22/Mar/2023,13:29:46
Venda - casa em rua pública,3,R$ 180.000,,Catende,PE,,Isabelle Cristine,25/01/2023,https://pe.olx.com.br/grande-recife/imoveis/casa-no-centro-da-cidade-de-catende-1138432389,22/Mar/2023,13:29:46
Venda - casa em condominio fechado,4,R$ 700.000,,Chã Grande,PE,450m²,André Corretor de Imóveis,27/12/2022,https://pe.olx.com.br/grande-recife/imoveis/casa-em-condominio-mobiliada-para-venda-em-cha-grande-as-margens-pe-071-4-dormitorios-2-1125994787,22/Mar/2023,13:29:46
Terrenos,,R$ 35.000,,Chã Grande,PE,200m²,Felipe Monteiro,01/03/2023,https://pe.olx.com.br/grande-recife/terrenos/repasse-de-terreno-em-cha-grande-pe-1153359730,22/Mar/2023,13:29:46
Venda - casa em rua pública,2,R$ 65.000,,Catende,PE,,alicecarolina09,01/02/2023,https://pe.olx.com.br/grande-recife/imoveis/vendo-casa-em-catende-pe-1141419635,22/Mar/2023,13:29:46
