tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 25.000,,Lajedo,PE,190m²,RE/MAX SHOW,17/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-a-venda-190-m-por-r-25-000-00-loteamento-sao-joao-lajedo-pe-1019273806,22/Mar/2023,12:45:43
Terrenos,,R$ 10.000,,Lajedo,PE,108m²,RE/MAX SHOW,18/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-a-venda-108-m-por-r-10-000-00-lajedo-lajedo-pe-1040081809,22/Mar/2023,12:45:43
Terrenos,,R$ 25.000,,Lajedo,PE,,IVAN,29/01/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/2-terrenos-a-venda-em-lajedo-1140113137,22/Mar/2023,12:45:43
Terrenos,,R$ 17.000,,Lajedo,PE,964m²,RE/MAX SHOW,19/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/lotes-de-chacara-no-cantinho-1147842652,22/Mar/2023,12:45:43
Terrenos,,R$ 30.000,,Lajedo,PE,188m²,RE/MAX SHOW,18/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/excelente-oportunidade-no-loteamento-vilela-1153376276,22/Mar/2023,12:45:43
Terrenos,,R$ 12.500,,Lajedo,PE,175m²,RE/MAX SHOW,18/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-com-escritura-1148871833,22/Mar/2023,12:45:43
Terrenos,,R$ 65.000,,Lajedo,PE,160m²,RE/MAX SHOW,15/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vendo-terreno-proximo-a-major-capitu-1111180189,22/Mar/2023,12:45:43
Terrenos,,R$ 16.500,,Lajedo,PE,1001m²,RE/MAX SHOW,20/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vendo-lote-para-chacara-em-lajedo-1107319282,22/Mar/2023,12:45:43
Terrenos,,R$ 25.000,,Lajedo,PE,144m²,RE/MAX SHOW,22/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-bem-localizado-1159739837,22/Mar/2023,12:45:43
Terrenos,,R$ 10.000,,Lajedo,PE,,Tarci,11/02/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/vendo-2-terrenos-1146009027,22/Mar/2023,12:45:43
Terrenos,,R$ 10.000,,Lajedo,PE,,moraes,23/02/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-1150693178,22/Mar/2023,12:45:43
Venda - casa em rua pública,3,R$ 68.000,,Lajedo,PE,105m²,RE/MAX SHOW,17/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-residencial-pronto-para-morar-1148879044,22/Mar/2023,12:45:43
Terrenos,,R$ 45.000,,Lajedo,PE,60400m²,RE/MAX SHOW,15/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terra-com-6-hectares-entre-ibirajuba-e-lajedo-1148879374,22/Mar/2023,12:45:43
Venda - casa em rua pública,2,R$ 168.000,,Lajedo,PE,84m²,RE/MAX SHOW,20/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/procurando-uma-casa-central-aqui-esta-sua-oportunidade-1159739913,22/Mar/2023,12:45:43
Terrenos,,R$ 18.000,,Lajedo,PE,108m²,RE/MAX SHOW,19/03/2023,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/terrenos/terreno-no-loteamento-vilela-1153123553,22/Mar/2023,12:45:43
