tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,4,R$ 13.250.500,,São Francisco do Piauí,PI,343m²,Crédito Real | Smart Brokers,21/07/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-a-venda-343-metros-quadrados-5-vagas-de-garagem-vila-olimpia-sao-paulo-1213226322,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 14.500.000,,São Francisco do Piauí,PI,343m²,Oito Imobiliária Ltda,05/05/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-a-venda-343-m-por-r-14-500-000-00-vila-olimpia-sao-paulo-sp-1181261944,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 11.790.000,,São Francisco do Piauí,PI,343m²,Infinity Imob,01/09/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-com-4-dormitorios-a-venda-343-m-por-r-11-790-000-00-vila-olimpia-sao-pa-1229108374,06/Oct/2023,04:57:34
Venda - apartamento padrão,3,R$ 15.200.000,,São Francisco do Piauí,PI,275m²,L4S,18/09/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-para-venda-em-vila-olimpia-de-275-00m-com-3-quartos-3-suites-e-4-garagens-1234867317,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 13.250.000,,São Francisco do Piauí,PI,343m²,Executiva Gold Imóveis,20/09/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-com-4-suites-e-4-vagas-a-venda-343-m-por-r-13-250-000-vila-olimpia-sao-1235717540,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 13.250.000,,São Francisco do Piauí,PI,343m²,Gdx Consultoria Imobiliaria,13/04/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-one-sixty-1172297037,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 13.250.000,,São Francisco do Piauí,PI,343m²,Crédito Real | Smart Brokers,21/07/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-a-venda-343-metros-quadrados-5-vagas-de-garagem-vila-olimpia-sao-paulo-1213186805,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 17.500.000,,São Francisco do Piauí,PI,334m²,L4S,12/09/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-para-venda-em-vila-olimpia-de-334-00m-com-4-quartos-4-suites-e-6-garagens-1232769864,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 12.450.000,,São Francisco do Piauí,PI,343m²,Rofe Imóveis,06/04/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-de-alto-padrao-de-343m2-4-suites-6-vagas-de-garagem-lazer-completo-vila-ol-1169333752,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 13.100.000,,São Francisco do Piauí,PI,343m²,Fifty Negócios Imobiliários,12/04/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-com-4-dormitorios-a-venda-343-m-por-r-13-100-000-00-vila-olimpia-sao-pa-1090974931,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 14.500.000,,São Francisco do Piauí,PI,343m²,Oito Imobiliária Ltda,28/04/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-a-venda-343-m-por-r-14-500-000-00-vila-olimpia-sao-paulo-sp-1178395424,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 17.500.000,,São Francisco do Piauí,PI,343m²,Pacta Sunt - Negócios Imobiliários,07/07/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-com-4-suites-sala-3-ambientes-espaco-gourmet-6-vagas-a-venda-343-m-por-r-1207286847,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 14.500.000,,São Francisco do Piauí,PI,343m²,Oito Imobiliária Ltda,27/04/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-a-venda-343-m-por-r-14-500-000-00-vila-olimpia-sao-paulo-sp-1177958369,06/Oct/2023,04:57:34
Venda - apartamento padrão,3,R$ 9.286.890,,São Francisco do Piauí,PI,275m²,Crédito Real | Personale,08/07/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-com-3-dormitorios-a-venda-275-m-vila-olimpia-sao-paulo-sp-1207702660,06/Oct/2023,04:57:34
Venda - apartamento padrão,3,R$ 13.300.000,,São Francisco do Piauí,PI,343m²,Up Real Estate,02/04/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-com-3-dormitorios-a-venda-343-m-por-r-13-300-000-00-vila-olimpia-sao-pa-1005647495,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 13.300.000,,São Francisco do Piauí,PI,276m²,NLW Imóveis,30/07/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-com-4-dormitorios-a-venda-275-m-por-r-13-300-000-00-vila-olimpia-sao-pa-1216428550,06/Oct/2023,04:57:34
Venda - apartamento padrão,2,R$ 16.200.000,,São Francisco do Piauí,PI,280m²,4HOUSE NEGOCIOS IMOBILIARIOS LTDA - ME,27/04/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/one-sixty-cyrela-apartamento-de-luxo-a-venda-projeto-interiores-carlos-rossi-e-karina-s-1177973308,06/Oct/2023,04:57:34
Venda - apartamento padrão,3,R$ 16.200.000,,São Francisco do Piauí,PI,275m²,HK IMOVEIS,17/04/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-com-3-dormitorios-a-venda-275-m-por-r-16-200-000-00-vila-olimpia-sao-pa-1014752340,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 14.500.000,,São Francisco do Piauí,PI,343m²,Oito Imobiliária Ltda,27/04/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-a-venda-343-m-por-r-14-500-000-00-vila-olimpia-sao-paulo-sp-1177961776,06/Oct/2023,04:57:34
Venda - apartamento padrão,4,R$ 14.500.000,,São Francisco do Piauí,PI,343m²,Oito Imobiliária Ltda,27/04/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-a-venda-343-m-por-r-14-500-000-00-vila-olimpia-sao-paulo-sp-1177971046,06/Oct/2023,04:57:35
Venda - apartamento padrão,3,R$ 11.446.888,,São Francisco do Piauí,PI,334m²,Fragata Private Brokers,15/09/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-residencial-a-venda-vila-olimpia-sao-paulo-1234277936,06/Oct/2023,04:57:35
Venda - apartamento padrão,4,R$ 16.900.000,,São Francisco do Piauí,PI,278m²,L4S,08/09/2023,https://pi.olx.com.br/regiao-de-picos-e-floriano/imoveis/apartamento-para-venda-em-vila-olimpia-de-278-00m-com-4-quartos-4-suites-e-4-garagens-1231449428,06/Oct/2023,04:57:35
