tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,null,Planalto de Monteserra The,Parnaíba,PI,475m²,Antonio Araujo,14/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-em-parnaiba-pi-1159096199,22/Mar/2023,15:23:27
Terrenos,,R$ 140.000,João XXIII,Parnaíba,PI,250m²,CRISTINA LOPES IMOBILIÁRIA,20/09/2022,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/vendo-lote-no-conviver-parnaiba-residence-1086793333,22/Mar/2023,15:23:28
Terrenos,,R$ 400,Alto Santa Maria,Parnaíba,PI,443m²,EC EMPREENDIMENTOS IMOBILIÁRIOS,19/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/aluquel-de-terreno-rua-santa-lucia-area-443-m-996708938,22/Mar/2023,15:23:28
Terrenos,,R$ 1.600.000,João XXIII,Parnaíba,PI,2400m²,Lauro,01/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-de-esquina-de-30-x-80-na-br-343-1153004794,22/Mar/2023,15:23:28
Terrenos,,R$ 290,Piauí,Parnaíba,PI,880m²,Evandro diamantino Martins,29/01/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-beira-mar-880m-1140052662,22/Mar/2023,15:23:28
Terrenos,,R$ 150.000,João XXIII,Parnaíba,PI,250m²,Cotistas do Brasil Web,31/12/2022,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/lote-terreno-para-venda-possui-250-metros-quadrados-em-joao-xxiii-parnaiba-pi-1127483311,22/Mar/2023,15:23:28
Terrenos,,R$ 97.785,João XXIII,Parnaíba,PI,200m²,Conviver Urbanismo,11/10/2022,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/conviver-do-litoral-residence-lotes-de-200m-joao-xxiii-parnaiba-pi-1095186420,22/Mar/2023,15:23:28
Terrenos,,R$ 122.000,São Judas Tadeu,Parnaíba,PI,362m²,andre.katista,25/01/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/lote-jardim-atlantico-parnaiba-pi-362m-1138241750,22/Mar/2023,15:23:28
Terrenos,,null,Boa Esperança,Parnaíba,PI,468m²,Consultora consultora,04/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-com-casa-para-demolir-excelente-pra-quem-quer-fazer-um-novo-empreendimento-1142884634,22/Mar/2023,15:23:28
Terrenos,,R$ 8.000,Planalto de Monteserra The,Parnaíba,PI,,Isa Andrade,07/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-1143969435,22/Mar/2023,15:23:28
Terrenos,,R$ 68.000,Sabiazal,Parnaíba,PI,250m²,juniossillva,24/01/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-1137958566,22/Mar/2023,15:23:28
Terrenos,,R$ 40.000,Planalto de Monteserra The,Parnaíba,PI,300m²,Rildo Melo de Paula,05/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-de-esquina-10x30-1143253428,22/Mar/2023,15:23:28
Terrenos,,R$ 15.000,Floriópolis,Parnaíba,PI,20m²,Felipe S.,31/01/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/agil-oferta-imperdivel-1140896586,22/Mar/2023,15:23:28
Terrenos,,R$ 33.150,João XXIII,Parnaíba,PI,162m²,Mae Rainha Urbanismo - LTDA,13/12/2021,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/loteamento-moradas-da-boa-vizinhanca-parnaiba-162-a-267m-sabiazal-pi-968687907,22/Mar/2023,15:23:28
Terrenos,,R$ 210.000,Reis Veloso,Parnaíba,PI,338m²,IMOBILIARIA R3R,28/09/2022,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/lote-a-venda-reis-veloso-parnaiba-pi-1090001783,22/Mar/2023,15:23:28
Terrenos,,R$ 300.000,João XXIII,Parnaíba,PI,515m²,brunovlima,20/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/vendo-2-lotes-conjugados-no-parnaiba-residence-antigo-conviver-parnaiba-1143142757,22/Mar/2023,15:23:28
Terrenos,,R$ 90.000,Piauí,Parnaíba,PI,225m²,IMOBILIARIA R3R,25/09/2022,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/lote-a-venda-piaui-parnaiba-pi-1088729931,22/Mar/2023,15:23:28
Terrenos,,R$ 220.000,Reis Veloso,Parnaíba,PI,,Fire,24/01/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/parnaiba-residence-lote-de-esquina-avenida-principal-1137867853,22/Mar/2023,15:23:28
Terrenos,,R$ 200.000,João XXIII,Parnaíba,PI,,Gustavo Santos,29/01/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/4-lotes-no-condominio-conviver-parnaiba-1140125400,22/Mar/2023,15:23:28
Terrenos,,R$ 168.000,Sabiazal,Parnaíba,PI,1242m²,J.Araujo,09/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-no-morada-dos-ventos-em-parnaiba-pi-1-242-m2-valor-r-168-000-1156686415,22/Mar/2023,15:23:28
Terrenos,,R$ 32.725,Dirceu Arcoverde,Parnaíba,PI,187m²,Mae Rainha Urbanismo - LTDA,13/12/2021,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/loteamento-morada-dos-ventos-parnaiba-187-a-253m-sabiazal-pi-968687916,22/Mar/2023,15:23:28
Terrenos,,R$ 140.000,Campos,Parnaíba,PI,450m²,Nina,21/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-em-parnaiba-proximo-supermercado-carvalho-1155241165,22/Mar/2023,15:23:28
Outros,,null,Dirceu Arcoverde,Parnaíba,PI,4000m²,Cosmo,02/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/vendo-terreno-de-40-m-x-100-m-hotel-1140314970,22/Mar/2023,15:23:28
Terrenos,,R$ 47.000,Sabiazal,Parnaíba,PI,240m²,Eduardo Costa,14/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-loteamento-morada-dos-ventos-totalmente-quitado-1159275499,22/Mar/2023,15:23:28
Terrenos,,R$ 220.000,João XXIII,Parnaíba,PI,505m²,Júnior,05/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/vendo-2-lotes-no-conviver-litoral-em-parnaiba-1154959796,22/Mar/2023,15:23:28
Terrenos,,R$ 20.000,São Vicente de Paula,Parnaíba,PI,196m²,André Ricardo Lima Miranda,21/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-parnaiba-piaui-1161955034,22/Mar/2023,15:23:28
Terrenos,,R$ 100.000,Nossa Senhora do Carmo,Parnaíba,PI,744m²,EC EMPREENDIMENTOS IMOBILIÁRIOS,19/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/venda-ou-aluguel-de-terreno-rua-sao-jose-area-744-996700620,22/Mar/2023,15:23:28
Terrenos,,R$ 115.000,Dirceu Arcoverde,Parnaíba,PI,450m²,Alessandro,11/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/imovel-com-otima-localizacao-1146051479,22/Mar/2023,15:23:28
Terrenos,,R$ 22.000,João XXIII,Parnaíba,PI,200m²,Juliany Albuquerque,01/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/vendo-agio-no-residencial-jardim-atlantico-22-000-1153248109,22/Mar/2023,15:23:28
Terrenos,,null,Centro,Parnaíba,PI,,Lucas E.,10/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-12-x-24-todo-murado-em-parnaiba-1157310254,22/Mar/2023,15:23:28
Terrenos,,R$ 47.000,Sabiazal,Parnaíba,PI,240m²,E MATOS & CIA LTDA,12/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/lote-a-venda-sabiazal-parnaiba-pi-1075636046,22/Mar/2023,15:23:28
Terrenos,,R$ 500.000,Reis Veloso,Parnaíba,PI,1417m²,GV Imóveis,03/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/v-a-terreno-a-venda-reis-veloso-parnaiba-pi-939818654,22/Mar/2023,15:23:28
Terrenos,,R$ 22.000,João XXIII,Parnaíba,PI,,Marcostavares1989the,11/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/lote-no-litoral-1157986883,22/Mar/2023,15:23:28
Terrenos,,R$ 120.000,João XXIII,Parnaíba,PI,240m²,IVONALDO CORRETOR,22/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-no-litoral-residence-em-parnaiba-pi-1119971550,22/Mar/2023,15:23:28
Terrenos,,R$ 30.000,Reis Veloso,Parnaíba,PI,212m²,diaspad,18/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/agio-de-lote-no-atlantico-i-parnaiba-passo-ou-troco-em-veiculo-1161134295,22/Mar/2023,15:23:28
Terrenos,,R$ 800.000,Piauí,Parnaíba,PI,1989m²,Evandro diamantino Martins,18/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-vista-mar-na-barrinha-1160951430,22/Mar/2023,15:23:28
Terrenos,,R$ 90.000,São Francisco da Guarita,Parnaíba,PI,300m²,José Pires,14/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-10x30-1159250404,22/Mar/2023,15:23:28
Terrenos,,R$ 100.000,Rodoviária,Parnaíba,PI,400m²,DAVID MOURA,14/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-excelente-1159088169,22/Mar/2023,15:23:28
Terrenos,,null,Piauí,Parnaíba,PI,,santilia,13/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/vendo-terreno-1158514466,22/Mar/2023,15:23:28
Terrenos,,R$ 19.000,São Vicente de Paula,Parnaíba,PI,,Rayssa,10/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-em-parnaiba-1157423623,22/Mar/2023,15:23:28
Terrenos,,R$ 0,Reis Veloso,Parnaíba,PI,200m²,Marques,08/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/vendo-agil-de-terreno-1156164450,22/Mar/2023,15:23:28
Terrenos,,R$ 140.000,João XXIII,Parnaíba,PI,250m²,Thiago Garcia Imobiliária,06/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-a-venda-250-m-por-r-140-000-joao-xxiii-parnaiba-pi-1155163339,22/Mar/2023,15:23:28
Terrenos,,null,Centro,Parnaíba,PI,,Reneebr,04/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/jardim-atlantico-parnaiba-pi-1154582203,22/Mar/2023,15:23:28
Terrenos,,R$ 94.000,João XXIII,Parnaíba,PI,225m²,Thiago,01/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/vendo-lote-murado-no-conviver-do-litoral-r-94-000-1153406589,22/Mar/2023,15:23:28
Terrenos,,R$ 25.000,Floriópolis,Parnaíba,PI,400m²,Luis Fernando,28/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/vendo-2-terrenos-no-conjunto-jardim-atlantico-2-1147514642,22/Mar/2023,15:23:28
Terrenos,,R$ 280.000,São Francisco da Guarita,Parnaíba,PI,,Brenda Weika,25/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/vendo-terreno-bem-localizado-1151521281,22/Mar/2023,15:23:28
Terrenos,,R$ 85.000,Planalto de Monteserra The,Parnaíba,PI,450m²,Carlos,24/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-em-parnaiba-pi-1151038305,22/Mar/2023,15:23:28
Terrenos,,R$ 95.000,João XXIII,Parnaíba,PI,265m²,Thiago Garcia Imobiliária,23/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-a-venda-265-m-por-r-95-000-00-joao-xxiii-parnaiba-pi-1090904661,22/Mar/2023,15:23:28
Terrenos,,null,,Parnaíba,PI,175m²,Paulo Arthur,23/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/lote-em-repasse-1150456439,22/Mar/2023,15:23:28
Terrenos,,R$ 140.000,João XXIII,Parnaíba,PI,250m²,Cotistas do Brasil Web,22/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/lote-em-condominio-fechado-parnaiba-residence-1150017099,22/Mar/2023,15:23:28
Terrenos,,R$ 90.000,João XXIII,Parnaíba,PI,200m²,Bruno,21/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/conviver-do-litoral-loteamento-1145212002,22/Mar/2023,15:23:28
Terrenos,,R$ 100.000,João XXIII,Parnaíba,PI,,Gab,21/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-1149589807,22/Mar/2023,15:23:28
Terrenos,,R$ 160.000,Reis Veloso,Parnaíba,PI,600m²,Pedro Alencar,11/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-em-parnaiba-1146058134,22/Mar/2023,15:23:28
Venda - casa em rua pública,3,R$ 175.000,,Parnaíba,PI,900m²,Avelino,23/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/chale-na-praia-1150717051,22/Mar/2023,15:23:28
Venda - casa em rua pública,4,R$ 95.000,João XXIII,Parnaíba,PI,440m²,liligomes6891,18/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/pra-vender-logo-linda-casa-no-litoral-1149014805,22/Mar/2023,15:23:28
Terrenos,,R$ 1.080.000,São Judas Tadeu,Parnaíba,PI,3200m²,lesanujo,14/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-3-200-m-1146942010,22/Mar/2023,15:23:28
Terrenos,,R$ 139.900,João XXIII,Parnaíba,PI,250m²,Windson Nascimento,08/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-no-condominio-conviver-parnaiba-1144421626,22/Mar/2023,15:23:28
Terrenos,,R$ 75.000,São Judas Tadeu,Parnaíba,PI,480m²,charaujo2008,05/03/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/vende-se-terreno-15-x-32-m-proximo-do-aeroporto-em-parnaiba-pi-1155011486,22/Mar/2023,15:23:28
Terrenos,,R$ 40.000,João XXIII,Parnaíba,PI,450m²,Leandro Marinho,13/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/lote-420-metros-1146615791,22/Mar/2023,15:23:29
Terrenos,,R$ 7.000.000,Piauí,Parnaíba,PI,100000m²,Gustavo Santos,09/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/terreno-no-prolongamento-da-av-sao-sebastiao-asfalto-na-frente-1139718119,22/Mar/2023,15:23:29
Venda - casa em rua pública,4,R$ 280,Dirceu Arcoverde,Parnaíba,PI,,Alan P.,22/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/titulo-casa-toda-documetada-1150404340,22/Mar/2023,15:23:29
Venda - casa em rua pública,3,R$ 350.000,São Judas Tadeu,Parnaíba,PI,768m²,HR IMÓVEIS,20/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/casa-para-venda-em-parnaiba-sao-judas-tadeu-3-dormitorios-1-banheiro-4-vagas-967314644,22/Mar/2023,15:23:29
Terrenos,,R$ 12.500,Dirceu Arcoverde,Parnaíba,PI,525m²,Camilo Dani,27/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/terrenos/12-500-1152402049,22/Mar/2023,15:23:29
Venda - casa em vila,1,R$ 190.000,,Parnaíba,PI,30m²,Anne,22/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/5-chales-1150248568,22/Mar/2023,15:23:29
Venda - casa em vila,3,R$ 75.999,Bebedouro,Parnaíba,PI,82m²,Rafael Oliveira,16/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/vendo-ou-troco-por-carro-casa-1148145875,22/Mar/2023,15:23:29
Venda - casa em condominio fechado,3,R$ 600.000,João XXIII,Parnaíba,PI,120m²,Edvando Jr,13/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/casa-parnaiba-residence-1146445040,22/Mar/2023,15:23:29
Venda - casa em condominio fechado,4,R$ 990.000,Centro,Parnaíba,PI,197m²,AltoPadrão Imobiliária,08/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/casa-no-condominio-conviver-residence-1144301568,22/Mar/2023,15:23:29
Venda - casa em rua pública,2,R$ 160.000,Piauí,Parnaíba,PI,11200m²,Stefanny Oliveira,07/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/casa-para-venda-1143912948,22/Mar/2023,15:23:29
Venda - casa em rua pública,3,R$ 55.000,Floriópolis,Parnaíba,PI,0m²,Conrado Teixeira,01/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/vendo-esta-casa-localizada-no-lot-jardim-atlantico-ii-1141573677,22/Mar/2023,15:23:29
Venda - casa em rua pública,3,R$ 380.000,Planalto de Monteserra The,Parnaíba,PI,129m²,AltoPadrão Imobiliária,11/01/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/casa-no-planalto-1131831086,22/Mar/2023,15:23:29
Venda - casa em rua pública,2,R$ 170.000,João XXIII,Parnaíba,PI,83m²,AltoPadrão Imobiliária,11/01/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/casa-em-parnaiba-1131830318,22/Mar/2023,15:23:29
Venda - casa em condominio fechado,4,R$ 800.000,João XXIII,Parnaíba,PI,266m²,IMOBILIARIA R3R,25/09/2022,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/casa-condominio-a-venda-4-quartos-3-suites-joao-xxiii-parnaiba-pi-1088729934,22/Mar/2023,15:23:29
Venda - casa em rua pública,3,R$ 150.000,Frei Higino,Parnaíba,PI,225m²,Sebastião,23/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/casa-na-rua-benedito-jonas-correia-1150883582,22/Mar/2023,15:23:29
Venda - casa em rua pública,3,R$ 299.691,Piauí,Parnaíba,PI,300m²,Cotistas do Brasil Web,17/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/casa-em-parnaiba-no-bairro-catanduvas-1148310717,22/Mar/2023,15:23:29
Venda - casa em rua pública,3,R$ 290.000,Frei Higino,Parnaíba,PI,180m²,J Castro,15/02/2023,https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/imoveis/casa-nova-com-3-quartos-1101924453,22/Mar/2023,15:23:29
