tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 250.000,Zona 03,Cianorte,PR,610m²,Tatiane,10/09/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-1232053506,05/Oct/2023,17:08:29
Terrenos,,R$ 100.000,Jardim Mafra I,Cianorte,PR,384m²,LUCIANA SACCON IMOVEIS LTDA,02/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-no-bairro-jardim-mafra-i-cianorte-pr-1193123626,05/Oct/2023,17:08:29
Terrenos,,R$ 108.000,Residencial Atlântico III,Cianorte,PR,360m²,welington,26/09/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-360m2-atlantico-vl-833111252,05/Oct/2023,17:08:29
Terrenos,,R$ 300.000,,Cianorte,PR,657m²,Mayckon Brita,19/09/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/vende-se-terreno-em-cianorte-1235259968,05/Oct/2023,17:08:29
Terrenos,,R$ 373.000,Jardim Asa Branca I,Cianorte,PR,3327m²,Missão Imóveis,22/09/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/cianorte-terreno-padrao---jardim-asa-branca-i-1236659535,05/Oct/2023,17:08:29
Terrenos,,R$ 90.000,Jardim Eldorado,Cianorte,PR,,Joao F.,21/09/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/tenho-no-lugar-top-1236080552,05/Oct/2023,17:08:29
Terrenos,,R$ 270.000,Conjunto Portal das Américas,Cianorte,PR,390m²,Imoblist,13/09/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-conjunto-portal-das-americas-cianorte-1233128477,05/Oct/2023,17:08:29
Terrenos,,R$ 0,Residencial Parque das Nações,Cianorte,PR,360m²,Jacqueline,07/08/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-parque-das-nacoes-otima-localizacao-1219449203,05/Oct/2023,17:08:29
Terrenos,,R$ 95.000,Residencial Nova Itália,Cianorte,PR,362m²,Winner Brokers,07/07/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-362-m-por-r-95-000-00-residencial-nova-italia-cianorte-pr-1207393985,05/Oct/2023,17:08:29
Terrenos,,R$ 1.800.000,,Cianorte,PR,36300m²,Winner Brokers,05/07/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/area-a-venda-36300-m-por-r-1-800-000-00-zona-2-cianorte-pr-1206538545,05/Oct/2023,17:08:29
Terrenos,,R$ 140.000,,Cianorte,PR,371m²,Alisson de Pierri,18/09/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/vendo-terreno-condominio-fechado-cinturao-verde-1235104160,05/Oct/2023,17:08:29
Terrenos,,null,,Cianorte,PR,1200m²,Patrícia T.,20/08/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/lotes-de-1200m-1224271662,05/Oct/2023,17:08:29
Terrenos,,R$ 70.000,Residencial Parque das Nações,Cianorte,PR,360m²,Winner Brokers,06/07/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-360-m-por-r-70-000-00-residencial-parque-das-nacoes-cianorte-pr-1206880374,05/Oct/2023,17:08:29
Terrenos,,R$ 380.000,Zona 02,Cianorte,PR,612m²,Winner Brokers,05/07/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-612-m-por-r-380-000-00-zona-02-cianorte-pr-1206540047,05/Oct/2023,17:08:29
Terrenos,,R$ 562.417,Zona 11B,Cianorte,PR,10m²,Ricardo Imóveis Caixa,27/08/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/cianorte-comercial-1226914485,05/Oct/2023,17:08:29
Terrenos,,R$ 110.000,Residencial das Araucárias,Cianorte,PR,360m²,Lusinete,03/09/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-jardim-araucaria-cianorte-1229679549,05/Oct/2023,17:08:29
