tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 650.000,Campo Comprido,Curitiba,PR,194m²,lelotortelli,01/10/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/excelente-terreno-194-42-m2-condominio-reserva-wies-r-630-000-1239345511,05/Oct/2023,20:22:01
Terrenos,,R$ 1.248.000,Campo Comprido,Curitiba,PR,376m²,Casaquattro,30/09/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-376-m-por-r-1-248-000-00-campo-comprido-curitiba-pr-1238970966,05/Oct/2023,20:22:01
Terrenos,,R$ 1.600.000,Campo Comprido,Curitiba,PR,,CIBRACO,05/10/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-no-campo-comprido-com-1055-00m-1240612886,05/Oct/2023,20:22:01
Terrenos,,R$ 1.710.000,Campo Comprido,Curitiba,PR,3m²,CIBRACO,05/10/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-no-campo-comprido-de-3461-22-m-1240615835,05/Oct/2023,20:22:01
Terrenos,,R$ 1.400.000,Campo Comprido,Curitiba,PR,849m²,L4S,24/09/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-venda-em-campo-comprido-de-849-00m-1237045735,05/Oct/2023,20:22:01
Terrenos,,R$ 290.000,Campo Comprido,Curitiba,PR,134m²,L4S,23/09/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-venda-em-campo-comprido-de-134-00m-com-2-garagens-1236751148,05/Oct/2023,20:22:01
Terrenos,,R$ 750.000,Campo Comprido,Curitiba,PR,,CIBRACO,05/10/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-no-campo-comprido-com-459-00m-1240616424,05/Oct/2023,20:22:01
Terrenos,,R$ 750.000,Campo Comprido,Curitiba,PR,784m²,L4S,28/08/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-venda-em-campo-comprido-de-784-00m-1227212010,05/Oct/2023,20:22:01
Terrenos,,R$ 1.248.000,Campo Comprido,Curitiba,PR,389m²,FAVRETTO RESIDENCIAL,14/09/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-389-m-por-r-1-248-000-00-campo-comprido-curitiba-pr-1233766586,05/Oct/2023,20:22:01
Terrenos,,R$ 259.788,Campo Comprido,Curitiba,PR,94m²,CONFIANCCE IMÓVEIS,29/08/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-condominio-campo-comprido-1227603466,05/Oct/2023,20:22:01
Terrenos,,R$ 259.788,Campo Comprido,Curitiba,PR,120m²,CEDG IMÓVEIS,14/09/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-e-condominio-fechado-campo-comprido-120m-1233854626,05/Oct/2023,20:22:01
Terrenos,,R$ 1.400.000,Campo Comprido,Curitiba,PR,849m²,L4S,06/09/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-venda-em-campo-comprido-de-849-00m-1230734346,05/Oct/2023,20:22:01
Terrenos,,R$ 1.248.000,Campo Comprido,Curitiba,PR,389m²,JBA Imobiliária,22/09/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/curitiba-terreno-padrao-campo-comprido-1236381014,05/Oct/2023,20:22:01
Terrenos,,R$ 327.000,Campo Comprido,Curitiba,PR,420m²,L4S,22/09/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-venda-em-campo-comprido-de-420-00m-com-4-garagens-1236550817,05/Oct/2023,20:22:01
Terrenos,,R$ 1.049.060,Campo Comprido,Curitiba,PR,625m²,USUÁRIO NEWCORE,23/09/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lote-em-travessa-bage-campo-comprido-curitiba-pr-1236796234,05/Oct/2023,20:22:01
Terrenos,,R$ 27.000.000,Campo Comprido,Curitiba,PR,265m²,CIBRACO,05/10/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/area-no-campo-comprido-de-51-831-00m-1240616450,05/Oct/2023,20:22:01
Terrenos,,R$ 520.000,Campo Comprido,Curitiba,PR,494m²,L4S,29/09/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-venda-em-campo-comprido-de-494-00m-1238592399,05/Oct/2023,20:22:01
Terrenos,,R$ 259.788,Campo Comprido,Curitiba,PR,117m²,ALVES & VARGAS,29/09/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-condominio-a-venda-campo-comprido-1238623373,05/Oct/2023,20:22:02
Terrenos,,R$ 480.000,Campo Comprido,Curitiba,PR,184m²,César Augusto Scuissiatto,21/09/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-condominio-fechado-a-venda-no-campo-comprido-1236244192,05/Oct/2023,20:22:02
Terrenos,,R$ 2.350.000,Campo Comprido,Curitiba,PR,,CIBRACO,05/10/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-no-campo-comprido-com-1514-00m-1240612902,05/Oct/2023,20:22:02
Terrenos,,R$ 1.500.000,Campo Comprido,Curitiba,PR,,AXIS 21 IMÓVEIS,31/08/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-condominio-campo-comprido-axis-21-1228684911,05/Oct/2023,20:22:02
Terrenos,,R$ 655.000,Campo Comprido,Curitiba,PR,200m²,Paula,27/08/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-condominio-1227128739,05/Oct/2023,20:22:02
