tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 259.000,Terras de Santana II,Londrina,PR,200m²,Rubens,10/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-moradas-do-vale-condominio-fechado-1212219594,25/Sep/2023,20:08:26
Terrenos,,R$ 490.000,Esperança,Londrina,PR,810m²,Rodrigo,23/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-cond-fechado-estancia-santa-paula-810-m2-1077480136,25/Sep/2023,20:08:48
Terrenos,,R$ 170.000,Parque Residencial Joaquim Toledo Piza,Londrina,PR,300m²,Salete Matiko Cardoso Okada Castro,23/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-para-venda-em-londrina-parque-residencial-joaquim-toledo-piza-1236873120,25/Sep/2023,20:08:48
Terrenos,,R$ 79.000,Alpes,Londrina,PR,304m²,Lucas,23/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-jd-alpes-304m2-parcelado-1219932139,25/Sep/2023,20:08:48
Terrenos,,R$ 2.250.000,Esperança,Londrina,PR,,Abilio Medeiros Imóveis,29/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-condominio-acacia-imperial-1227759556,25/Sep/2023,20:08:48
Terrenos,,R$ 840.000,Esperança,Londrina,PR,1620m²,Rodrigo,23/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-1-620m-esquina-estancia-santa-paula-1197130813,25/Sep/2023,20:08:48
Terrenos,,R$ 145.000,Jardim Maria Celina,Londrina,PR,270m²,Ghome,23/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-270-m-por-r-145-000-jardim-maria-celina-londrina-pr-1236919893,25/Sep/2023,20:08:48
Terrenos,,R$ 115.000,Centro,Londrina,PR,422m²,Aroldo,23/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-quitado-em-alvorada-do-sul-1236821580,25/Sep/2023,20:08:48
Terrenos,,R$ 1.320.000,Vivendas do Arvoredo,Londrina,PR,10m²,ARBO IMÓVEIS,30/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-condominio-alphaville-ii-londrina-pr-1227966582,25/Sep/2023,20:08:48
Terrenos,,R$ 117.000,Colinas,Londrina,PR,250m²,IMOB3M,23/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-250-m-por-r-117-000-00-jardim-aeroporto-londrina-pr-1236818639,25/Sep/2023,20:08:48
Terrenos,,R$ 180.000,Pacaembu,Londrina,PR,,Abilio Medeiros Imóveis,23/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-milton-gavetti-1236814402,25/Sep/2023,20:08:48
Terrenos,,R$ 15.000.000,Parque Industrial Alicante,Londrina,PR,10m²,ARBO IMÓVEIS,13/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/oportunidade--terreno-a-venda-parque-industrial-alicante-londrina-pr-1233334009,25/Sep/2023,20:08:48
Terrenos,,R$ 329.370,Vila Goes,Londrina,PR,475m²,USUÁRIO NEWCORE,23/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/lote-em-rua-tinguis-vila-goes-londrina-pr-1236806986,25/Sep/2023,20:08:49
Terrenos,,R$ 179.420,Jardim Alvorada,Londrina,PR,250m²,USUÁRIO NEWCORE,23/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/lote-em-rua-uberlandia-jardim-alvorada-londrina-pr-1236801987,25/Sep/2023,20:08:49
Terrenos,,R$ 349.560,Portuguesa,Londrina,PR,430m²,USUÁRIO NEWCORE,23/09/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/lote-em-rua-tocantins-portuguesa-londrina-pr-1236806713,25/Sep/2023,20:08:49
