tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 1.590.000,Esperança,Londrina,PR,500m²,CRV Assessoria Imobiliária SS Ltda,09/04/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-500-m-por-r-1-590-000-00-condominio-royal-park-londrina-pr-1066308600,28/Aug/2023,23:13:57
Terrenos,,R$ 1.480.000,Vivendas do Arvoredo,Londrina,PR,364m²,GS&MARIN - Negócios Imobiliários.,08/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-vivendas-do-arvoredo-1219704990,28/Aug/2023,23:14:11
Terrenos,,R$ 25.000,Jardim União da Vitória II,Londrina,PR,21200m²,LPS Raul Fulgencio Consultoria de Imoveis,08/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-area-em-londrina-1219702847,28/Aug/2023,23:14:11
Terrenos,,R$ 2.500,Arco Íris,Londrina,PR,241m²,LPS Raul Fulgencio Consultoria de Imoveis,08/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-comercial-em-londrina-1219702746,28/Aug/2023,23:14:11
Terrenos,,R$ 360.000,Conjunto Café,Londrina,PR,350m²,CATUAI IMOVEIS,08/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-comercial-bairro-conjunto-cafe-em-londrina-1219701039,28/Aug/2023,23:14:11
Terrenos,,R$ 308.000,Jardim Morumbi,Londrina,PR,250m²,Rocha e Albergone Corretores de Imóveis,08/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-no-condominio-parque-taua-londrina-pr-1219696004,28/Aug/2023,23:14:11
Terrenos,,R$ 330.000,Jardim Morumbi,Londrina,PR,258m²,Rocha e Albergone Corretores de Imóveis,08/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-no-condominio-parque-taua-londrina-pr-1219695969,28/Aug/2023,23:14:11
Terrenos,,R$ 1.890.000,Vivendas do Arvoredo,Londrina,PR,1386m²,ARBO IMÓVEIS,08/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-the-euro-royal-residence-vivendas-do-arvoredo-londrina-pr-1219686696,28/Aug/2023,23:14:11
Terrenos,,R$ 667.777,São Pedro,Londrina,PR,10m²,ARBO IMÓVEIS,08/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-sao-pedro-londrina-pr-1219686101,28/Aug/2023,23:14:11
Terrenos,,R$ 800.000,Conjunto Habitacional Violim,Londrina,PR,439m²,CENTURY 21 CLASS IMÓVEIS,07/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/venda-e-locacao-terreno-com-439-00-m-conjunto-habitacional-violim-londrina-1219643604,28/Aug/2023,23:14:11
Terrenos,,R$ 3.200,Conjunto Habitacional Violim,Londrina,PR,439m²,CENTURY 21 CLASS IMÓVEIS,07/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/venda-e-locacao-terreno-com-439-00-m-conjunto-habitacional-violim-londrina-1219643302,28/Aug/2023,23:14:11
Outros,,R$ 9.900,Cilo 2,Londrina,PR,2m²,henryweler,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/vendo-troco-terreno-no-pq-allamandas-mudanca-de-cidade-1221088850,28/Aug/2023,23:14:11
Terrenos,,R$ 360.000,Warta,Londrina,PR,3300m²,Imobiliária lantimoveis,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/lote-terras-recanto-toa-toa-1221062687,28/Aug/2023,23:14:11
Terrenos,,R$ 1.350.000,Vivendas do Arvoredo,Londrina,PR,373m²,Humaitá Negócios Imobiliários,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-373-m-por-r-1-350-000-00-alphaville-ii-londrina-pr-1221060482,28/Aug/2023,23:14:11
Terrenos,,R$ 450.000,Jardim Presidente,Londrina,PR,525m²,G1 IMOB,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-jardim-presidente-1221032713,28/Aug/2023,23:14:11
Terrenos,,R$ 350.000,Helena,Londrina,PR,351m²,IMOBILIARIA AVENIDA,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-helena-1221031007,28/Aug/2023,23:14:11
Terrenos,,R$ 15.000.000,Cláudia,Londrina,PR,9952m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-loteamento-bairro-claudia-em-londrina-1221030077,28/Aug/2023,23:14:11
Terrenos,,R$ 1.200,Vila Santa Terezinha,Londrina,PR,958m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-comercial-bairro-vila-santa-terezinha-em-londrina-1221030063,28/Aug/2023,23:14:11
Terrenos,,R$ 480.000,Vila Santa Terezinha,Londrina,PR,958m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-comercial-bairro-vila-santa-terezinha-em-londrina-1221030069,28/Aug/2023,23:14:11
Terrenos,,R$ 600.000,Leonor,Londrina,PR,500m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-leonor-em-londrina-1221030003,28/Aug/2023,23:14:11
Terrenos,,R$ 1.020.000,Parque Industrial Alicante,Londrina,PR,1017m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-parque-industrial-brasilia-em-londrina-1221030011,28/Aug/2023,23:14:11
Terrenos,,R$ 2.800.000,Conjunto Vivi Xavier,Londrina,PR,5204m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-para-incorporacao-saul-elkind-londrina-1221030024,28/Aug/2023,23:14:11
Terrenos,,R$ 400.000,Jardim dos Estados,Londrina,PR,551m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-estados-em-londrina-1221029972,28/Aug/2023,23:14:11
Terrenos,,R$ 260.000,Quebec,Londrina,PR,300m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-boa-vista-em-londrina-1221029984,28/Aug/2023,23:14:11
Terrenos,,R$ 2.800.000,Espírito Santo,Londrina,PR,10m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/rural-sitio-com-1-quarto-bairro-zona-rural-em-londrina-1221029993,28/Aug/2023,23:14:11
Terrenos,,R$ 280.000,Sabará III,Londrina,PR,385m²,licosousa2013,30/07/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/vendo-terreno-em-londrina-bairro-nova-olinda-1216419455,28/Aug/2023,23:14:11
Terrenos,,R$ 80.000,Olímpico,Londrina,PR,300m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-jardim-olimpico-em-londrina-1221030000,28/Aug/2023,23:14:11
Terrenos,,R$ 3.485.000,Antares,Londrina,PR,7745m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-antares-em-londrina-1221030001,28/Aug/2023,23:14:12
Terrenos,,R$ 700.000,Rui Barbosa,Londrina,PR,,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-rui-barbosa-em-londrina-1221029963,28/Aug/2023,23:14:12
Terrenos,,R$ 1.380.000,Pacaembu,Londrina,PR,151m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-conjunto-habitacional-milton-gavetti-em-londrina-1221029966,28/Aug/2023,23:14:12
Terrenos,,R$ 2.400.000,Coroados,Londrina,PR,10000m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-loteamento-bairro-coroados-em-londrina-1221029967,28/Aug/2023,23:14:12
Terrenos,,R$ 280.000,Jardim dos Estados,Londrina,PR,378m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-jardim-sao-paulo-em-londrina-1221029947,28/Aug/2023,23:14:12
Terrenos,,R$ 220.000,Paulista,Londrina,PR,442m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-vila-casoni-em-londrina-1221029544,28/Aug/2023,23:14:12
Terrenos,,R$ 1.200.000,Dom Pedro I,Londrina,PR,7258m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-dom-pedro-i-em-londrina-1221029546,28/Aug/2023,23:14:12
Terrenos,,R$ 5.000,Conjunto Habitacional Alexandre Urbanas,Londrina,PR,1250m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-conjunto-habitacional-alexandre-urbanas-em-londrina-1221029557,28/Aug/2023,23:14:12
Terrenos,,R$ 5.000,Bancários,Londrina,PR,1500m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-bancarios-em-londrina-1221029561,28/Aug/2023,23:14:12
Terrenos,,R$ 3.000.000,Parque Industrial Alicante,Londrina,PR,145200m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/rural-sitio-bairro-warta-em-londrina-1221029493,28/Aug/2023,23:14:12
Terrenos,,R$ 300.000,Leonor,Londrina,PR,250m²,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-leonor-em-londrina-1221029495,28/Aug/2023,23:14:12
Terrenos,,R$ 95.000,Jardim Padovani,Londrina,PR,,IMOBILIARIA NATAL,11/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-jardim-padovani-em-londrina-1221029502,28/Aug/2023,23:14:12
