tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 275.000,Gleba Fazenda Palhano,Londrina,PR,200m²,Rosely santiago,14/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/vendo-terreno-condominio-fechafo-gleba-esperanca-moradas-do-vale-1200689018,14/Aug/2023,22:22:20
Terrenos,,R$ 169.000,Colinas,Londrina,PR,392m²,Diego G.,14/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-de-392-metros-1221963440,14/Aug/2023,22:22:21
Terrenos,,R$ 125.000,Jardim Montecatini,Londrina,PR,250m²,Jorge Luiz Bigoto,12/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/vende-terreno-jardim-montecatini-em-londrina-1163507116,14/Aug/2023,22:22:21
Terrenos,,R$ 92.000,Jardim Neman Sahyun,Londrina,PR,200m²,gustavocruz.lins,12/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-com-otima-localizacao-1209085988,14/Aug/2023,22:22:21
Terrenos,,R$ 155.000,Jardim Tropical,Londrina,PR,261m²,Renatopio12,12/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-comercial-proximo-ao-shopping-norte-1192396774,14/Aug/2023,22:22:21
Venda - casa em rua pública,1,R$ 120.000,Catuai,Londrina,PR,50m²,Imoblist,28/07/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-com-1-dormitorio-a-venda-50-m-por-r-120-000-00-catuai-londrina-pr-1215623169,14/Aug/2023,22:22:42
Outros,,null,Lago Igapó,Londrina,PR,,Ts silva,12/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/jazigo-pq-das-oliveira-lond-troco-por-carro-valor-1221562809,14/Aug/2023,22:22:21
Terrenos,,R$ 250.000,Jardim Neman Sahyun,Londrina,PR,232m²,Suzana Franco,12/08/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-1221545282,14/Aug/2023,22:22:21
Terrenos,,R$ 4.500,Centro,Londrina,PR,180m²,G1 IMOB,03/03/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-centro-1128781362,14/Aug/2023,22:22:42
Terrenos,,R$ 6.500,Centro,Londrina,PR,582m²,G1 IMOB,05/03/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-centro-1128634880,14/Aug/2023,22:22:42
Terrenos,,R$ 180.000,Residencial Portal do Sol,Londrina,PR,280m²,Imobiliária Investimento,03/03/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-280-m-por-r-180-000-00-jardim-sao-paulo-ii-londrina-pr-1078655581,14/Aug/2023,22:22:42
Terrenos,,R$ 1.200.000,Dom Pedro I,Londrina,PR,7258m²,Ática Imóveis,04/03/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-7258-m-por-r-1-200-000-00-dom-pedro-i-londrina-pr-1154543477,14/Aug/2023,22:22:42
Venda - casa em rua pública,2,R$ 265.000,Jardim Ilha do Mel,Londrina,PR,70m²,Imoblist,28/07/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-com-2-dormitorios-a-venda-70-m-por-r-265-000-00-jardim-ilha-do-mel-lon-1215625955,14/Aug/2023,22:22:42
Terrenos,,R$ 130.000,Residencial Portal do Sol,Londrina,PR,250m²,Ática Imóveis,04/03/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-250-m-por-r-130-000-00-residencial-portal-do-sol-londrina-pr-1154557617,14/Aug/2023,22:22:42
Terrenos,,R$ 160.000,Califórnia,Londrina,PR,450m²,Imobiliária Perez,05/03/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-vale-do-cambezinho-1124483695,14/Aug/2023,22:22:42
Terrenos,,R$ 250.000,Califórnia,Londrina,PR,440m²,Ática Imóveis,04/03/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-440-m-por-r-250-000-00-cambezinho-londrina-pr-1154568785,14/Aug/2023,22:22:42
Venda - casa em rua pública,2,R$ 300.000,Sebastião de Melo César,Londrina,PR,150m²,Imoblist,28/07/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-comercial-residencial-de-esquina-com-2-dormitorios-a-venda-150-m-por-r-300-1215624633,14/Aug/2023,22:22:42
Terrenos,,R$ 215.000,Marumbi,Londrina,PR,252m²,GELD SERVIÇOS E COBRANÇAS LTDA,04/03/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-marumbi-em-londrina-1100158099,14/Aug/2023,22:22:42
Venda - apartamento padrão,2,R$ 430.000,Parque Jamaica,Londrina,PR,65m²,GELD SERVIÇOS E COBRANÇAS LTDA,28/07/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/apartamento-com-2-quartos-no-condominio-aquarela-pinheiros-bairro-parque-jamaica-em-lon-1215578948,14/Aug/2023,22:22:42
Terrenos,,R$ 2.760.000,Indústrias Leves,Londrina,PR,3054m²,GELD SERVIÇOS E COBRANÇAS LTDA,09/02/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-industrias-leves-em-londrina-1145032296,14/Aug/2023,22:22:42
