tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 320.000,Conjunto Vale Azul,Sarandi,PR,1075m²,Tamirys Mori,10/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/vendo-terreno-chacara-1075m2-com-poco-artesiano-1131210871,13/Feb/2023,18:35:43
Terrenos,,null,Jardim Real II,Sarandi,PR,,Paulo,10/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-jardim-real-ii-1131221655,13/Feb/2023,18:35:43
Terrenos,,R$ 220.000,Centro,Sarandi,PR,245m²,Pedro Granado Imoveis,06/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/sarandi-lote-terreno-centro-943381771,13/Feb/2023,18:35:43
Terrenos,,R$ 150.000,Jardim Nova Independência,Sarandi,PR,300m²,Winner Brokers,07/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-em-sarandi-1130161394,13/Feb/2023,18:35:43
Terrenos,,R$ 90.000,Jardim São Paulo II,Sarandi,PR,250m²,Winner Brokers,11/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-250-m-por-r-90-000-00-sao-paulo-i-sarandi-pr-1131847814,13/Feb/2023,18:35:43
Terrenos,,R$ 72.000,Jardim Nova Independência,Sarandi,PR,212m²,Winner Brokers,07/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-212-m-por-r-72-000-00-jardim-aurora2-sarandi-pr-1130163838,13/Feb/2023,18:35:43
Terrenos,,R$ 175.000,Parque da Gávea,Sarandi,PR,381m²,Winner Brokers,07/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-380-m-por-r-175-000-00-parque-da-gavea-sarandi-pr-1118599316,13/Feb/2023,18:35:47
Terrenos,,R$ 115.000,Jardim Centro Cívico,Sarandi,PR,300m²,Imoblist,07/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-centro-civico-sarandi-1073921598,13/Feb/2023,18:35:47
Terrenos,,R$ 125.000,Jardim São Paulo II,Sarandi,PR,250m²,Imoblist,27/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jardim-sao-paulo-ii-sarandi-1139441493,13/Feb/2023,18:35:47
Terrenos,,R$ 95.000,Conjunto Residencial Mauá,Sarandi,PR,185m²,IMOBILIARIA PCA IMÓVEIS,10/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-no-conjunto-residencial-maua-em-sarandi-pr-1054128926,13/Feb/2023,18:35:43
Terrenos,,R$ 225.000,Jardim Tropical,Sarandi,PR,,Talita Gabriela Zirondi,21/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-jardim-tropical-sarandi-1124134462,13/Feb/2023,18:35:44
Terrenos,,R$ 4.500.000,Conjunto Vale Azul,Sarandi,PR,24200m²,Winner Brokers,11/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-24200-m-por-r-4-500-000-00-chacaras-aeroporto-sarandi-pr-1131922166,13/Feb/2023,18:35:44
Terrenos,,R$ 350.000,Conjunto Floresta,Sarandi,PR,401m²,BARAK NEGÓCIOS IMOBILIÁRIOS LTDA,09/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-400-m-por-r-350-000-jardim-centro-civico-sarandi-pr-1130914868,13/Feb/2023,18:35:44
Terrenos,,R$ 118.000,Jardim Verão,Sarandi,PR,250m²,Imoblist,03/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-pq-res-nova-alianca-sarandi-1074026453,13/Feb/2023,18:35:48
Terrenos,,R$ 170.000,Jardim Panorama,Sarandi,PR,300m²,Imoblist,18/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jd-independencia-ii-sarandi-1067242841,13/Feb/2023,18:35:48
Terrenos,,R$ 160.000,Jardim Ouro Verde IV,Sarandi,PR,251m²,Winner Brokers,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-250-m-por-r-160-000-00-jardim-ouro-verde-iv-sarandi-pr-1113195541,13/Feb/2023,18:35:48
Terrenos,,R$ 298.000,Parque Industrial,Sarandi,PR,1072m²,Daniel Poruczinski,20/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/oportunidade-terreno-comercial-a-venda-parque-industrial-sarandi-1123861142,13/Feb/2023,18:35:44
Terrenos,,R$ 240.000,Jardim Centro Cívico,Sarandi,PR,400m²,Pedro Granado Imoveis,07/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/sarandi-lote-terreno-jardim-centro-civico-1091548195,13/Feb/2023,18:35:44
Terrenos,,R$ 510.000,Conjunto Vale Azul,Sarandi,PR,2150m²,Imoblist,02/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-chacaras-aeroporto-sarandi-1073922787,13/Feb/2023,18:35:48
Terrenos,,null,Jardim Aurora lll,Sarandi,PR,215m²,RODRIGO,16/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-aurora-iii-1122418331,13/Feb/2023,18:35:48
Terrenos,,R$ 145.000,Parque da Gávea,Sarandi,PR,322m²,Imoblist,27/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-parque-da-gavea-sarandi-1139441459,13/Feb/2023,18:35:48
Terrenos,,R$ 280.000,Conjunto Vale Azul,Sarandi,PR,1075m²,Imoblist,06/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/otimo-terreno-com-1075-m-caido-para-a-rua-proxi-1118333073,13/Feb/2023,18:35:48
Terrenos,,R$ 135.000,Jardim Independência III,Sarandi,PR,250m²,Opção Imóveis,07/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-250-00-m-jardim-independencia-ii-sarandi-1130149626,13/Feb/2023,18:35:44
Terrenos,,R$ 120.000,Ecovalley Ecologic City,Sarandi,PR,300m²,Guilherme Z.,02/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-1128075753,13/Feb/2023,18:35:44
Terrenos,,R$ 250.000,Jardim Monterey,Sarandi,PR,300m²,JOÃO GRANADO IMOBILIÁRIA,10/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-300-m--jardim-centro-civico-sarandi-pr-1082695904,13/Feb/2023,18:35:44
Terrenos,,R$ 110.000,Jardim Monterey,Sarandi,PR,250m²,Winner Brokers,10/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-em-sarandi-1131510394,13/Feb/2023,18:35:44
Terrenos,,R$ 175.000,Parque da Gávea,Sarandi,PR,177000m²,Imoblist,30/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-parque-da-gavea-sarandi-1115858548,13/Feb/2023,18:35:48
Terrenos,,R$ 95.000,Parque Residencial Bom Pastor,Sarandi,PR,200m²,Winner Brokers,12/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-200-m-por-r-95-000-00-parque-residencial-bom-pastor-sarandi-pr-1108650505,13/Feb/2023,18:35:48
Terrenos,,R$ 82.000,Jardim Monterey,Sarandi,PR,250m²,Winner Brokers,02/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-250-m-por-r-82-000-00-jardim-monterey-sarandi-pr-1116797973,13/Feb/2023,18:35:48
Terrenos,,R$ 280.000,Parque Industrial IV,Sarandi,PR,450m²,Winner Brokers,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-450-m-por-r-280-000-00-parque-industrial-iv-sarandi-pr-1113194670,13/Feb/2023,18:35:48
Terrenos,,R$ 180.000,Jardim Montreal,Sarandi,PR,252m²,Leandro,29/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-no-montreal-917924199,13/Feb/2023,18:35:48
Terrenos,,R$ 105.000,Jardim Nova Independência,Sarandi,PR,300m²,Winner Brokers,25/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-300-m-por-r-105-000-00-jardim-nova-independencia-sarandi-pr-1114053086,13/Feb/2023,18:35:48
Terrenos,,R$ 6.500.000,Jardim Europa,Sarandi,PR,3317m²,Pedro Granado Imoveis,10/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/sarandi-lote-terreno-jardim-europa-1094365232,13/Feb/2023,18:35:44
Terrenos,,R$ 350.000,Jardim São Paulo,Sarandi,PR,407m²,Antonio,10/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/oportunidade-para-vc-construtor-1131729012,13/Feb/2023,18:35:45
Terrenos,,R$ 107.000,Jardim São Paulo,Sarandi,PR,250m²,Charles Mendes,07/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-jardim-sao-paulo-ll-1130369510,13/Feb/2023,18:35:45
Terrenos,,R$ 7.800.000,Jardim Europa,Sarandi,PR,7882m²,Pedro Granado Imoveis,09/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/sarandi-lote-terreno-jardim-europa-943381727,13/Feb/2023,18:35:45
Terrenos,,R$ 64.000,Jardim Universal,Sarandi,PR,250m²,JP CORRETOR,07/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-inteiro-sarandi-liberado-construir-2-casas-886884967,13/Feb/2023,18:35:45
Terrenos,,R$ 189.000,Conjunto Vale Azul,Sarandi,PR,1075m²,Imoblist,18/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-conjunto-vale-azul-sarandi-1075745321,13/Feb/2023,18:35:45
Terrenos,,R$ 85.000,Parque Residencial Bom Pastor,Sarandi,PR,200m²,Winner Brokers,12/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-200-m-por-r-85-000-00-parque-residencial-bom-pastor-sarandi-pr-1108650735,13/Feb/2023,18:35:45
Terrenos,,R$ 170.000,Jardim São Paulo II,Sarandi,PR,250m²,Ocean Conexões Imobiliárias,29/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-250-00-m-jd-sao-paulo-ii-sarandi-pr-1118617442,13/Feb/2023,18:35:48
Terrenos,,R$ 175.000,Ecovalley Ecologic City,Sarandi,PR,370m²,Imoblist,12/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jd-ecovalley-sarandi-1073921626,13/Feb/2023,18:35:45
Terrenos,,R$ 140.000,Jardim Independência,Sarandi,PR,180m²,Winner Brokers,23/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-180-m-por-r-140-000-00-jardim-independencia-sarandi-pr-1113195504,13/Feb/2023,18:35:48
Terrenos,,R$ 50.000,Jardim Ana Elisa,Sarandi,PR,250m²,Marcos Ferreira,30/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-250-m2-1140339426,13/Feb/2023,18:35:48
Terrenos,,R$ 85.000,Jardim Nova Independência,Sarandi,PR,257m²,Winner Brokers,07/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-em-sarandi-1130163969,13/Feb/2023,18:35:45
Terrenos,,R$ 105.000,Centro,Sarandi,PR,250m²,Leni Grava,10/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-para-venda-no-bairro-santa-tereza-localizado-na-cidade-de-sarandi-pr-105mil-1108055406,13/Feb/2023,18:35:45
Terrenos,,R$ 28.000,Jardim Leblon,Sarandi,PR,227m²,Ana maria Costa scheidt,02/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-1128048257,13/Feb/2023,18:35:45
