tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 230.000,Jardim Nova Independência I,Sarandi,PR,408m²,Winner Brokers,10/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-408-m-por-r-230-000-00-jardim-nova-independencia-i-sarandi-pr-1107719597,16/Jan/2023,20:57:49
Terrenos,,R$ 3.300.000,Aurora,Londrina,PR,3332m²,CRV Assessoria Imobiliária SS Ltda,22/11/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-3332-m-aurora-londrina-pr-1005083262,16/Jan/2023,20:58:14
Terrenos,,R$ 125.000,Parque da Gávea,Sarandi,PR,363m²,Prado Imoveis,02/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-362-m-por-r-125-000-00-parque-da-gavea-sarandi-pr-1112693441,16/Jan/2023,20:58:14
Terrenos,,R$ 300.000,Bela Vista,Londrina,PR,390m²,WALID KAUSS ADMINISTRACAO IMOBILIARIA,10/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-bela-vista-957814279,16/Jan/2023,20:58:14
Terrenos,,R$ 2.550.000,Recanto do Salto,Londrina,PR,2675m²,Veneza Imóveis,16/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-por-r-2550000-00-2675-00-m2-gleba-palhano-londrina-pr-1078473058,16/Jan/2023,20:58:14
Terrenos,,R$ 230.000,Indústrias Leves,Londrina,PR,304m²,CATUAI IMOVEIS,11/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-comercial-bairro-industrias-leves-em-londrina-915097972,16/Jan/2023,20:58:14
Terrenos,,R$ 4.500.000,Aeroporto,Londrina,PR,53278m²,EXCLUSIVA NEGÓCIOS IMOBILIÁRIOS,12/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-53278-m-aeroporto-londrina-pr-1085399676,16/Jan/2023,20:58:14
Terrenos,,R$ 200.000,Bandeirantes,Londrina,PR,300m²,CATUAI IMOVEIS,12/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-bandeirantes-em-londrina-915098150,16/Jan/2023,20:58:14
Terrenos,,R$ 60.000,Jardim Palmas,Londrina,PR,,Ana Richa Corretora de Imóveis,12/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-jardim-palmas-em-londrina-1090533446,16/Jan/2023,20:58:14
Terrenos,,R$ 290.000,Jardim Morumbi,Londrina,PR,267m²,EXCLUSIVA NEGÓCIOS IMOBILIÁRIOS,20/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-267-m-condominio-parque-taua-tangara-londrina-pr-1085399182,16/Jan/2023,20:58:14
Terrenos,,R$ 155.000,Cafezal,Londrina,PR,311m²,Rinaldo Neris,14/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-gran-residence-arapongas-1121433143,16/Jan/2023,20:58:14
Terrenos,,R$ 27.000.000,Aeroporto,Londrina,PR,26700m²,IMOBILIARIA MONACO,14/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/area-a-venda-26700-m-por-r-27-000-000-00-aeroporto-londrina-pr-1121411027,16/Jan/2023,20:58:14
Terrenos,,R$ 349.560,Portuguesa,Londrina,PR,430m²,USUÁRIO NEWCORE,21/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/lote430m-portuguesa-londrina-1124189825,16/Jan/2023,20:58:14
Terrenos,,R$ 120.000,Jardim Barra Forrest,Londrina,PR,250m²,HARANO IMÓVEIS,10/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-condominio-no-barra-forest-bairro-jardim-barra-forrest-em-londrina-1035424100,16/Jan/2023,20:58:14
Terrenos,,R$ 6.000.000,Lagoa Dourada,Londrina,PR,33000m²,Imobiliária Santamérica,10/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-lagoa-dourada-1108372550,16/Jan/2023,20:58:14
Terrenos,,R$ 980.000,Campo Belo,Londrina,PR,464m²,Lemos e Barros Imóveis,14/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/lote-terreno-residencial-residencial-comercial-para-venda-aluguel-campo-belo-londrin-1129961218,16/Jan/2023,20:58:14
Terrenos,,R$ 220.000,Indústrias Leves,Londrina,PR,347m²,Sanderson Imóveis,10/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-industrias-leves-em-londrina-991827261,16/Jan/2023,20:58:14
Terrenos,,R$ 280.000,Jardim Alvorada,Londrina,PR,312m²,Rogério Dutra de Souza,14/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-312-m-rua-uberlandia-jardim-champagnat-1019479768,16/Jan/2023,20:58:14
Terrenos,,R$ 189.000,Residencial Portal do Sol,Londrina,PR,280m²,GELD SERVIÇOS E COBRANÇAS LTDA,13/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-rua-bairro-jardim-sao-paulo-ii-em-londrina-1022707126,16/Jan/2023,20:58:14
Terrenos,,R$ 960.000,Cidade Industrial 2,Londrina,PR,6000m²,Imobiliária Aurora,14/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-6000-m-por-r-960-000-00-abel-chimentao-residencial-londrina-pr-1073047847,16/Jan/2023,20:58:14
Terrenos,,R$ 795.000,Esperança,Londrina,PR,330m²,Gleba Imóveis,14/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/condominio-royal-forest-residence-e-resort-gleba-palhano-londrina-330m-te0342-1088753671,16/Jan/2023,20:58:14
Venda - casa em rua pública,3,R$ 570.000,Jardim Burle Marx,Londrina,PR,100m²,Imobiliária Igapo,11/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-para-venda-possui-100-metros-quadrados-com-3-quartos-em-jardim-burle-marx-londrina-1131801858,16/Jan/2023,20:58:14
Venda - casa em rua pública,2,R$ 90.000,Jardim Gralha Azul,Sarandi,PR,70m²,Carneiro Anderson,27/12/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-geminada-1126200702,16/Jan/2023,20:58:14
Terrenos,,R$ 280.000,Jardim Morumbi,Londrina,PR,250m²,G1 IMOB,13/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-jardim-morumbi-975766645,16/Jan/2023,20:58:14
Terrenos,,R$ 60.000,Jardim Independência,Sarandi,PR,250m²,Cristiane G.,13/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-residencial-250m-1133118513,16/Jan/2023,20:58:14
Venda - apartamento padrão,2,R$ 310.000,Centro,Londrina,PR,58m²,CENTURY 21 CLASS IMÓVEIS,11/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/venda-apartamento-com-58-65-m-2-dormitorio-s-1-vaga-s-centro-londrina-1062046736,16/Jan/2023,20:58:14
Venda - apartamento padrão,3,R$ 1.420.000,Gleba Fazenda Palhano,Londrina,PR,156m²,LPS Raul Fulgencio Consultoria de Imoveis,12/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/londrina-apartamento-padrao-gleba-fazenda-palhano-1019348906,16/Jan/2023,20:58:14
Terrenos,,R$ 170.000,Jardim Padovani,Londrina,PR,373m²,PILARTEX IMOVEIS,14/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-372-m-por-r-170-000-00-jardim-padovani-londrina-pr-1049605292,16/Jan/2023,20:58:14
Venda - casa em rua pública,0,R$ 229.740,Jardim São Paulo,Londrina,PR,75m²,USUÁRIO NEWCORE,11/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa75m-jardim-sao-paulo-londrina-1131794246,16/Jan/2023,20:58:14
Terrenos,,R$ 186.000,Jardim São Paulo II,Sarandi,PR,303m²,Marcelo de Lima Chopch Serviços,09/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-303-m-por-r-186-000-00-jardim-sao-paulo-ii-sarandi-pr-1107341291,16/Jan/2023,20:57:49
Terrenos,,R$ 134.000,Conjunto Floresta,Sarandi,PR,300m²,Marcelo de Lima Chopch Serviços,09/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-300-m-por-r-134-000-00-conjunto-floresta-sarandi-pr-1107340061,16/Jan/2023,20:57:49
Terrenos,,R$ 180.000,Jardim Universal,Sarandi,PR,250m²,Imoblist,09/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/vendo-terreno-comercial-1107276191,16/Jan/2023,20:57:49
Terrenos,,R$ 180.000,Jardim Universal,Sarandi,PR,250m²,EMPREENDIMENTOS IMOBILIARIOS SANDRI LTDA,08/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/vendo-terreno-comercial-1107129429,16/Jan/2023,20:57:49
Terrenos,,R$ 130.000,Jardim Nova Independência,Sarandi,PR,300m²,Leni Grava,05/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/otimo-terreno-para-venda-em-sarandi-jardim-aurora-i-130-mil-1105805610,16/Jan/2023,20:57:49
Terrenos,,R$ 990.000,Jardim Montecatini,Londrina,PR,740m²,GELD SERVIÇOS E COBRANÇAS LTDA,14/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-em-condominio-no-condominio-bella-vitta-bairro-jardim-montecatini-em-londrina-1022707032,16/Jan/2023,20:58:14
Terrenos,,R$ 300.000,Jardim Panorama,Sarandi,PR,300m²,Imoblist,05/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jardim-panorama-sarandi-1117959928,16/Jan/2023,20:58:14
Terrenos,,R$ 150.000,Jardim Guararapes,Londrina,PR,300m²,Humaitá Negócios Imobiliários,10/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-300-m-por-r-150-000-00-jardim-perola-londrina-pr-1073484317,16/Jan/2023,20:58:14
Terrenos,,R$ 165.000,Jardim São Paulo II,Sarandi,PR,383m²,Imoblist,27/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jd-sao-paulo-sarandi-1102439582,16/Jan/2023,20:57:49
Venda - apartamento padrão,3,R$ 470.000,Centro,Londrina,PR,131m²,MITRAL IMÓVEIS,13/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/apartamento-duplex-com-3-dormitorios-a-venda-131-m-por-r-470-000-00-centro-londrina-1043155126,16/Jan/2023,20:58:14
Terrenos,,R$ 220.000,Jardim Castelo,Sarandi,PR,1091m²,Imobiliária Girando a Chave,13/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-no-jardim-atlanta-em-maringa-1020116744,16/Jan/2023,20:58:14
Terrenos,,R$ 165.000,Jardim Tókio,Londrina,PR,440m²,Ghome,08/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-440-m-por-r-165-000-00-jardim-tokio-londrina-pr-1102613300,16/Jan/2023,20:58:14
Venda - casa em rua pública,0,R$ 274.820,Colúmbia,Londrina,PR,69m²,USUÁRIO NEWCORE,11/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa69m-columbia-londrina-1131794465,16/Jan/2023,20:58:14
Venda - apartamento padrão,2,R$ 200.000,Vila Ipiranga,Londrina,PR,58m²,HARANO IMÓVEIS,10/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/apartamento-com-2-quartos-no-edificio-residencial-terraco-bairro-vila-ipiranga-em-londr-1130259531,16/Jan/2023,20:58:14
Terrenos,,R$ 750.000,Aeroporto,Londrina,PR,1375m²,Veneza Imóveis,08/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-por-r-750000-00-1374-80-m2-heimtal-londrina-pr-1046148429,16/Jan/2023,20:58:14
Terrenos,,R$ 990.000,Estância Santa Paula,Londrina,PR,1594m²,CENTURY 21 CLASS IMÓVEIS,04/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/venda-terreno-com-1-594-00-m-esperanca-londrina-1061785235,16/Jan/2023,20:58:14
Terrenos,,R$ 290.000,Jardim Morumbi,Londrina,PR,258m²,Campaner Assessoria Imobiliária,03/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-258-m-por-r-290-000-00-condominio-parque-taua-arangua-londrina-pr-1119228260,16/Jan/2023,20:58:14
Venda - casa em rua pública,2,R$ 420.000,Jardim Nova Independência,Sarandi,PR,149m²,Winner Brokers,10/01/2023,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-com-2-dormitorios-a-venda-149-m-por-r-420-000-00-jardim-aurora-ii-sarandi-pr-1131491524,16/Jan/2023,20:58:14
Terrenos,,R$ 430.000,Jardim Morumbi,Londrina,PR,318m²,IMOBILIARIA AVENIDA,14/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-jardim-morumbi-1058455780,16/Jan/2023,20:58:14
Terrenos,,R$ 130.000,Ecovalley Ecologic City,Sarandi,PR,308m²,Maringá Apartamentos,16/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-308-00-m-ecovalley-ecologic-city-sarandi-1113749864,16/Jan/2023,20:58:14
Venda - apartamento padrão,3,R$ 380.000,Gleba Fazenda Palhano,Londrina,PR,69m²,MAGDA MENDES NAKAYAMA,10/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/apartamento-a-venda-no-bairro-gleba-fazenda-palhano-londrina-pr-1123384185,16/Jan/2023,20:58:14
Terrenos,,R$ 75.000,Parque Alvamar II,Sarandi,PR,150m²,paulacarvallho1234,05/12/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-150m-1117935055,16/Jan/2023,20:58:14
Venda - casa em rua pública,2,R$ 220.000,Jardim Monterey,Sarandi,PR,60m²,Antenor Imoveis,12/01/2023,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-residencial-com-2-quartos-a-venda-por-r-220000-00-60-00-m2-jardim-monterey-sara-1120905595,16/Jan/2023,20:58:14
Terrenos,,R$ 220.000,Hedy,Londrina,PR,240m²,Veneza Imóveis,03/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-por-r-220000-00-240-00-m2-hedy-londrina-pr-1104125292,16/Jan/2023,20:58:14
Venda - casa em rua pública,3,R$ 387.000,Califórnia,Londrina,PR,99m²,Clovis Mendes,10/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-com-3-quartos-bairro-san-fernando-em-londrina-1093041807,16/Jan/2023,20:58:14
Venda - apartamento padrão,3,R$ 350.000,San Remo,Londrina,PR,74m²,SOLANGE  CIRINO,16/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/apartamento-3-quartos-suite-venda-terrabella-1061935369,16/Jan/2023,20:58:14
Venda - apartamento padrão,3,R$ 950.000,Gleba Fazenda Palhano,Londrina,PR,110m²,Miriam Ribeiro Imoveis,09/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/apartamento-edificio-vert-995980345,16/Jan/2023,20:58:14
Venda - casa em condominio fechado,4,R$ 2.800.000,Esperança,Londrina,PR,283m²,BARRETO IMOVEIS EIRELI - ME,12/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/sobrado-a-venda-283-m-por-r-2-800-000-00-condominio-royal-forest-londrina-pr-1039136117,16/Jan/2023,20:58:14
Terrenos,,R$ 100.000,Jardim Independência,Sarandi,PR,300m²,Imoblist,27/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jd-independencia-sarandi-1102438014,16/Jan/2023,20:57:49
Terrenos,,R$ 150.000,Jardim São Paulo,Sarandi,PR,300m²,IMOBILIÁRIA DELTA,27/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-residencial-sarandi-756534312,16/Jan/2023,20:57:49
Terrenos,,R$ 10.000,Vila Ipiranga,Londrina,PR,1250m²,CENTURY 21 CLASS IMÓVEIS,10/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/locacao-terreno-com-1-250-00-m-vila-ipiranga-londrina-1131217269,16/Jan/2023,20:58:14
Terrenos,,R$ 90.000,Jardim Nova Independência,Sarandi,PR,300m²,Imoblist,27/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jd-nova-independencia-sarand-1102438325,16/Jan/2023,20:57:49
Terrenos,,R$ 110.000,Ecovalley Ecologic City,Sarandi,PR,300m²,Winner Brokers,26/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-300-m-por-r-110-000-00-residencial-ecovalley-sarandi-pr-1101839142,16/Jan/2023,20:57:49
Terrenos,,R$ 750.000,Centro,Sarandi,PR,560m²,Imoblist,25/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-com-casa-em-alvenaria-a-venda-560-m-ce-1101245705,16/Jan/2023,20:57:49
Terrenos,,R$ 250.000,Jardim Monterey,Sarandi,PR,300m²,Imoblist,25/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-300-m--jardim-centro-civico-1101244506,16/Jan/2023,20:57:49
Terrenos,,R$ 5.000.000,Jardim Rosicler,Londrina,PR,7173m²,LPS Raul Fulgencio Consultoria de Imoveis,13/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-jardim-rosicler-1019337752,16/Jan/2023,20:58:14
Terrenos,,R$ 215.000,Jardim Morumbi,Londrina,PR,266m²,Imobiliária Prime,14/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-266-m-por-r-215-000-00-parque-taua-cond-araguari-londrina-pr-1121365400,16/Jan/2023,20:58:14
Terrenos,,R$ 4.300.000,Jardim Sabará,Londrina,PR,5400m²,G1 IMOB,02/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-jardim-sabara-960649480,16/Jan/2023,20:58:14
Terrenos,,R$ 130.000,Parque Leblon,Londrina,PR,250m²,Imobiliária Prime,08/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-250-m-por-r-130-000-00-condominio-barra-forest-londrina-pr-1050174548,16/Jan/2023,20:58:14
Terrenos,,R$ 1.780.000,Vivendas do Arvoredo,Londrina,PR,1202m²,G1 IMOB,13/12/2022,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-vivendas-do-arvoredo-1099638994,16/Jan/2023,20:58:14
Venda - casa em rua pública,0,R$ 244.440,Colúmbia,Londrina,PR,69m²,USUÁRIO NEWCORE,11/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa69m-columbia-londrina-1131794150,16/Jan/2023,20:58:14
Terrenos,,R$ 1.500.000,Vila São Caetano,Londrina,PR,1080m²,Imobiliária Investimento,03/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-1080-m-por-r-1-500-000-00-vila-sao-caetano-londrina-pr-1043997778,16/Jan/2023,20:58:14
Terrenos,,R$ 146.000,Ecovalley Ecologic City,Sarandi,PR,536m²,GVI - Empresas Rodobens,13/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-em-sarandi-pr-1132968962,16/Jan/2023,20:58:14
Terrenos,,R$ 350.000,Jacomo Violin,Londrina,PR,336m²,Imobiliária Investimento,08/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-336-m-por-r-350-000-jacomo-violin-londrina-pr-1044000692,16/Jan/2023,20:58:14
Terrenos,,R$ 450.000,Jardim Oriente,Londrina,PR,418m²,EXCLUSIVA NEGÓCIOS IMOBILIÁRIOS,08/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-a-venda-418-m-jardim-oriente-londrina-pr-1085399263,16/Jan/2023,20:58:14
Terrenos,,R$ 800.000,Estância Santa Paula,Londrina,PR,1670m²,WALID KAUSS ADMINISTRACAO IMOBILIARIA,08/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/londrina-terreno-padrao-estancia-santa-paula-996109882,16/Jan/2023,20:58:14
Terrenos,,R$ 260.000,Jardim Morumbi,Londrina,PR,253m²,Robson B.,08/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-plano-parque-taua-1130582279,16/Jan/2023,20:58:14
Terrenos,,R$ 950.000,Jardim Higienópolis,Londrina,PR,787m²,SOLANGE  CIRINO,10/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/excelente-terreno-comercial-centro-de-londrina-996293988,16/Jan/2023,20:58:14
Venda - apartamento padrão,3,R$ 690.000,Centro,Londrina,PR,197m²,PREMIER IMOVEIS,12/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/apartamento-a-venda-por-r-690-000-centro-londrina-pr-1063377211,16/Jan/2023,20:58:14
Terrenos,,R$ 1.030.000,Esperança,Londrina,PR,500m²,ARBO TECNOLOGIAS LTDA.,08/01/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/sun-lake-terreno-a-venda-500-m2-considerado-um-dos-melhores-condominios-ficando-pro-991031119,16/Jan/2023,20:58:14
