tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 530.000,Jardim Rebouças,Maringá,PR,755m²,DIRCENIUS NEGOCIOS E SERVIÇOS IMOBILIARIOS,14/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-comercial-754m2-no-jardim-reboucas-maringa-pr-1049111524,03/Jul/2023,22:26:05
Terrenos,,R$ 890.000,Zona 08,Maringá,PR,1440m²,Marcelo de Lima Chopch Serviços,06/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/condominio-monte-hermon-terreno-residencial-a-venda-conjunto-residencial-cidade-alta-ma-1001133741,03/Jul/2023,22:26:22
Terrenos,,R$ 550.000,Vila Morangueira,Maringá,PR,575m²,IDEAL MARINGÁ EMPREENDIMENTOS IMOBILIÁRIOS,06/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-maringa-pr-1131827527,03/Jul/2023,22:26:22
Terrenos,,R$ 160.000,Parque Industrial 200,Maringá,PR,500m²,Massaru Empreendimentos Imobiliarios,06/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/maringa-loteamento-condominio-gleba-ribeirao-morangueiro-1168800630,03/Jul/2023,22:26:22
Terrenos,,R$ 500.000,Vila Nova,Maringá,PR,488m²,Madeira ML Empreendimentos Imobiliários,06/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-vila-nova-maringa-pr-1162592737,03/Jul/2023,22:26:22
Terrenos,,R$ 300.000,Jardim Espanha,Maringá,PR,455m²,Imoblist,06/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-455-00-m-jardim-espanha-maringa-1084884198,03/Jul/2023,22:26:22
Terrenos,,R$ 886.960,Jardins de Monet Residence,Maringá,PR,720m²,Imoblist,14/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-cond-jardins-de-monet-maringa-1172638952,03/Jul/2023,22:26:22
Terrenos,,R$ 638.760,Jardins de Monet Residence,Maringá,PR,532m²,IMOBILIÁRIA SILVIO S. IWATA,05/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/lote-a-venda-maringa-jardins-de-monet-residence-jardins-de-monet-1027873801,03/Jul/2023,22:26:23
Terrenos,,R$ 180.000,Jardim São Clemente,Maringá,PR,,IDEAL MARINGÁ EMPREENDIMENTOS IMOBILIÁRIOS,06/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-maringa-pr-1131918270,03/Jul/2023,22:26:23
Terrenos,,R$ 650.000,Parque Residencial Cidade Nova,Maringá,PR,250m²,Massaru Empreendimentos Imobiliarios,06/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/maringa-terreno-padrao-jd-alvorada-1168800530,03/Jul/2023,22:26:23
Terrenos,,R$ 320.000,Jardim Valparaiso,Maringá,PR,428m²,LÉLO IMOVEIS LTDA - EPP,05/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-por-r-320000-00-427-75-m2-jardim-valparaiso-maringa-pr-982439307,03/Jul/2023,22:26:23
Terrenos,,R$ 1.200.000,Zona Armazém,Maringá,PR,1609m²,ANZAI NEGÓCIOS IMOBILIÁRIOS,13/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-comercial-1-609m2-jardim-andrade-911812281,03/Jul/2023,22:26:23
Terrenos,,R$ 290.000,Cj Res. Parigot de Souza,Maringá,PR,711m²,Padrão Imóveis,13/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-em-maringa-1197380871,03/Jul/2023,22:26:23
Terrenos,,R$ 475.200,Jardim Paraizo,Maringá,PR,432m²,Pedro Granado Imoveis,13/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/maringa-lote-terreno-jardim-paraizo-1197289226,03/Jul/2023,22:26:23
Terrenos,,R$ 300.000,Zona 07,Maringá,PR,350m²,Rafaela A. Ferreira,13/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-em-condominio-1197376346,03/Jul/2023,22:26:23
Terrenos,,R$ 400.000,Zona Armazém,Maringá,PR,1000m²,ANZAI NEGÓCIOS IMOBILIÁRIOS,13/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/marialva-pr-jardim-madri-industrial-1-000m2-plano-1070425192,03/Jul/2023,22:26:23
Terrenos,,R$ 85,Zona 04,Maringá,PR,600m²,Graziela,13/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-jd-terra-bela-1197326924,03/Jul/2023,22:26:23
Terrenos,,R$ 240.000,Parque das Laranjeiras,Maringá,PR,300m²,PERON IMOVEIS LTDA ME,12/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-parque-das-laranjeiras-maringa-1197181712,03/Jul/2023,22:26:23
Terrenos,,R$ 858.000,Jardins de Monet Residence,Maringá,PR,536m²,Winner Brokers,08/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-em-condominio-1170184246,03/Jul/2023,22:26:23
Terrenos,,R$ 350.000,Jardim Andrade,Maringá,PR,1000m²,Maringá Apartamentos,23/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-1-000-00-m-jardim-andrade-maringa-1201699167,03/Jul/2023,22:26:23
Terrenos,,R$ 320.000,Jardim Alvorada,Maringá,PR,360m²,Maringá Apartamentos,23/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-360-00-m-jardim-alvorada-maringa-1201699599,03/Jul/2023,22:26:23
Terrenos,,R$ 210.000,Parque Avenida,Maringá,PR,180m²,Maringá Apartamentos,23/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-180-00-m-jd-dias-maringa-1201699618,03/Jul/2023,22:26:23
Terrenos,,R$ 2.300.000,Zona 03,Maringá,PR,580m²,Maringá Apartamentos,23/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-580-00-m-zona-03-maringa-1201699622,03/Jul/2023,22:26:23
Terrenos,,R$ 330.000,Conjunto Residencial Cidade Alta,Maringá,PR,350m²,Winner Brokers,08/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-350-m-por-r-330-000-00-conjunto-residencial-cidade-alta-maringa-pr-1170184039,03/Jul/2023,22:26:23
Terrenos,,R$ 380.000,Jardim Alvorada,Maringá,PR,450m²,Winner Brokers,08/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-450-m-por-r-380-000-00-jardim-alvorada-maringa-pr-1170183518,03/Jul/2023,22:26:23
Terrenos,,R$ 483.000,Vila Santo Antônio,Maringá,PR,487m²,Maringá Apartamentos,23/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-487-00-m-vila-santo-antonio-maringa-1201699669,03/Jul/2023,22:26:23
Terrenos,,R$ 600.000,Recanto Kakogawa,Maringá,PR,1001m²,Winner Brokers,08/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-1001-m-por-r-600-000-00-jardim-copacabana-maringa-pr-1170183838,03/Jul/2023,22:26:23
Terrenos,,R$ 162.000,Vila Nova,Maringá,PR,200m²,Winner Brokers,08/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-200-m-por-r-162-000-00-jardim-novo-paulista-maringa-pr-1170183068,03/Jul/2023,22:26:23
Terrenos,,R$ 2.500.000,Jardim Alvorada,Maringá,PR,2500m²,Maringá Apartamentos,23/06/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-2-500-00-m-jardim-alvorada-maringa-1201699172,03/Jul/2023,22:26:23
Terrenos,,R$ 250.000,Jardim Munique,Maringá,PR,300m²,Pedro Granado Imoveis,14/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/maringa-lote-terreno-jardim-munique-1172637984,03/Jul/2023,22:26:23
Terrenos,,R$ 650.000,Zona 06,Maringá,PR,609m²,Imoblist,16/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-609-m-zona-06-maringa-1134271353,03/Jul/2023,22:26:23
Terrenos,,R$ 485.000,Jardim Paraíso,Maringá,PR,350m²,Madeira ML Empreendimentos Imobiliários,14/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-jardim-paraiso-maringa-pr-1159397911,03/Jul/2023,22:26:05
Terrenos,,R$ 270.000,Jardim São Silvestre,Maringá,PR,365m²,Imobiliária Morada do Sol,20/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-365m2-no-jardim-sao-silvestre-maringa-1135907052,03/Jul/2023,22:26:23
Terrenos,,R$ 950.000,Zona 07,Maringá,PR,600m²,Maringá Apartamentos,19/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-600-00-m-zona-07-maringa-1113749844,03/Jul/2023,22:26:23
Terrenos,,R$ 815.835,Jardins de Monet Residence,Maringá,PR,562m²,Imoblist,14/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-cond-jardins-de-monet-maringa-1172638761,03/Jul/2023,22:26:23
Terrenos,,R$ 931.350,Jardins de Monet Residence,Maringá,PR,666m²,Imoblist,14/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-cond-jardins-de-monet-maringa-1172638960,03/Jul/2023,22:26:23
Terrenos,,R$ 672.710,Jardim Alvorada,Maringá,PR,930m²,USUÁRIO NEWCORE,26/05/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/lote-em-rua-visconde-de-maua-jardim-alvorada-maringa-pr-1190468214,03/Jul/2023,22:26:23
Terrenos,,R$ 1.700.000,Zona 08,Maringá,PR,601m²,Imoblist,26/05/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-zona-08-maringa-1190245388,03/Jul/2023,22:26:23
Terrenos,,R$ 580.000,Vila Esperança,Maringá,PR,500m²,Imoblist,16/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-500-m-vila-esperanca-maringa-1134269111,03/Jul/2023,22:26:23
Terrenos,,R$ 1.200.000,Vila Santo Antônio,Maringá,PR,1006m²,Maringá Apartamentos,20/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-1-006-00-m-vila-santo-antonio-maringa-1113748471,03/Jul/2023,22:26:23
Terrenos,,R$ 300.000,Jardim Alvorada,Maringá,PR,225m²,RONALDO,26/05/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/excelente-terreno-jardim-alvorada-1190398495,03/Jul/2023,22:26:23
Terrenos,,R$ 320.000,Jardim Olímpico,Maringá,PR,595m²,Imoblist,26/05/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jd-kosmos-maringa-1190243198,03/Jul/2023,22:26:23
Terrenos,,R$ 1.260.000,Parque Residencial Cidade Nova,Maringá,PR,1245m²,Imoblist,18/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-parque-residencial-cidade-nova-maringa-1134910808,03/Jul/2023,22:26:23
Terrenos,,R$ 350.000,Jardim Espanha,Maringá,PR,436m²,Maringá Apartamentos,18/01/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-434-00-m-jardim-espanha-maringa-1113749087,03/Jul/2023,22:26:23
Terrenos,,R$ 150.000,Zona Armazém,Maringá,PR,1000m²,ANZAI NEGÓCIOS IMOBILIÁRIOS,26/05/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/chacara-1-000m2-proximo-ody-park-escriturada-1137568228,03/Jul/2023,22:26:23
Terrenos,,R$ 125.000,Jardim Novo Oásis,Maringá,PR,360m²,roodolfo,28/05/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/direitos-de-terreno-jardim-sao-paulo2-1191054268,03/Jul/2023,22:26:23
Terrenos,,R$ 1.150.000,Jardim Hanover,Maringá,PR,1086m²,Imoblist,26/05/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-comercial-contorno-sul-mga-1190242314,03/Jul/2023,22:26:23
Terrenos,,R$ 200.000,Bom Jardim,Maringá,PR,200m²,Imoblist,19/05/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-bom-jardim-maringa-1187307204,03/Jul/2023,22:26:05
Terrenos,,R$ 175.000,Loteamento Residencial Iguatemi,Maringá,PR,567m²,PERON IMOVEIS LTDA ME,14/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-loteamento-residencial-iguatemi-maringa-1117407335,03/Jul/2023,22:26:07
Terrenos,,R$ 340.000,Parque Palmeiras,Maringá,PR,378m²,Opção Imóveis,14/04/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-378-42-m-parque-palmeiras-maringa-1157265027,03/Jul/2023,22:26:07
Terrenos,,R$ 1.780.800,Parque Industrial,Maringá,PR,2226m²,Imoblist,26/05/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-parque-do-japao-maringa-1190242289,03/Jul/2023,22:26:23
