tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 125.000,Vila Santa Terezinha,Almirante Tamandaré,PR,6000m²,Marise Faria,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lindo-terreno-1161721093,22/Mar/2023,10:10:48
Terrenos,,R$ 1.500.000,Jardim Marambaia,Almirante Tamandaré,PR,6759m²,Imobiliária Paraíso,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/area-a-venda-6759-m-por-r-1-500-000-00-colonia-sao-venancio-almirante-tamandare-pr-1023776025,22/Mar/2023,10:10:48
Terrenos,,R$ 70.000,Bonfim,Almirante Tamandaré,PR,390m²,Mah P.,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-no-jd-marrocos-1161490841,22/Mar/2023,10:10:48
Terrenos,,R$ 1.990.000,Jardim Marambaia,Almirante Tamandaré,PR,4126m²,VIVA WEB IMOBILIÁRIA,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-4126-m-por-r-1-990-000-00-jardim-marambaia-almirante-tamandare-pr-1127206424,22/Mar/2023,10:10:48
Terrenos,,R$ 10.091.200,Lamenha Pequena,Almirante Tamandaré,PR,9500m²,RE/MAX Excel,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-com-9-500-m-a-venda-por-r-10-091-200-00-1139039846,22/Mar/2023,10:10:49
Terrenos,,R$ 270.000,Botiatuba,Almirante Tamandaré,PR,630m²,KONDOR IMÓVEIS,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-almirante-tamandare-de-630-00-m-1064730001,22/Mar/2023,10:10:49
Terrenos,,R$ 269.001,Jardim Roma,Almirante Tamandaré,PR,396m²,EDIFICAR IMOVEIS E REPRESENTACOES,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-almirante-tamandare-pr-1028000381,22/Mar/2023,10:10:49
Terrenos,,R$ 220.000,Loteamento Marinoni,Almirante Tamandaré,PR,140m²,PONTO MIL IMOVEIS,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-com-140m-por-r-220-000-00-no-bairro-loteamento-marinoni-almirante-tama-1075834398,22/Mar/2023,10:10:49
Terrenos,,R$ 650.000,Lamenha Pequena,Almirante Tamandaré,PR,560m²,L7 IMÓVEIS,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-559-m-por-r-650-000-00-santa-felicidade-almirante-tamandare-pr-1052736555,22/Mar/2023,10:10:49
Terrenos,,R$ 690.000,Jardim Apucarana,Almirante Tamandaré,PR,8715m²,Apolar Rebouças,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lote-terreno-para-venda-com-8715-metros-quadrados-em-jardim-apucarana-almirante-tamandar-999304049,22/Mar/2023,10:10:49
Terrenos,,R$ 3.000,Vila Santa Terezinha,Almirante Tamandaré,PR,768m²,OTIMOVEIS,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-alugar-768-m-por-r-3-000-00-mes-vila-santa-terezinha-almirante-tamanda-1154026378,22/Mar/2023,10:10:49
Terrenos,,R$ 535.000,Tanguá,Almirante Tamandaré,PR,300m²,CASAREDO IMÓVEIS,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/otimo-terreno-condominio-fechado-1089531686,22/Mar/2023,10:10:49
Terrenos,,R$ 3.500.000,Mato Dentro,Almirante Tamandaré,PR,14519m²,Lopes Home,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-almirante-tamandare-14519-2-m-1144365279,22/Mar/2023,10:10:49
Terrenos,,R$ 2.250.000,Colônia Antônio Prado,Almirante Tamandaré,PR,,CONFIANCCE IMÓVEIS,22/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/area-rural-em-almirante-tamandare-pr-colonia-antonio-prado-1144343592,22/Mar/2023,10:10:49
Terrenos,,R$ 230.000,Parque São Jorge,Almirante Tamandaré,PR,616m²,Apolar Colombo - Rodovia da Uva,22/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-residencial-para-venda-no-vila-alto-pinheiros-em-almirante-tamandare-616m-1093836053,22/Mar/2023,10:10:49
Terrenos,,R$ 549.900,Tanguá,Almirante Tamandaré,PR,300m²,ARIA 41 IMÓVEIS,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/almirante-tamandare-terreno-padrao-tangua-1124019724,22/Mar/2023,10:10:49
Terrenos,,R$ 15.000,Mato Dentro,Almirante Tamandaré,PR,360m²,SOS Imóveis,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-360-m-por-r-15-000-00-planta-mosacal-almirante-tamandare-pr-1154472532,22/Mar/2023,10:10:49
Terrenos,,R$ 540.000,Jardim Apucarana,Almirante Tamandaré,PR,2441m²,Imobiliária 2000,21/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-r-mauricio-pustilnick-126-cachoeira-almirante-tamandare-pr-1129952508,22/Mar/2023,10:10:49
Terrenos,,R$ 215.000,Loteamento Marinoni,Almirante Tamandaré,PR,140m²,RE/MAX GOLDEN GROUP,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/oportunidade-imperdivel-terreno-na-rua-principal-do-loteamento-marinoni-140m-1057657149,22/Mar/2023,10:10:49
Terrenos,,R$ 150.000,Campina do Arruda,Almirante Tamandaré,PR,384m²,EJC IMÓVEIS,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-jardim-graziela-384-00-m-989026516,22/Mar/2023,10:10:49
Terrenos,,R$ 820.000,Campina do Arruda,Almirante Tamandaré,PR,1193m²,Moro Imoveis,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-com-1193m-por-r-820-000-00-no-bairro-campina-do-arruda-almirante-taman-1111588379,22/Mar/2023,10:10:49
Terrenos,,R$ 1.400.000,Parque São Jorge,Almirante Tamandaré,PR,7064m²,MOTA EMPREENDIMENTOS IMOBILIARIOS,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-7064-m-por-r-1-400-000-00-parque-sao-jorge-almirante-tamandare-pr-1073524994,22/Mar/2023,10:10:49
Terrenos,,R$ 80.000,Jardim Roma,Almirante Tamandaré,PR,108m²,BORCATH IMOBILIARIA,22/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-108m-promocao-r-80-000-00-regiao-alta-e-tranquila-vista-maravilhosa-otima-l-1017161493,22/Mar/2023,10:10:49
Terrenos,,R$ 6.500.000,Planta Almirante,Almirante Tamandaré,PR,0m²,H5 CORRETORA DE SEGURO E IMÓVEIS,21/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/area-com-25-056m-proximo-escola-internacional-954890444,22/Mar/2023,10:10:49
Terrenos,,R$ 155.000,Jardim Alvorada,Almirante Tamandaré,PR,560m²,Cleyton,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-no-jd-alvorada-de-560-m2-direto-com-proprietario-1107462456,22/Mar/2023,10:10:49
Terrenos,,R$ 70.000,Jardim Novo Horizonte da Cachoeira,Almirante Tamandaré,PR,369m²,EJC IMÓVEIS,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/ref-t-675-terrenos-vila-prado-1049772771,22/Mar/2023,10:10:49
Terrenos,,R$ 480.000,Tanguá,Almirante Tamandaré,PR,300m²,V2 Imobiliária,21/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terrenos-no-condominio-grren-garden-para-venda-com-300-metros-quadrados-no-parque-tingui-994967855,22/Mar/2023,10:10:49
Terrenos,,R$ 98.000,Cachoeira,Almirante Tamandaré,PR,372m²,EJC IMÓVEIS,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-com-372-00m-cachoeira-almirante-tamandare-pr-1013691888,22/Mar/2023,10:10:49
Terrenos,,R$ 220.000,Tranqueira,Almirante Tamandaré,PR,520m²,OTIMOVEIS,17/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-planta-sao-joao-almirante-tamandare-pr-1091672797,22/Mar/2023,10:10:49
Terrenos,,R$ 3.000.000,Mato Dentro,Almirante Tamandaré,PR,14519m²,Lopes Home,21/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-almirante-tamandare-comercial-residencial-967046977,22/Mar/2023,10:10:49
Terrenos,,R$ 2.700.000,Lamenha Grande,Almirante Tamandaré,PR,,Wilson Giudice,22/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/area-industrial-49-651m-contorno-norte-almirante-tamandare-1160356501,22/Mar/2023,10:10:49
Terrenos,,R$ 750.000,Lamenha Grande,Almirante Tamandaré,PR,5525m²,Apolar Mercês,22/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lote-terreno-para-venda-possui-5525-metros-quadrados-em-lamenha-grande-almirante-tamanda-1078402163,22/Mar/2023,10:10:49
Terrenos,,R$ 70.000,Restinga Seca,Almirante Tamandaré,PR,360m²,EJC IMÓVEIS,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-de-360-m-no-jardim-paraiso-almirante-tamandare-pr-988985911,22/Mar/2023,10:10:49
Terrenos,,R$ 420.000,Lamenha Grande,Almirante Tamandaré,PR,547m²,GULIN ASSESSORIA IMOBILIARIA,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-venda-em-almirante-tamandare-lamenha-grande-999837507,22/Mar/2023,10:10:49
Terrenos,,R$ 490.000,Botiatuba,Almirante Tamandaré,PR,1290m²,Barcelona Imóveis,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-plano-otima-localizacao-prox-rest-evissima-lamenha-grande-almirante-tamandare-1094142303,22/Mar/2023,10:10:49
Terrenos,,R$ 1.500,Mato Dentro,Almirante Tamandaré,PR,2000m²,IMOBILIÁRIA HAYASHI,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-locacao-a-partir-2-000m-almirante-tamandare-mato-dentro-1105331760,22/Mar/2023,10:10:49
Terrenos,,R$ 100.000,Lamenha Grande,Almirante Tamandaré,PR,,EJC IMÓVEIS,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/ref-t-671-terreno-com-182-00-metros-no-lamenha-grande-1152890022,22/Mar/2023,10:10:49
Terrenos,,R$ 380.000,Jardim São Francisco,Almirante Tamandaré,PR,2528m²,Imobiliária 2000,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-rua-jose-real-prado--jardim-sao-francisco-almirante-tamandare-pr-987772841,22/Mar/2023,10:10:49
Terrenos,,R$ 1.500.000,Jardim Roma,Almirante Tamandaré,PR,7650m²,IMOBILIARIA GREENVILLE,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-industrial-a-venda-jardim-roma-7-650m-terreno-murado-e-cercado-contorno-norte-1115865065,22/Mar/2023,10:10:49
Terrenos,,R$ 1.000.000,Lamenha Pequena,Almirante Tamandaré,PR,300m²,BOM CASA IMÓVEIS,22/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-condominio-a-venda-com-300m-por-r-1-000-000-00-no-bairro-santa-felicidade-c-1113205002,22/Mar/2023,10:10:49
Terrenos,,R$ 2.500.000,Jardim Giannini,Almirante Tamandaré,PR,20000m²,Wilson Giudice,21/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/area-20-000m2-setor-industrial-contorno-norte-almirante-tamandare-1015868973,22/Mar/2023,10:10:49
Terrenos,,R$ 879.900,Campina do Arruda,Almirante Tamandaré,PR,1050m²,UNITERRAS IMÓVEIS,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-1050-m-por-r-879-900-00-campina-do-arruda-almirante-tamandare-pr-1048586643,22/Mar/2023,10:10:49
Terrenos,,R$ 899.000,Vila Santa Terezinha,Almirante Tamandaré,PR,1014m²,IMOBILIÁRIA CONFIANZA,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-1014-m-por-r-899-000-00-vila-santa-terezinha-almirante-tamandare-pr-964645717,22/Mar/2023,10:10:49
Venda - apartamento padrão,2,R$ 160.000,Jardim Campo Verde,Almirante Tamandaré,PR,48m²,Ewerson Luis,07/02/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-1143761175,22/Mar/2023,10:10:49
Terrenos,,R$ 79.000,Jardim do Rocio,Almirante Tamandaré,PR,450m²,APOLAR AHÚ,22/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-declive-na-colonia-antonio-prado-em-almirante-tamandare-curitiba-pr-963975794,22/Mar/2023,10:10:49
Terrenos,,R$ 480.000,Tanguá,Almirante Tamandaré,PR,300m²,BELLUZZO IMOVEIS,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-cond-300-m2-r-480-000-00-1029760349,22/Mar/2023,10:10:49
Terrenos,,R$ 700.000,Lamenha Pequena,Almirante Tamandaré,PR,300m²,Imobilliare - Negócios Imobiliários,16/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/construa-seu-sonho-1149601052,22/Mar/2023,10:10:49
Terrenos,,R$ 580.000,Bonfim,Almirante Tamandaré,PR,560m²,CINCO DOIS IMÓVEIS,21/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-560-m-por-r-580-000-00-bonfim-almirante-tamandare-pr-1161993468,22/Mar/2023,10:10:49
Terrenos,,R$ 75.000,Cachoeira,Almirante Tamandaré,PR,360m²,eber lawrence pena bastos,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-imperdivel-matinhos-litoral-1096296588,22/Mar/2023,10:10:49
Terrenos,,R$ 829.000,Vila Santa Terezinha,Almirante Tamandaré,PR,640m²,SILLOS IMÓVEIS,17/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-almirante-tamandare-1047994344,22/Mar/2023,10:10:49
Terrenos,,R$ 479.917,Colonia Santa Gabriela,Almirante Tamandaré,PR,,AREA2 IMÓVEIS,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-por-r-479-917-50-no-bairro-colonia-santa-gabriela-almirante-tamandare-1128790974,22/Mar/2023,10:10:49
Terrenos,,R$ 1.011.000,Planta Almirante,Almirante Tamandaré,PR,1170m²,IMOBILIÁRIA INVICTTA,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/realize-o-desejo-de-construir-a-casa-do-seu-sonho-1118383525,22/Mar/2023,10:10:49
Terrenos,,R$ 690.000,Botiatuba,Almirante Tamandaré,PR,1440m²,Palm Imóveis,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-1440-m-por-r-690-000-00-botiatuba-almirante-tamandare-pr-1023764988,22/Mar/2023,10:10:49
Terrenos,,R$ 479.917,Colonia Santa Gabriela,Almirante Tamandaré,PR,1809502m²,Mari Tamanini Imoveis,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/otimo-terreno-para-venda-possui-1-809-50-m2-bem-localizado-em-alm-tamandare-pr-1138570557,22/Mar/2023,10:10:49
Terrenos,,R$ 270.000,Bonfim,Almirante Tamandaré,PR,50m²,L4S,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-venda-em-bonfim-de-50-25m-com-2-quartos-e-10-garagens-1160981244,22/Mar/2023,10:10:49
Terrenos,,R$ 115.000,Jardim Campo Verde,Almirante Tamandaré,PR,670m²,APOLAR PILARZINHO,22/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lote-terreno-para-venda-possui-670-metros-quadrados-em-jardim-campo-verde-almirante-tama-1090316039,22/Mar/2023,10:10:49
Terrenos,,R$ 149.500,Jardim Apucarana,Almirante Tamandaré,PR,372m²,FRANCISCO DE ASSIS JUNIOR DA SILVA,21/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-lote-para-venda-em-jardim-kokot-almirante-tamandare-pr-725-1162044879,22/Mar/2023,10:10:49
Terrenos,,R$ 95.000,Jardim Monte Santo,Almirante Tamandaré,PR,420m²,UNITERRAS IMÓVEIS,21/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-420-m-por-r-95-000-00-jardim-monte-santo-almirante-tamandare-pr-1048627296,22/Mar/2023,10:10:49
