tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 55.000,,Ângulo,PR,750m²,Milena Barraboni,19/03/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/vendo-terreno-750m2-a-37km-de-maringa-1143702846,22/Mar/2023,09:14:48
Venda - casa em rua pública,2,R$ 150.000,,Ângulo,PR,78m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-com-2-dormitorios-a-venda-78-m-por-r-150-000-00-centro-angulo-pr-1054804939,22/Mar/2023,09:14:48
Terrenos,,R$ 93.000,,Ângulo,PR,840m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-840-m-por-r-93-000-00-casa-do-lago-angulo-pr-1054804548,22/Mar/2023,09:14:49
Venda - casa em rua pública,3,R$ 600.000,,Ângulo,PR,185m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-com-3-dormitorios-a-venda-184-m-por-r-600-000-00-vila-soledad-angulo-pr-1054801849,22/Mar/2023,09:14:49
Terrenos,,R$ 130.000,,Ângulo,PR,840m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-840-m-por-r-130-000-00-casa-do-lago-angulo-pr-1054802276,22/Mar/2023,09:14:49
Venda - casa em rua pública,0,R$ 200.000,,Ângulo,PR,292m²,João Flávio,24/01/2023,https://pr.olx.com.br/regiao-de-maringa/imoveis/vendo-area-de-lazer-1137906047,22/Mar/2023,09:14:49
Terrenos,,R$ 48.000,,Ângulo,PR,200m²,ADRIANA ULIANA,13/03/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/lote-terreno-para-venda-possui-200-mts-jd-felicio-angulo-pr-1122118338,22/Mar/2023,09:14:49
Terrenos,,R$ 90.000,,Ângulo,PR,600m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-600-m-por-r-90-000-00-vila-santo-antonio-angulo-pr-1054802470,22/Mar/2023,09:14:49
Terrenos,,R$ 95.000,,Ângulo,PR,200m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/direitos-de-terreno-a-venda-200-m-por-r-90-000-jardim-felicio-angulo-pr-1054800463,22/Mar/2023,09:14:49
Terrenos,,R$ 119.000,,Ângulo,PR,825m²,Prado Imoveis,19/03/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-angulo-pr-1145447521,22/Mar/2023,09:14:49
Terrenos,,R$ 160.000,,Ângulo,PR,729m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-729-m-por-r-160-000-00-centro-angulo-pr-1054800382,22/Mar/2023,09:14:49
Venda - casa em rua pública,2,null,,Ângulo,PR,90m²,Alexandro,30/01/2023,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-1009738835,22/Mar/2023,09:14:49
Venda - casa em rua pública,3,R$ 150.000,,Ângulo,PR,100m²,loanalima676,23/02/2023,https://pr.olx.com.br/regiao-de-maringa/imoveis/vendo-casa-em-angulo-1150647221,22/Mar/2023,09:14:49
Venda - casa em rua pública,3,R$ 510.000,,Ângulo,PR,105m²,Laís Ribas de Andrade,24/02/2023,https://pr.olx.com.br/regiao-de-maringa/imoveis/venda-casa-com-105-00-m-3-dormitorio-s-1-vaga-s-centro-angulo-1150990831,22/Mar/2023,09:14:49
Venda - casa em rua pública,3,R$ 140.000,,Ângulo,PR,,Likalima,17/03/2023,https://pr.olx.com.br/regiao-de-maringa/imoveis/vende-casa-em-angulo-pr-1160828803,22/Mar/2023,09:14:49
Venda - casa em rua pública,2,R$ 170.000,,Ângulo,PR,50m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/imoveis/casa-com-2-dormitorios-a-venda-50-m-por-r-170-000-00-centro-angulo-pr-1054899044,22/Mar/2023,09:14:49
