tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 251.600,Campo Comprido,Curitiba,PR,117m²,ACX IMÓVEIS,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-117-m-por-r-251-600-00-campo-comprido-curitiba-pr-1024166481,22/Mar/2023,09:58:46
Terrenos,,R$ 285.300,Campo Comprido,Curitiba,PR,130m²,ONImobi Negócios Imobiliários,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-130-m-campo-comprido-1113252991,22/Mar/2023,09:58:46
Terrenos,,R$ 4.000.000,Campo Comprido,Curitiba,PR,3384m²,Sergio Mudrek,13/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lote-terreno-para-venda-possui-3384-metros-quadrados-em-campo-comprido-curitiba-pr-1098558605,22/Mar/2023,09:58:46
Terrenos,,R$ 4.000,Campo Comprido,Curitiba,PR,524m²,COMPRE ALUGUE IMÓVEIS,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-alugar-por-r-4000-00-524-33-m2-campo-comprido-curitiba-pr-906592161,22/Mar/2023,09:58:46
Terrenos,,R$ 3.150.000,Campo Comprido,Curitiba,PR,1993m²,SIS3 Imóveis,16/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/curitiba-loteamento-condominio-campo-comprido-1057126607,22/Mar/2023,09:58:46
Terrenos,,R$ 850.000,Campo Comprido,Curitiba,PR,,VIVIANE TRZEIAK,14/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-de-frente-para-a-rua-luiz-alberti-235-campo-cumprido-curitiba-1116131741,22/Mar/2023,09:58:46
Terrenos,,R$ 20.000.000,Campo Comprido,Curitiba,PR,8850m²,Daniel Farias de Araujo Comercio Imobiliário,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-com-8850m-por-r-20-000-000-00-no-bairro-campo-comprido-curitiba-pr-963768646,22/Mar/2023,09:58:46
Terrenos,,R$ 1.450.000,Campo Comprido,Curitiba,PR,477m²,Patagonia Negócios Imobiliários,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-lote-476-71m-condominio-campo-comprido-1069693285,22/Mar/2023,09:58:46
Terrenos,,R$ 2.500.000,Campo Comprido,Curitiba,PR,1060m²,VivaVille Imóveis,14/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-1060-m-por-r-2-500-000-00-campo-comprido-curitiba-pr-1139038941,22/Mar/2023,09:58:46
Terrenos,,R$ 1.250.000,Campo Comprido,Curitiba,PR,606m²,IMOBILIARIA PRECISAO,16/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-com-606m-em-condominio-de-alto-padrao-no-campo-de-santana-1043996999,22/Mar/2023,09:58:46
Terrenos,,R$ 38.000.000,Campo Comprido,Curitiba,PR,16630m²,Daniel Farias de Araujo Comercio Imobiliário,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-com-16630m-por-r-38-000-000-00-no-bairro-campo-comprido-curitiba-pr-963774203,22/Mar/2023,09:58:46
Terrenos,,R$ 251.680,Campo Comprido,Curitiba,PR,117m²,Adilson Lehmann,21/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-em-condominio-no-campo-comprido-117-08-m2-997788033,22/Mar/2023,09:58:46
Terrenos,,R$ 1.560.000,Campo Comprido,Curitiba,PR,395m²,ARYA 1 IMÓVEIS,12/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-em-condominio-no-bairro-campo-comprido-arya-1-1064253619,22/Mar/2023,09:58:46
Terrenos,,R$ 1.250.000,Campo Comprido,Curitiba,PR,601m²,W. Investments Assessoria Imobiliária,11/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/cond-ville-sanctuaire-terreno-a-venda-600-m-por-r-1-250-000-campo-comprido-curit-1124476301,22/Mar/2023,09:58:46
Terrenos,,R$ 27.000.000,Campo Comprido,Curitiba,PR,264m²,CIBRACO,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/area-no-campo-comprido-de-51-831-00m-1073523194,22/Mar/2023,09:58:46
Terrenos,,R$ 1.200.000,Campo Comprido,Curitiba,PR,357m²,MOCELLIN & CONSOLI - IMOVEIS E EMPREENDIMENTOS IMOBILIÁRIOS,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-356-m-por-r-1-200-000-00-ecoville-curitiba-pr-1057862337,22/Mar/2023,09:58:46
