tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 840.000,Cristo Rei,Curitiba,PR,427m²,Imobiliaria Ideal,22/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-no-cristo-rei-954866360,22/Mar/2023,11:40:33
Terrenos,,R$ 5.200.000,Cristo Rei,Curitiba,PR,2400m²,Roberto Bollbuck,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-zr4-bairro-cristo-rei-932108654,22/Mar/2023,11:40:33
Terrenos,,R$ 1.600.000,Cristo Rei,Curitiba,PR,675m²,Visualiza Web imoveis,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-no-cristo-rei-a-venda-permuta-50-1135529567,22/Mar/2023,11:40:33
Terrenos,,R$ 4.100.000,Cristo Rei,Curitiba,PR,1865m²,IMÓVEIS ESCOLHIDOS,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lote-terreno-para-venda-com-1865-metros-quadrados-em-cristo-rei-curitiba-pr-1075079808,22/Mar/2023,11:40:33
Terrenos,,R$ 1.950.000,Cristo Rei,Curitiba,PR,682m²,Imobiliária Razão,04/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-estrutural-682-m-cristo-rei-4768-raz-883887900,22/Mar/2023,11:40:33
Terrenos,,R$ 3.200.000,Cristo Rei,Curitiba,PR,781m²,ricardo,22/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-estrutural-781m2-zn-se-leste-no-cristo-rei-1162494061,22/Mar/2023,11:40:34
Venda - apartamento padrão,2,R$ 596.400,Cristo Rei,Curitiba,PR,70m²,Morar&Viver Imóveis CRECI 18585,29/08/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-venda-em-curitiba-cristo-rei-2-dormitorios-1-suite-2-banheiros-2-vag-1077341820,22/Mar/2023,11:40:34
Terrenos,,R$ 900.000,Cristo Rei,Curitiba,PR,419m²,IMÓVEIS LG,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-com-419-m2-otima-regiao-comercial-ou-residencial-991941511,22/Mar/2023,11:40:34
Terrenos,,R$ 780.000,Cristo Rei,Curitiba,PR,750m²,Idelcio Imóveis,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-boqueirao-1022536762,22/Mar/2023,11:40:34
Terrenos,,R$ 950.000,Cristo Rei,Curitiba,PR,419m²,BOM CASA IMÓVEIS,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-com-419-17m-por-r-950-000-00-no-bairro-cristo-rei-curitiba-pr-996614777,22/Mar/2023,11:40:34
Terrenos,,R$ 1.950.000,Cristo Rei,Curitiba,PR,681m²,PRATIQUE COMPRA VENDA E ADMINISTRACAO DE IMOVEIS LTDA,19/12/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-com-682m-por-r-1-950-000-00-no-bairro-cristo-rei-curitiba-pr-1123638415,22/Mar/2023,11:40:34
Terrenos,,R$ 1.100.000,Cristo Rei,Curitiba,PR,450m²,L4S,08/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-venda-em-cristo-rei-de-450-00m-1156548997,22/Mar/2023,11:40:34
Terrenos,,R$ 590.000,Cristo Rei,Curitiba,PR,280m²,VIVA WEB IMOBILIÁRIA,02/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-280-m-por-r-590-000-00-cristo-rei-curitiba-pr-1123814415,22/Mar/2023,11:40:34
Terrenos,,R$ 3.000,Cristo Rei,Curitiba,PR,480m²,GIACOMETTI EMPREENDIMENTOS IMOBILIARIOS,11/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-comercial-1057480502,22/Mar/2023,11:40:34
Venda - apartamento padrão,2,R$ 487.000,Cristo Rei,Curitiba,PR,73m²,G Sul,06/08/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-dormitorios-a-venda-com-115-22m-por-r-487-000-00-no-bairro-cristo-rei-1067739789,22/Mar/2023,11:40:34
Terrenos,,R$ 1.800.000,Cristo Rei,Curitiba,PR,619m²,REDE URBANA,08/01/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-619-m-por-r-1-800-000-cristo-rei-curitiba-pr-1130694229,22/Mar/2023,11:40:34
Venda - apartamento padrão,3,R$ 1.172.699,Cristo Rei,Curitiba,PR,109m²,Nethomes,04/08/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/oportunidade-1067163174,22/Mar/2023,11:40:34
Venda - apartamento padrão,3,R$ 804.529,Cristo Rei,Curitiba,PR,102m²,Morar&Viver Imóveis CRECI 18585,27/08/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-venda-em-curitiba-cristo-rei-3-dormitorios-1-suite-2-banheiros-2-vag-1076668375,22/Mar/2023,11:40:34
Terrenos,,R$ 550.000,Cristo Rei,Curitiba,PR,268m²,COMPANHIA DO IMÓVEL,14/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-meio-de-quadra-no-alto-da-xv-1143813962,22/Mar/2023,11:40:34
Terrenos,,R$ 2.250.000,Cristo Rei,Curitiba,PR,1142m²,Matrix Imóveis,04/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-1141-m-por-r-2-250-000-00-cristo-rei-curitiba-pr-1049347372,22/Mar/2023,11:40:34
Venda - apartamento padrão,3,R$ 600.370,Cristo Rei,Curitiba,PR,81m²,G Sul,06/08/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-dormitorios-a-venda-com-2241-23m-por-r-600-370-00-no-bairro-cristo-rei-1067741226,22/Mar/2023,11:40:34
Terrenos,,R$ 7.489.960,Cristo Rei,Curitiba,PR,3534m²,Matrix Imóveis,08/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-3533-m-por-r-7-489-960-00-cristo-rei-curitiba-pr-1049351729,22/Mar/2023,11:40:34
Terrenos,,R$ 890.000,Cristo Rei,Curitiba,PR,172m²,Apolar Água Verde,13/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lote-terreno-zr-4-para-venda-possui-172-metros-quadrados-em-cristo-rei-curitiba-pr-1140920337,22/Mar/2023,11:40:34
Terrenos,,R$ 3.000.000,Cristo Rei,Curitiba,PR,784m²,Emerson Janoski,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/cristo-rei-784m2-zr-4-1084722480,22/Mar/2023,11:40:34
Terrenos,,R$ 1.849.000,Cristo Rei,Curitiba,PR,619m²,CONFIANCCE IMÓVEIS,14/02/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/excelente-e-amplo-terreno-em-localizacao-privilegiada-no-cristo-rei-1095753419,22/Mar/2023,11:40:34
Terrenos,,R$ 2.650.000,Cristo Rei,Curitiba,PR,935m²,MULTBROKERS CORRETORES ALIADOS,12/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/curitiba-terreno-padrao-cristo-rei-989312358,22/Mar/2023,11:40:34
Venda - apartamento padrão,2,R$ 800.000,Cristo Rei,Curitiba,PR,85m²,SILLOS IMÓVEIS,26/03/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/petra-85-a-150m-2-a-3-quartos-cristo-rei-curitiba-pr-1012153390,22/Mar/2023,11:40:34
Venda - apartamento padrão,2,R$ 608.500,Cristo Rei,Curitiba,PR,63m²,Nethomes,04/08/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/oportunidade-1067162728,22/Mar/2023,11:40:34
Venda - apartamento padrão,3,R$ 668.000,Cristo Rei,Curitiba,PR,77m²,Nethomes,04/08/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/oportunidade-1067164685,22/Mar/2023,11:40:34
Terrenos,,R$ 1.970.000,Cristo Rei,Curitiba,PR,619m²,IMÓVEIS ESCOLHIDOS,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lote-terreno-para-venda-possui-619-metros-quadrados-em-cristo-rei-curitiba-pr-920053955,22/Mar/2023,11:40:34
Terrenos,,R$ 1.150.000,Cristo Rei,Curitiba,PR,528m²,MOTA EMPREENDIMENTOS IMOBILIARIOS,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-zr4-a-venda-528-m-por-r-1-150-000-alto-da-rua-xv-curitiba-pr-1119472024,22/Mar/2023,11:40:34
Venda - apartamento padrão,3,R$ 839.470,Cristo Rei,Curitiba,PR,103m²,JBA Imobiliária,10/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/curitiba-padrao-cristo-rei-1157205305,22/Mar/2023,11:40:34
Venda - apartamento padrão,1,R$ 573.800,Cristo Rei,Curitiba,PR,61m²,Rezende Imóveis,13/07/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-1-dormitorio-a-venda-61-m-por-r-573-800-00-cristo-rei-curitiba-pr-1057328030,22/Mar/2023,11:40:34
Terrenos,,R$ 1.500.000,Cristo Rei,Curitiba,PR,420m²,Imobiliária Razão,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-zr-4-com-420m-cristo-rei-ref-5519-raz-1160880763,22/Mar/2023,11:40:34
Terrenos,,R$ 4.050.000,Cristo Rei,Curitiba,PR,1232m²,Ética Imóveis,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-loteamento-a-venda-com-1232m-por-r-4-050-000-00-no-bairro-cristo-rei-curitiba-1113725007,22/Mar/2023,11:40:34
Terrenos,,R$ 2.500,Cristo Rei,Curitiba,PR,924m²,IMOBILIÁRIA TANTUS,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-alugar-924-m-por-r-3-267-03-mes-cristo-rei-curitiba-pr-1122331501,22/Mar/2023,11:40:34
Venda - apartamento cobertura,3,R$ 650.000,Cristo Rei,Curitiba,PR,114m²,Rezende Imóveis,21/06/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/c-co0107-cobertura-duplex-no-cristo-rei-3-quartos-em-condominio-clube-1047721865,22/Mar/2023,11:40:34
Terrenos,,R$ 6.000.000,Cristo Rei,Curitiba,PR,1800m²,Imobiliária Razão,11/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/excelente-terreno-de-esquina-area-de-1-800m-cristo-rei-ref-5461-raz-1118031836,22/Mar/2023,11:40:34
Terrenos,,R$ 849.000,Cristo Rei,Curitiba,PR,484m²,IMÓVEIS ESCOLHIDOS,21/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lote-terreno-para-venda-possui-484-metros-quadrados-em-cristo-rei-curitiba-pr-920047505,22/Mar/2023,11:40:34
Terrenos,,R$ 850.000,Cristo Rei,Curitiba,PR,524m²,Imobiliária Freitas Godoi,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-no-cristo-rei-994962534,22/Mar/2023,11:40:35
Terrenos,,R$ 1.190.000,Cristo Rei,Curitiba,PR,511m²,IDEALLE,20/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-por-r-1190000-00-511-00-m2-cristo-rei-curitiba-pr-998375791,22/Mar/2023,11:40:35
Terrenos,,R$ 2.200.000,Cristo Rei,Curitiba,PR,960m²,Casa Real Assessoria,19/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-960-m-por-r-2-200-000-00-cristo-rei-curitiba-pr-1096467929,22/Mar/2023,11:40:35
Terrenos,,R$ 2.900,Cristo Rei,Curitiba,PR,642m²,Allega Imóveis,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-alugar-641-m-por-r-2-900-00-mes-cristo-rei-curitiba-pr-1025797131,22/Mar/2023,11:40:35
Terrenos,,R$ 875.000,Cristo Rei,Curitiba,PR,341m²,IMÓVEIS ESCOLHIDOS,17/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lote-terreno-em-zr4-lv2-para-venda-com-341-metros-quadrados-em-cristo-rei-curitiba-pr-967741644,22/Mar/2023,11:40:35
Terrenos,,R$ 10.720.000,Cristo Rei,Curitiba,PR,5m²,Delimas Imóveis,18/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-urbano-para-venda-em-curitiba-pr-1073578877,22/Mar/2023,11:40:35
Terrenos,,R$ 1.750.000,Cristo Rei,Curitiba,PR,247m²,Casa Aberta Imóveis,16/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/casa-comercial-cristo-rei-1132332626,22/Mar/2023,11:40:35
Terrenos,,R$ 2.600.000,Cristo Rei,Curitiba,PR,1183m²,Noel Garcez França Júnior,16/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lote-terreno-para-venda-com-1183-metros-quadrados-em-cristo-rei-curitiba-pr-976198440,22/Mar/2023,11:40:35
Terrenos,,R$ 11.225.000,Cristo Rei,Curitiba,PR,5381m²,Thiago Santos,16/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-zr4-no-cristo-rei-com-duas-testadas-996119956,22/Mar/2023,11:40:35
Terrenos,,R$ 9.800.000,Cristo Rei,Curitiba,PR,4100m²,HOUSE COMPANY IMÓVEIS,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/lote-urbano-curitiba-994435274,22/Mar/2023,11:40:35
Terrenos,,R$ 2.600.000,Cristo Rei,Curitiba,PR,1184m²,J8 IMÓVEIS,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/curitiba-terreno-padrao-cristo-rei-1073398982,22/Mar/2023,11:40:35
Terrenos,,R$ 740.000,Cristo Rei,Curitiba,PR,309m²,Barcelona Imóveis,14/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-zr4-plano-otima-localizacao-prox-jardim-botanico-e-linha-verde-1154462245,22/Mar/2023,11:40:35
