tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 120.000,,Florestópolis,PR,262m²,tatiane,04/02/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-1142957706,22/Mar/2023,12:04:10
Venda - casa em rua pública,2,R$ 68.720,,Florestópolis,PR,65m²,PROPRIETE ASSESSORIA IMOBILIARIA,19/03/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-venda-2qts-65-00-m-1099151304,22/Mar/2023,12:04:10
Venda - casa em vila,2,null,,Florestópolis,PR,343m²,Alexei,09/02/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/sobrado-residencial-comercial-florestopolis-pr-1145220346,22/Mar/2023,12:04:10
Venda - casa em rua pública,3,R$ 78.696,,Florestópolis,PR,86m²,PROPRIETE ASSESSORIA IMOBILIARIA,15/03/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-vende-3-qts-85-87m2-1099150938,22/Mar/2023,12:04:10
Venda - casa em rua pública,2,R$ 43.073,,Florestópolis,PR,60m²,Ricardo Imóveis Caixa,17/03/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/florestopolis-casa-padrao-1151917787,22/Mar/2023,12:04:10
Venda - casa em rua pública,2,R$ 32.973,,Florestópolis,PR,46m²,PROPRIETE ASSESSORIA IMOBILIARIA,20/03/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-venda-2-qts-46-05m2-1101890524,22/Mar/2023,12:04:10
Terrenos,,R$ 70.000,,Florestópolis,PR,262m²,Lojadadri,17/02/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-1148626294,22/Mar/2023,12:04:10
Terrenos,,R$ 70.000,,Florestópolis,PR,262m²,Claudio,17/02/2023,https://pr.olx.com.br/regiao-de-londrina/terrenos/terreno-1148628626,22/Mar/2023,12:04:11
Venda - casa em rua pública,2,R$ 78.700,,Florestópolis,PR,66m²,Imobiliaria Bemtevi,16/03/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-com-2-dormitorios-a-venda-66-m-por-r-78-700-jardim-ipe-2-florestopolis-parana-1159975778,22/Mar/2023,12:04:11
Venda - casa em rua pública,2,R$ 148.000,,Florestópolis,PR,,Henrique,22/03/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/venda-casa-em-florestopolis-jardim-ipe-2-quartos-grandes-vaga-pra-4-carros-1135575082,22/Mar/2023,12:04:11
Venda - casa em rua pública,2,R$ 78.700,,Florestópolis,PR,66m²,V. D. P. IMOVEIS,08/03/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-com-2-dormitorios-a-venda-66-m-por-r-78-700-jardim-ipe-ii-florestopolis-pr-1156201919,22/Mar/2023,12:04:11
Venda - casa em rua pública,2,R$ 43.073,,Florestópolis,PR,60m²,Marcos Chaves Corretor de Imóveis,24/02/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/cond-avare-oportunidade-unica-em-florestopolis-pr-tipo-casa-negociacao-venda-dir-1151116974,22/Mar/2023,12:04:11
Venda - casa em rua pública,2,R$ 78.700,,Florestópolis,PR,126m²,Marcos Chaves Corretor de Imóveis,15/03/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/florestopolis-jardim-ipe-02-oportunidade-unica-em-florestopolis-pr-tipo-casa-ne-1159757536,22/Mar/2023,12:04:11
Venda - casa em rua pública,1,R$ 63.178,,Florestópolis,PR,113m²,Marcos Chaves Corretor de Imóveis,28/01/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/res-francisca-moraes-oportunidade-unica-em-florestopolis-pr-tipo-casa-negociacao-1139686831,22/Mar/2023,12:04:11
Venda - casa em rua pública,2,R$ 78.700,,Florestópolis,PR,126m²,Ricardo Imóveis Caixa,16/03/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/florestopolis-casa-padrao-1160237440,22/Mar/2023,12:04:11
Venda - casa em rua pública,1,R$ 63.178,,Florestópolis,PR,113m²,Ricardo Imóveis Caixa,19/03/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/florestopolis-casa-padrao-1139520241,22/Mar/2023,12:04:11
Venda - casa em rua pública,1,R$ 63.179,,Florestópolis,PR,49m²,PROPRIETE ASSESSORIA IMOBILIARIA,13/03/2023,https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-com-1-dormitorio-a-venda-48-m-por-r-63-178-80-francisca-moraes-florestopolis-p-1140640682,22/Mar/2023,12:04:11
