tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 201.600,,Marialva,PR,360m²,Winner Brokers,17/09/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-360-m-por-r-201-600-00-eldorado-marialva-pr-1085404342,22/Mar/2023,09:27:04
Terrenos,,R$ 290.000,,Marialva,PR,687m²,Imoblist,26/09/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-687-m-regiao-de-maringa-pr-1089358264,22/Mar/2023,09:27:04
Terrenos,,R$ 145.000,,Marialva,PR,300m²,Winner Brokers,13/09/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-300-m-por-r-145-000-00-jd-italia-marialva-pr-1083881730,22/Mar/2023,09:27:04
Terrenos,,R$ 95.000,,Marialva,PR,150m²,Winner Brokers,14/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-150-m-por-r-95-000-00-jardim-bela-vista-marialva-pr-1096507591,22/Mar/2023,09:27:04
Terrenos,,R$ 270.000,,Marialva,PR,640m²,Winner Brokers,16/09/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-640-m-por-r-270-000-00-nucleo-habitacional-borsari-marialva-pr-1084964482,22/Mar/2023,09:27:04
Terrenos,,R$ 100.000,,Marialva,PR,594m²,Imoblist,10/08/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/data-594-30m2-7-31-frente-br-jardim-vila-messia-1069301298,22/Mar/2023,09:27:04
Terrenos,,R$ 110.000,,Marialva,PR,300m²,Imoblist,13/03/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-com-300-00-m-jardim-italia-mari-1158763084,22/Mar/2023,09:27:04
Terrenos,,R$ 90.000,,Marialva,PR,163m²,Winner Brokers,14/09/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-162-m-por-r-90-000-00-jardim-bela-vista-marialva-pr-1084348413,22/Mar/2023,09:27:04
Terrenos,,R$ 200.000,,Marialva,PR,2000m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-2000-m-por-r-200-000-00-jardim-shenandoa-marialva-pr-1054805211,22/Mar/2023,09:27:04
Terrenos,,R$ 99.000,,Marialva,PR,10m²,ARBO IMÓVEIS,02/03/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-parque-das-palmeiras-marialva-pr-1153688443,22/Mar/2023,09:27:04
Terrenos,,R$ 120.000,,Marialva,PR,316m²,BELLAKAZA NEGOCIOS IMOBILIARIOS LTDA,18/03/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/informacoes-otavio-liesenberg-1156161275,22/Mar/2023,09:27:04
Terrenos,,R$ 80.000,,Marialva,PR,150m²,Ademir Rodrigues Junior,01/03/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/meio-terreno-1153366092,22/Mar/2023,09:27:04
Terrenos,,R$ 120.000,,Marialva,PR,318m²,LÉLO IMOVEIS LTDA - EPP,07/03/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-por-r-120000-00-318-00-m2-jardim-italia-marialva-pr-1042471120,22/Mar/2023,09:27:04
Terrenos,,R$ 720.000,,Marialva,PR,13000m²,Imoblist,22/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-venda-ideal-para-area-de-lazer-1100223256,22/Mar/2023,09:27:04
Terrenos,,R$ 320.000,,Marialva,PR,360m²,Winner Brokers,26/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-360-m-12x30-m-por-r-320-000-jardim-interclub-marialva-pr-1101846468,22/Mar/2023,09:27:04
Terrenos,,R$ 95.000,,Marialva,PR,150m²,Winner Brokers,14/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-150-m-por-r-95-000-00-jardim-bela-vista-marialva-pr-1096514570,22/Mar/2023,09:27:04
Terrenos,,R$ 85.000,,Marialva,PR,175m²,Daise B.,19/03/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-bela-vista-1161420074,22/Mar/2023,09:27:04
Terrenos,,R$ 84.900,,Marialva,PR,250m²,Winner Brokers,05/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-250-m-por-r-84-900-00-jardim-santa-isabel-marialva-pr-1092876509,22/Mar/2023,09:27:04
Terrenos,,R$ 85.000,,Marialva,PR,150m²,Imoblist,01/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jardim-bela-vista-marialva-1057710565,22/Mar/2023,09:27:04
Terrenos,,R$ 180.000,,Marialva,PR,535m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-534-m-por-r-180-000-00-jd-italia-marialva-pr-1054804477,22/Mar/2023,09:27:04
Terrenos,,R$ 199.000,,Marialva,PR,315m²,Winner Brokers,17/09/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-315-m-por-r-199-000-00-jardim-eldorado-marialva-pr-1085397134,22/Mar/2023,09:27:04
Terrenos,,R$ 85.000,,Marialva,PR,150m²,Winner Brokers,03/11/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-150-m-por-r-85-000-00-bela-vista-marialva-pr-1104868617,22/Mar/2023,09:27:05
Terrenos,,R$ 20.000,,Marialva,PR,10000m²,Winner Brokers,15/10/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-para-alugar-10000-m-por-r-20-000-00-mes-br-376-marialva-pr-1097129384,22/Mar/2023,09:27:05
Terrenos,,R$ 191.900,,Marialva,PR,304m²,Winner Brokers,17/09/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-303-m-por-r-191-900-00-jardim-eldorado-marialva-pr-1085397510,22/Mar/2023,09:27:05
Terrenos,,R$ 650.000,,Marialva,PR,1000m²,Winner Brokers,13/09/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-melhor-localizacao-de-mva-a-venda-1000-m-por-r-650-000-centro-marialva-pr-1083884024,22/Mar/2023,09:27:05
Terrenos,,R$ 3.200.000,,Marialva,PR,22000m²,Winner Brokers,20/08/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/area-a-venda-22000-m-por-r-3-200-000-00-jardim-shenandoa-marialva-pr-1073966132,22/Mar/2023,09:27:05
Terrenos,,R$ 350.000,,Marialva,PR,10000m²,Imoblist,10/08/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-marialva-1069303815,22/Mar/2023,09:27:05
Terrenos,,R$ 300.000,,Marialva,PR,284m²,Imoblist,10/08/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jardim-san-marino-marialva-1069300813,22/Mar/2023,09:27:05
Terrenos,,R$ 120.000,,Marialva,PR,318m²,Imoblist,06/08/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-por-r-120000-00-318-00-m2-jard-1067714511,22/Mar/2023,09:27:05
Terrenos,,R$ 650.000,,Marialva,PR,1192m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-1192-m-por-r-650-000-00-jardim-jaguaruna-marialva-pr-1054900493,22/Mar/2023,09:27:05
Terrenos,,R$ 130.000,,Marialva,PR,300m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-300-m-por-r-130-000-00-jardim-italia-marialva-pr-1054837290,22/Mar/2023,09:27:05
Terrenos,,R$ 62.000,,Marialva,PR,150m²,Winner Brokers,07/07/2022,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-150-m-por-r-62-000-00-jardim-italia-marialva-pr-1054820115,22/Mar/2023,09:27:05
