tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 60.000,,Morretes,PR,763m²,MORRETES IMÓVEIS,22/06/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-venda-em-vila-das-palmeiras-morretes-pr-1047957148,22/Mar/2023,09:53:37
Terrenos,,R$ 160.000,,Morretes,PR,700m²,MORRETES IMÓVEIS,22/06/2022,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-no-bairro-porto-de-cima-morretes-pr-1047959164,22/Mar/2023,09:53:37
Terrenos,,R$ 1.600.000,,Morretes,PR,101088m²,LIFE IMÓVEIS,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/area-a-venda-101088-m-por-r-1-600-000-00-sambaqui-morretes-pr-978426444,22/Mar/2023,09:53:37
Terrenos,,R$ 55.000,,Morretes,PR,444m²,Morretes Imoveis,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-no-bairro-ponte-alta-morretes-pr-1128211377,22/Mar/2023,09:53:37
Terrenos,,R$ 25.000,,Morretes,PR,2200m²,Vandemir Pires,06/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-1155544399,22/Mar/2023,09:53:37
Terrenos,,R$ 790.000,,Morretes,PR,10514m²,Morretes Imoveis,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-no-bairro-centro-morretes-pr-1078553480,22/Mar/2023,09:53:37
Terrenos,,R$ 60.000,,Morretes,PR,7000m²,Mayara N.,12/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/chacara-em-morretes-1158300366,22/Mar/2023,09:53:37
Terrenos,,R$ 60.000,,Morretes,PR,763m²,Morretes Imoveis,14/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-para-venda-em-vila-das-palmeiras-morretes-pr-750187324,22/Mar/2023,09:53:37
Terrenos,,R$ 170.000,,Morretes,PR,24200m²,Morretes Imoveis,03/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-no-bairro-rio-sagrado-morretes-pr-1124914107,22/Mar/2023,09:53:37
Terrenos,,R$ 135.000,,Morretes,PR,399m²,Morretes Imoveis,15/03/2023,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/terreno-a-venda-no-bairro-sitio-do-campo-morretes-pr-997833678,22/Mar/2023,09:53:37
