tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 175.000,Parque da Gávea,Sarandi,PR,406m²,Prado Imoveis,01/03/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-sarandi-pr-1145512868,27/Mar/2023,18:45:13
Terrenos,,R$ 7.800.000,Jardim Europa,Sarandi,PR,7882m²,Pedro Granado Imoveis,01/03/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/sarandi-lote-terreno-jardim-europa-943381727,27/Mar/2023,18:45:13
Terrenos,,R$ 70.000,Residencial São José,Sarandi,PR,141m²,Imoblist,28/02/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-residencial-sao-jose-sarandi-1152848217,27/Mar/2023,18:45:13
Terrenos,,R$ 90.000,Jardim Nova Independência,Sarandi,PR,300m²,Imoblist,28/02/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jardim-nova-independencia-sa-1152848219,27/Mar/2023,18:45:13
Terrenos,,R$ 120.000,Jardim Independência III,Sarandi,PR,250m²,Imoblist,28/02/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jardim-independencia-iii-sar-1152848135,27/Mar/2023,18:45:13
Terrenos,,R$ 125.000,Jardim Nova Independência,Sarandi,PR,300m²,Imoblist,28/02/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-jardim-nova-independencia-sa-1152848150,27/Mar/2023,18:45:13
Terrenos,,R$ 70.000,Parque Residencial Nova Aliança,Sarandi,PR,204m²,IMOBILIARIA SILVIO S. IWATA,25/03/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/lote-a-venda-sarandi-parque-residencial-nova-alianca-1163779145,27/Mar/2023,18:45:15
Terrenos,,R$ 150.000,Jardim Independência,Sarandi,PR,250m²,Aguinaldo,21/02/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-a-venda-1149868625,27/Mar/2023,18:45:15
Terrenos,,R$ 145.000,Jardim Centro Cívico,Sarandi,PR,300m²,Josi,21/02/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/terreno-jardim-novo-centro-civico-1149734149,27/Mar/2023,18:45:15
Terrenos,,R$ 125.000,Conjunto Floresta,Sarandi,PR,300m²,Imoblist,28/02/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-conjunto-floresta-sarandi-1152848195,27/Mar/2023,18:45:13
Terrenos,,R$ 87.000,Parque Residencial Bom Pastor,Sarandi,PR,200m²,Imoblist,28/02/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-parque-residencial-bom-pastor-1152848197,27/Mar/2023,18:45:13
Terrenos,,R$ 145.000,Parque da Gávea,Sarandi,PR,322m²,Imoblist,28/02/2023,https://pr.olx.com.br/regiao-de-maringa/terrenos/venda-terreno-em-parque-da-gavea-sarandi-1152847858,27/Mar/2023,18:45:13
